,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1314.6959,126.042404,0.0,126.042404000000,PySRFunction(X=>126.042404000000)
1,3,1280.5123,125.8853 - x0,0.013172575949629912,125.8853 - x0,PySRFunction(X=>125.8853 - x0)
2,4,652.83514,cosh(x0) * 100.5342,0.6736908793582539,cosh(x0)*100.5342,PySRFunction(X=>cosh(x0)*100.5342)
3,5,600.7769,sinh(cosh(x0)) * 75.57963,0.08310098088226264,sinh(cosh(x0))*75.57963,PySRFunction(X=>sinh(cosh(x0))*75.57963)
4,6,56.871876,cosh(x0 - 0.31301418) * 95.61806,2.357422702685715,cosh(x0 - 1*0.31301418)*95.61806,PySRFunction(X=>cosh(x0 - 1*0.31301418)*95.61806)
5,7,13.489432,cosh(sinh(x0) - 0.28257895) * 89.90748,1.438894384219963,cosh(sinh(x0) - 1*0.28257895)*89.90748,PySRFunction(X=>cosh(sinh(x0) - 1*0.28257895)*89.90748)
6,8,1.2159768,(cosh(x0 - 0.22381508) * 135.10266) + -49.338955,2.406358859655454,cosh(x0 - 1*0.22381508)*135.10266 - 49.338955,PySRFunction(X=>cosh(x0 - 1*0.22381508)*135.10266 - 49.338955)
7,10,0.29020303,((cosh(x0) * 138.96918) + (x0 * -34.566277)) - 49.925697,0.7163611009630191,x0*(-34.566277) + cosh(x0)*138.96918 - 1*49.925697,PySRFunction(X=>x0*(-34.566277) + cosh(x0)*138.96918 - 1*49.925697)
8,12,0.29020283,((x0 * -34.566277) - 49.711014) + ((cosh(x0) * 138.96918) - 0.21468288),3.4458645875735e-07,x0*(-34.566277) + cosh(x0)*138.96918 - 1*49.711014 - 1*0.21468288,PySRFunction(X=>x0*(-34.566277) + cosh(x0)*138.96918 - 1*49.711014 - 1*0.21468288)
9,13,1.986249e-06,(((9.469235 / (0.32660946 / x0)) + -13.283238) / (0.38443643 / x0)) + 88.3163,11.892087435872554,88.3163 + (-13.283238 + 9.469235/((0.32660946/x0)))/((0.38443643/x0)),PySRFunction(X=>88.3163 + (-13.283238 + 9.469235/((0.32660946/x0)))/((0.38443643/x0)))
10,17,1.9775653e-06,(x0 + (((9.469349 / (0.3266137 / x0)) + -13.283248) / (0.3844358 / x0))) + (88.3163 - x0),0.0010953734502771582,-x0 + x0 + 88.3163 + (-13.283248 + 9.469349/((0.3266137/x0)))/((0.3844358/x0)),PySRFunction(X=>-x0 + x0 + 88.3163 + (-13.283248 + 9.469349/((0.3266137/x0)))/((0.3844358/x0)))
11,18,1.977409e-06,abs(x0 + (88.3163 + ((((9.469349 / (0.3266137 / x0)) + -13.283248) / (0.3844358 / x0)) - x0))),7.903970454688343e-05,Abs(-x0 + x0 + 88.3163 + (-13.283248 + 9.469349/((0.3266137/x0)))/((0.3844358/x0))),PySRFunction(X=>Abs(-x0 + x0 + 88.3163 + (-13.283248 + 9.469349/((0.3266137/x0)))/((0.3844358/x0))))
12,19,1.6265533e-06,((((((14.267846 / (0.45058033 / x0)) + -13.2356) - x0) / (0.40660313 / x0)) + 88.31298) - x0) - x0,0.1953241657563584,-x0 - x0 + 88.31298 + (-x0 - 13.2356 + 14.267846/((0.45058033/x0)))/((0.40660313/x0)),PySRFunction(X=>-x0 - x0 + 88.31298 + (-x0 - 13.2356 + 14.267846/((0.45058033/x0)))/((0.40660313/x0)))
13,20,1.6260257e-06,abs(x0 - ((((((14.267846 / (0.45058033 / x0)) - x0) + -13.2356) / (0.40660313 / x0)) + 88.31298) - x0)),0.0003244194865843227,Abs(x0 - (-x0 + 88.31298 + (-x0 - 13.2356 + 14.267846/((0.45058033/x0)))/((0.40660313/x0)))),PySRFunction(X=>Abs(x0 - (-x0 + 88.31298 + (-x0 - 13.2356 + 14.267846/((0.45058033/x0)))/((0.40660313/x0)))))
14,21,6.9112867e-09,(((14.137176 / (0.44793478 / x0)) + (-13.190713 - x0)) / (0.40521342 / x0)) + ((88.51897 - (x0 + 0.2051022)) - x0),5.460738266802324,-x0 - (x0 + 0.2051022) + 88.51897 + (-x0 - 13.190713 + 14.137176/((0.44793478/x0)))/((0.40521342/x0)),PySRFunction(X=>-x0 - (x0 + 0.2051022) + 88.51897 + (-x0 - 13.190713 + 14.137176/((0.44793478/x0)))/((0.40521342/x0)))
