ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2
0,-95.9500421057284 + 54.59224313053895*x0 + 56.16725627571958*x0**2,x0*(x0*56.167255 + 54.592243) - 1*95.95004,1.1474638e-11,9,2.3752176511303428e-09,-2.19460914507979e-6,-2.39116284154743e-7,-2.27128698799573e-6
1,-70.75780002331504 + -73.72797372855536*x0 + -8.660168656309537*x0**2,-73.727974*x0 + x0*x0*(-8.660169) - 63.774174 - 6.9836264,1.2704959e-11,13,3.4969974755205407e-10,5.32358221654465e-7,3.68170498068529e-7,3.96863475061635e-6
2,51.98632124832551 + 88.0771329896505*x0 + -8.621301134350162*x0**2,x0*(88.07713 + x0*(-8.621301)) + 51.98632,1.4726073e-11,9,5.815039663395059e-09,-2.40125763958897e-6,-3.39435491990206e-6,-1.55835133380303e-6
3,28.672126994678592 + 91.27236610655882*x0 + -2.34664364318769*x0**2,x0*(x0*(-2.3466434) - 1*8.820042 + 100.09241) + 28.672127,1.07256435e-11,11,1.8043906637811913e-09,1.85595136202599e-8,2.07449555721489e-6,-1.03632134641116e-5
4,-16.306990725268292 + 14.310490195889614*x0 + -32.22768020868824*x0**2,-32.22768*x0*(x0 - 0.44404343) - 16.306992,3.6352503e-12,9,1.56564712984013e-09,7.81708734682995e-6,-4.38662270712549e-6,-6.47543479540196e-7
5,17.42388446016743 + 9.232623984008526*x0 + -20.95744666746411*x0**2,x0 + x0/0.12148981 + cos(asin(x0)/(-0.49956608))/0.09548597 + 6.9564037,2.9204532e-05,15,0.02920470802790692,-60.0754715981791,-0.0160406948004661,-100.000000000000
6,-52.053606789368324 + 66.90636908796449*x0 + 9.539331650953486*x0**2,x0*(x0*9.539333 + 66.90637) - 52.053608,1.3682923e-11,9,9.318519307374613e-10,2.32574022782072e-6,1.36315199218319e-6,1.41419395296449e-5
7,88.31387383651204 + -34.55256510085225*x0 + 75.41910475536795*x0**2,-x0 - (x0 + 0.2051022) + 88.51897 + (-x0 - 13.190713 + 14.137176/((0.44793478/x0)))/((0.40521342/x0)),6.9112867e-09,21,6.422434047523536e-06,-6.83529301266180e-6,-0.000165945420830506,-0.000138449939403974
8,-61.36121706336046 + 15.809779393473406*x0 + 6.006258298614469*x0**2,x0 - (-6.0062575)*x0*x0 + x0*14.809779 - 1*55.2884 - 6.072818,1.9499567e-12,15,1.9306242959135456e-09,1.52643572326524e-6,-2.48879756748375e-6,-1.32963723681670e-5
9,-78.48536895742757 + 47.28588026211449*x0 + -83.35674861978535*x0**2,(-(-5.4643025)*cosh(asinh(x0) - 2.215852) + cosh(asinh(x0*asinh(asinh(x0))) + 4.119981))/(-0.5236928) - 1*(-28.75532),0.0262359,21,26.235946749788738,-136.637809545876,-100.000000000000,-100.000000000000
