,complexity,loss,equation,score,sympy_format,lambda_format
0,1,9539.348,-16.802866,0.0,-16.8028660000000,PySRFunction(X=>-16.8028660000000)
1,3,879.92773,x0 * 134.01486,1.1916703195957319,x0*134.01486,PySRFunction(X=>x0*134.01486)
2,5,619.4725,(x0 * 133.72243) + -16.142511,0.17548573482675858,x0*133.72243 - 16.142511,PySRFunction(X=>x0*133.72243 - 16.142511)
3,7,16.06281,121.76759 - ((0.33013022 ^ x0) * 103.65991),1.8261808236830972,121.76759 - 103.65991*0.33013022**x0,PySRFunction(X=>121.76759 - 103.65991*0.33013022**x0)
4,9,5.7811713,((x0 - (0.19438538 ^ x0)) * 41.036564) - -57.261463,0.5109501764335652,(-0.19438538**x0 + x0)*41.036564 - 1*(-57.261463),PySRFunction(X=>(-0.19438538**x0 + x0)*41.036564 - 1*(-57.261463))
5,11,3.9632335,((x0 + ((0.13531306 ^ x0) * -0.43119574)) * 56.339703) - -39.11487,0.18877303836514614,(0.13531306**x0*(-0.43119574) + x0)*56.339703 - 1*(-39.11487),PySRFunction(X=>(0.13531306**x0*(-0.43119574) + x0)*56.339703 - 1*(-39.11487))
6,15,3.4096267e-11,(((x0 * (-66.40482 - (x0 * -46.32103))) * x0) + 16.958574) - (x0 * -98.90503),6.369723360563757,x0*x0*(-(-46.32103)*x0 - 66.40482) - (-98.90503)*x0 + 16.958574,PySRFunction(X=>x0*x0*(-(-46.32103)*x0 - 66.40482) - (-98.90503)*x0 + 16.958574)
7,17,3.2896515e-11,((x0 - 0.00019440327) * ((-66.39581 - (x0 * -46.321022)) * x0)) + (16.958574 - (x0 * -98.89213)),0.017910590523604178,x0*(x0 - 1*0.00019440327)*(-(-46.321022)*x0 - 66.39581) - (-98.89213)*x0 + 16.958574,PySRFunction(X=>x0*(x0 - 1*0.00019440327)*(-(-46.321022)*x0 - 66.39581) - (-98.89213)*x0 + 16.958574)
8,19,3.2288193e-11,(((x0 * ((-66.40482 - (x0 * -46.321033)) * x0)) + 11.406148) - ((x0 * -98.90503) + -3.1337113)) + 2.4187174,0.009332551751365452,x0*x0*(-(-46.321033)*x0 - 66.40482) - (x0*(-98.90503) - 3.1337113) + 2.4187174 + 11.406148,PySRFunction(X=>x0*x0*(-(-46.321033)*x0 - 66.40482) - (x0*(-98.90503) - 3.1337113) + 2.4187174 + 11.406148)
9,21,3.0286395e-11,((((x0 * (x0 * (-66.40482 - (x0 * -46.321033)))) + 10.73825) + 0.66789645) - ((x0 * -98.90503) + -3.1337132)) + 2.4187155,0.032001509913527355,x0*x0*(-(-46.321033)*x0 - 66.40482) - (x0*(-98.90503) - 3.1337132) + 0.66789645 + 2.4187155 + 10.73825,PySRFunction(X=>x0*x0*(-(-46.321033)*x0 - 66.40482) - (x0*(-98.90503) - 3.1337132) + 0.66789645 + 2.4187155 + 10.73825)
10,25,3.012632e-11,((((((x0 * (x0 * (-66.40482 - (x0 * -46.321033)))) + 10.73825) + x0) - x0) + 0.66789645) - ((x0 * -98.90503) + -3.1337132)) + 2.4187155,0.0013248483752382803,x0*x0*(-(-46.321033)*x0 - 66.40482) - x0 + x0 - (x0*(-98.90503) - 3.1337132) + 0.66789645 + 2.4187155 + 10.73825,PySRFunction(X=>x0*x0*(-(-46.321033)*x0 - 66.40482) - x0 + x0 - (x0*(-98.90503) - 3.1337132) + 0.66789645 + 2.4187155 + 10.73825)
