ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
0,-0.13686452360062162 + -32.20582848118936*x0 + 78.81399975585117*x0**2 + 17.735256955116526*x0**3,17.735252*x0**3 + 78.813998306852*x0**2 - 32.20582450015*x0 - 0.13686417,1.2313305e-11,13,1.197691723419842e-09,-0.000258358128398793,-1.23612387685490e-5,-1.83850480346757e-6,-2.79393557105633e-5,0
1,60.062239626158146 + 40.98084859831576*x0 + -86.70441857783351*x0**2 + 30.839285359081458*x0**3,30.839289*x0**3 - 86.7044204770458*x0**2 + 40.9808446983702*x0 + 60.0622384367187,2.1345172e-11,15,6.0919865736689e-09,-1.98034480918252e-6,-9.51650755766354e-6,2.19044464441629e-6,1.18061054277499e-5,0
2,-90.50191279745839 + 41.42080304383802*x0 + 17.97298924231218*x0**2 + 10.834611523335354*x0**3,10.834611*x0**3 + 17.9729906*x0**2 + 41.420803*x0 - 90.501913,8.265488e-12,29,5.625565443359765e-10,2.23798157897853e-7,-1.05835758825605e-7,7.55404568414604e-6,-4.83021797867087e-6,0
3,97.54196016472244 + 21.593349348964267*x0 + 45.253345068362535*x0**2 + 46.6236033566845*x0**3,-1.6274428*13.113797**(x0**2) + 24.8306955014576*5.345554**x0*x0 + 99.8183708872864,0.33549023,17,335.49013625707624,2.33377586294115,114.99232981496*5.345554**x0 - 100.0,-100.000000000000,-100.000000000000,1
4,-33.597255624918205 + 39.377783396802414*x0 + -95.60311517017158*x0**2 + 47.26817440831624*x0**3,47.26817*x0**3 - 95.6031093974379*x0**2 + 39.3777845904269*x0 - 33.5972577640416,3.1566742e-11,17,7.602055216702989e-09,6.36695871719845e-6,3.03121304181587e-6,-6.03822755536631e-6,-9.32618257163445e-6,0
5,35.027122069200345 + 99.1429192066675*x0 + -10.000440877723776*x0**2 + 30.729582531856266*x0**3,30.7295841296674*x0**3 - 10.0004419743608*x0**2 + 99.14292*x0 + 35.027122,2.7896687e-11,23,2.6027672620771633e-09,-1.97562182383791e-7,8.00190785220320e-7,1.09658863773804e-5,5.19958634626096e-6,0
6,-74.66710783699521 + -87.68765806271249*x0 + -48.468532119943596*x0**2 + 57.225848576294084*x0**3,57.225838*x0**3 - 48.4685308027434*x0**2 - 87.6876459504511*x0 - 74.66711,3.2130628e-11,13,1.4775593452713835e-08,2.89686428521333e-6,-1.38129602902382e-5,-2.71763995449895e-6,-1.84816727818752e-5,0
7,15.535970724666143 + 16.51146215080186*x0 + -58.97640027758892*x0**2 + 67.41279931920596*x0**3,67.412796*x0**3 - 58.976402*x0**2 + 16.511465*x0 + 15.535972,1.7991419e-11,13,9.548016010430559e-10,8.20891001213025e-6,1.72558802704485e-5,2.92050899962987e-6,-4.92370290581908e-6,0
8,16.958575452871273 + 98.9050303600774*x0 + -66.40482280339175*x0**2 + 46.321030470669*x0**3,46.32103*x0**3 - 66.40482*x0**2 + 98.90503*x0 + 16.958574,3.4096267e-11,15,1.2521478544572278e-09,-8.56717757922752e-6,-3.64063795925795e-7,-4.22166889884934e-6,-1.01610218054383e-6,0
9,80.95481211767134 + 48.64087541392121*x0 + -59.958925290859575*x0**2 + 3.885490831580782*x0**3,3.8854935*x0**3 - 59.958923*x0**2 + 48.640873*x0 + 80.95481,1.2801449e-11,13,1.9180350942633153e-09,-2.61586839346041e-6,-4.96274211382398e-6,-3.82071487370826e-6,6.86765027559465e-5,0
