,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1057.7449,-109.26916,0.0,-109.269160000000,PySRFunction(X=>-109.269160000000)
1,3,1017.3929,-109.26721 - x0,0.01944790712094173,-x0 - 109.26721,PySRFunction(X=>-x0 - 109.26721)
2,4,1003.05853,-109.25777 - tan(x0),0.01418951259693468,-tan(x0) - 109.25777,PySRFunction(X=>-tan(x0) - 109.25777)
3,5,219.92445,-109.359184 - (x0 * 41.002514),1.5175250629114991,-41.002514*x0 - 109.359184,PySRFunction(X=>-41.002514*x0 - 109.359184)
4,6,72.13264,-60.864452 - cosh(x0 + 4.3404937),1.1147774318549695,-cosh(x0 + 4.3404937) - 60.864452,PySRFunction(X=>-cosh(x0 + 4.3404937) - 60.864452)
5,8,41.323544,-92.56085 - (x0 * exp(x0 + 3.3871334)),0.27853711812577236,-x0*exp(x0 + 3.3871334) - 92.56085,PySRFunction(X=>-x0*exp(x0 + 3.3871334) - 92.56085)
6,9,9.608825,-89.04738 - (x0 * ((x0 * 41.058712) + 41.184025)),1.4587504631400745,-x0*(x0*41.058712 + 41.184025) - 89.04738,PySRFunction(X=>-x0*(x0*41.058712 + 41.184025) - 89.04738)
7,10,2.2708864,-87.73818 - (tanh(x0) * ((x0 * 53.83353) + 50.845455)),1.4425117071809128,-(x0*53.83353 + 50.845455)*tanh(x0) - 87.73818,PySRFunction(X=>-(x0*53.83353 + 50.845455)*tanh(x0) - 87.73818)
8,11,1.4639097,-88.52573 - (((sinh(x0) * 45.831852) + 50.891068) * tanh(x0)),0.43905950654660464,-(sinh(x0)*45.831852 + 50.891068)*tanh(x0) - 88.52573,PySRFunction(X=>-(sinh(x0)*45.831852 + 50.891068)*tanh(x0) - 88.52573)
9,12,1.4621739,-88.53899 - neg(tanh(x0) * ((sinh(x0) * -46.028236) + -50.900818)),0.0011864324065195054,-(-1)*(sinh(x0)*(-46.028236) - 50.900818)*tanh(x0) - 88.53899,PySRFunction(X=>-(-1)*(sinh(x0)*(-46.028236) - 50.900818)*tanh(x0) - 88.53899)
10,13,0.15951066,(((sinh(x0) * 46.131374) + 68.879974) * (0.28350276 - tanh(x0))) + -107.96386,2.215568826037143,(0.28350276 - tanh(x0))*(sinh(x0)*46.131374 + 68.879974) - 107.96386,PySRFunction(X=>(0.28350276 - tanh(x0))*(sinh(x0)*46.131374 + 68.879974) - 107.96386)
11,14,0.12736301,(((sinh(x0) * 45.27279) + 72.50454) * (0.35692945 - sin(asinh(x0)))) + -114.48849,0.22506939823664693,(0.35692945 - sin(asinh(x0)))*(sinh(x0)*45.27279 + 72.50454) - 114.48849,PySRFunction(X=>(0.35692945 - sin(asinh(x0)))*(sinh(x0)*45.27279 + 72.50454) - 114.48849)
12,15,2.5203917e-11,-89.04738 - (x0 * (((x0 * 41.00251) + 54.301792) - ((x0 * 17.526167) * x0))),22.343307773610867,-x0*(-17.526167*x0*x0 + x0*41.00251 + 54.301792) - 89.04738,PySRFunction(X=>-x0*(-17.526167*x0*x0 + x0*41.00251 + 54.301792) - 89.04738)
13,16,2.363231e-11,neg(89.04738 - ((x0 * ((x0 * (-41.002514 - (-17.52617 * x0))) + -53.301796)) - x0)),0.06438457543696129,x0*(x0*(-(-1)*17.52617*x0 - 41.002514) - 53.301796) - x0 - 89.04738,PySRFunction(X=>x0*(x0*(-(-1)*17.52617*x0 - 41.002514) - 53.301796) - x0 - 89.04738)
14,18,2.2875611e-11,neg(89.04738 - (((((x0 * -41.002514) - (x0 * (x0 * -17.52617))) + -53.301796) * x0) - x0)),0.01627176116098391,x0*(x0*(-41.002514) - (-17.52617)*x0*x0 - 53.301796) - x0 - 89.04738,PySRFunction(X=>x0*(x0*(-41.002514) - (-17.52617)*x0*x0 - 53.301796) - x0 - 89.04738)
15,20,2.2817402e-11,neg(89.04738 - ((((x0 * -41.002514) + ((-10.03314 - ((x0 * x0) * -17.526173)) + -43.268658)) * x0) - x0)),0.0012739153683814725,x0*(x0*(-41.002514) - (-17.526173)*x0*x0 - 43.268658 - 10.03314) - x0 - 89.04738,PySRFunction(X=>x0*(x0*(-41.002514) - (-17.526173)*x0*x0 - 43.268658 - 10.03314) - x0 - 89.04738)
16,21,2.1478626e-11,-114.37234 - (((x0 * ((x0 * (x0 * -17.526173)) + 54.301796)) + -10.078908) - (((x0 * x0) * -41.002506) + 15.246049)),0.06046518933634532,-(x0*(x0*x0*(-17.526173) + 54.301796) - (x0*x0*(-41.002506) + 15.246049) - 10.078908) - 114.37234,PySRFunction(X=>-(x0*(x0*x0*(-17.526173) + 54.301796) - (x0*x0*(-41.002506) + 15.246049) - 10.078908) - 114.37234)
