ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
0,21.991357939000864 + -11.340204539462675*x0 + 87.76198056602482*x0**2 + 87.9873740746043*x0**3,166.36278**x0 + 36.081112,431.975,5,95769.37299840437,64.0695044848116,-100.000000000000,-100.000000000000,-100.000000000000,1
1,66.71433806081325 + -54.96927564720955*x0 + -80.07363622006798*x0**2 + 31.797534814556315*x0**3,73.8037*cos(1.71487465123737*x0 - 5.8961945),62.36883,8,9519.820532229583,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
2,57.0684210628599 + -57.398432923025226*x0 + -85.03207056309296*x0**2 + -7.545190219422878*x0**3,201.80731*sin(x0 - 35.7678) - 130.10945,56.08739,8,11862.526587593142,-327.988522508248,-100.000000000000,-100.000000000000,-100.000000000000,1
3,72.85208461805121 + 25.859720173366327*x0 + -94.73049384515548*x0**2 + 33.36385675913883*x0**3,273.25504*sin(sin(x0 - 30.113455)) - 154.84772,76.90058,9,21285.965633998087,-312.550843001728,-100.000000000000,-100.000000000000,-100.000000000000,1
4,-43.02440049465268 + 58.27373034513806*x0 + -5.581161088185382*x0**2 + -94.8828450214265*x0**3,sinh(sin(sinh(x0 + tanh(x0) - 0.7047158) + 1.3326731) + 4.054875)/(1.22819939220235 - 0.580868582084689*x0) - 103.257515/(1.22819939220235 - 0.580868582084689*x0),2.3208969,21,765.2549054856164,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
5,-57.15738185292927 + 92.60123580207699*x0 + -2.2496889664254525*x0**2 + 30.695054760700145*x0**3,101.90614*sinh(x0) - 58.17266,46.465076,6,5739.898409860504,1.77628525687745,-100.000000000000,-100.000000000000,-100.000000000000,1
6,45.05435315220623 + 18.405023142283227*x0 + -8.568396395855984*x0**2 + -10.121755012479426*x0**3,10.750486*x0 + 40.854774,34.461777,5,12324.097133603675,-9.32113959780729,-41.5893915650554,-100.000000000000,-100.000000000000,1
7,12.108738674714402 + 67.8415906670136*x0 + -94.58486963951434*x0**2 + -86.924157802465*x0**3,141.21367 - cosh(0.29656840109951*x0 + tanh(x0)*atan(x0 - cos(x0)) + 5.5682116),7.1832533,17,2694.514490450893,1066.21287975174,-100.000000000000,-100.000000000000,-100.000000000000,1
8,-58.78654803332297 + -2.2937765986271046*x0 + 91.51952347909284*x0**2 + -9.295404763195464*x0**3,138.52226 - 198.44647*cos(x0 - 0.054794304),23.78279,8,4355.6995393212665,-335.635982438498,-100.000000000000,-100.000000000000,-100.000000000000,1
9,35.23239169165316 + 76.95973048493846*x0 + 38.853107027267555*x0**2 + -31.386747783161823*x0**3,Abs(74.91179*x0 + 42.80971),151.36896,6,17451.953813561715,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
