,complexity,loss,equation,score,sympy_format,lambda_format
0,1,4349.5435,48.472633,0.0,48.4726330000000,PySRFunction(X=>48.4726330000000)
1,3,2500.019,x0 * -91.84152,0.27688628260986475,x0*(-91.84152),PySRFunction(X=>x0*(-91.84152))
2,4,1113.621,sinh(4.592974 - x0),0.8086814636664414,sinh(4.592974 - x0),PySRFunction(X=>sinh(4.592974 - x0))
3,5,194.20116,(x0 * -91.39628) + 48.018456,1.746477618098105,48.018456 + x0*(-91.39628),PySRFunction(X=>48.018456 + x0*(-91.39628))
4,11,193.66214,exp(sin(-45.68669 / x0)) + ((x0 * -91.976776) - -46.896126),0.0004632391077007644,x0*(-91.976776) + exp(sin(-45.68669/x0)) - 1*(-46.896126),PySRFunction(X=>x0*(-91.976776) + exp(sin(-45.68669/x0)) - 1*(-46.896126))
5,12,193.33093,sin(-45.78648 / x0) + (((x0 * -92.97892) - -48.03654) + x0),0.0017117106560546901,x0*(-92.97892) + x0 + sin(-45.78648/x0) - 1*(-48.03654),PySRFunction(X=>x0*(-92.97892) + x0 + sin(-45.78648/x0) - 1*(-48.03654))
6,13,193.11745,(sin(-45.78648 / x0) + ((x0 * -92.97892) - -48.03654)) + tan(x0),0.001104830723913951,x0*(-92.97892) + sin(-45.78648/x0) + tan(x0) - 1*(-48.03654),PySRFunction(X=>x0*(-92.97892) + sin(-45.78648/x0) + tan(x0) - 1*(-48.03654))
7,14,193.07802,(sin(-45.78648 / x0) + (((x0 * -92.97892) - -48.03654) + x0)) + x0,0.00020419711363774904,x0*(-92.97892) + x0 + x0 + sin(-45.78648/x0) - 1*(-48.03654),PySRFunction(X=>x0*(-92.97892) + x0 + x0 + sin(-45.78648/x0) - 1*(-48.03654))
8,15,192.85893,exp(sin((x0 * -40.528915) / (x0 + 1.7937379))) + ((x0 * -91.976776) - -46.896126),0.0011353669221617574,x0*(-91.976776) + exp(sin(x0*(-40.528915)/(x0 + 1.7937379))) - 1*(-46.896126),PySRFunction(X=>x0*(-91.976776) + exp(sin(x0*(-40.528915)/(x0 + 1.7937379))) - 1*(-46.896126))
9,16,192.8342,exp(sin(x0 * (-45.68669 / (sin(x0) + -0.4416301)))) + ((x0 * -91.976776) - -46.896126),0.0001282366633487315,x0*(-91.976776) + exp(sin(x0*(-45.68669)/(sin(x0) - 0.4416301))) - 1*(-46.896126),PySRFunction(X=>x0*(-91.976776) + exp(sin(x0*(-45.68669)/(sin(x0) - 0.4416301))) - 1*(-46.896126))
10,17,192.58316,exp(sin((x0 * -40.528915) / (x0 + 1.7937379))) + ((x0 * -92.13738) - (-46.589317 - x0)),0.0013026918948403957,x0*(-92.13738) - (-x0 - 46.589317) + exp(sin(x0*(-40.528915)/(x0 + 1.7937379))),PySRFunction(X=>x0*(-92.13738) - (-x0 - 46.589317) + exp(sin(x0*(-40.528915)/(x0 + 1.7937379))))
11,18,192.53438,(exp(sin(x0 * (-45.68669 / (sin(x0) + -0.4416301)))) + ((x0 * -91.976776) - -46.896126)) + x0,0.00025332525888518715,x0*(-91.976776) + x0 + exp(sin(x0*(-45.68669)/(sin(x0) - 0.4416301))) - 1*(-46.896126),PySRFunction(X=>x0*(-91.976776) + x0 + exp(sin(x0*(-45.68669)/(sin(x0) - 0.4416301))) - 1*(-46.896126))
12,19,192.44017,((exp(sin((x0 * -45.68669) / (x0 + 1.9091235)) * 1.3972068) + (x0 * -91.976776)) - -46.290085) + x0,0.0004894349607299631,x0*(-91.976776) + x0 + exp(sin(x0*(-45.68669)/(x0 + 1.9091235))*1.3972068) - 1*(-46.290085),PySRFunction(X=>x0*(-91.976776) + x0 + exp(sin(x0*(-45.68669)/(x0 + 1.9091235))*1.3972068) - 1*(-46.290085))
13,25,192.42975,((exp(sin(sin(x0 * (-40.528915 / (x0 + 1.7937379)))) * (inv(x0 / x0) + 1.1715891)) + x0) + (x0 * -91.976776)) - -46.290085,9.024694198443818e-06,x0*(-91.976776) + x0 + exp((inv(x0/x0) + 1.1715891)*sin(sin(x0*(-40.528915)/(x0 + 1.7937379)))) - 1*(-46.290085),PySRFunction(X=>x0*(-91.976776) + x0 + exp((inv(x0/x0) + 1.1715891)*sin(sin(x0*(-40.528915)/(x0 + 1.7937379)))) - 1*(-46.290085))
14,26,191.46523,(exp(sin((x0 * -45.68669) / (x0 + 1.9091235))) * exp(sin(inv(x0) / (x0 + 0.15903056)))) + (((x0 * -91.976776) - -46.290085) + x0),0.005024926502039043,x0*(-91.976776) + x0 + exp(sin(inv(x0)/(x0 + 0.15903056)))*exp(sin(x0*(-45.68669)/(x0 + 1.9091235))) - 1*(-46.290085),PySRFunction(X=>x0*(-91.976776) + x0 + exp(sin(inv(x0)/(x0 + 0.15903056)))*exp(sin(x0*(-45.68669)/(x0 + 1.9091235))) - 1*(-46.290085))
