ID,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1
0,x0*27.845888 + 46.745834,54.68316,5,93.51675976511405,-0.123964054826015,1.54957864583641
1,x0*(-51.658356) - 1*29.565323,4.9534836,5,5.385202213911485,0.0722152869782487,-0.191832499933741
2,x0/0.035377268 + 94.46276,145.3102,5,173.28407309435082,-0.144198838117919,-1.93823805896929
3,x0*(-53.81394) - 78.206535,6.1449785,5,3.3854641247370787,-0.00161407008036057,0.153397144119117
4,83.43943 + x0*(-92.39244),297.1214,5,27.268026499030498,0.138385194473953,0.180379017782652
5,48.018456 + x0*(-91.39628),194.20116,5,168.94474611810546,-0.0344938788116899,0.641055936654914
6,20.537926 - 28.332281*x0,21.987354,5,163.00946163745485,0.845861212683746,1.85406381242072
7,(x0 - 1.0625176)*35.241646,0.050723117,5,0.017697617327557293,-0.0106415005400962,0.00553433194582860
8,x0*(-10.021763) - 68.70135,30.540634,5,14.838756310394547,-0.146658492264490,-0.965706912554024
9,x0*(-84.64704) - 12.97971,47.093357,5,137.5245280458745,-2.58808449085877,-0.231918722185072
