ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
0,-98.48060375933241 + 15.815301223564575*x0 + 56.306284425489906*x0**2 + -28.607347677476042*x0**3,-28.103592*x0**3 + 56.2448313697984*x0**2 + 15.4161977515344*x0 - 98.41195,2.267861,13,10.093905742920972,-0.0697129756639010,-2.52352747752611,-0.109140669320531,-1.76093108370433,0
1,-21.448827361943998 + -13.15128160335047*x0 + 48.71431797945874*x0**2 + 0.5095962553331077*x0**3,48.862637*x0**2 - 12.741103*x0 - 21.54667,3.8073077,9,11.87509581127804,0.456167772740808,-3.11892495135964,0.304466995932899,-100.000000000000,1
2,53.91781089352099 + -77.03075542886924*x0 + -76.63649223561602*x0**2 + 14.755814150188073*x0**3,13.865167*x0**3 - 76.668703543886*x0**2 - 76.2408323027053*x0 + 53.9538002101634,11.957619,13,32.89267705782144,0.0667484752181062,-1.02546459757022,0.0420312925739873,-6.03590653231913,0
3,-33.38649454613358 + 90.80722037131724*x0 + 24.24934830113014*x0**2 + 59.96047902569032*x0**3,60.288895*x0**3 + 25.031780395094*x0**2 + 91.17908*x0 - 33.7345,49.44789,13,269.20631083153575,1.04235397755085,0.409504472400097,3.22661081134042,0.547720731465415,0
4,-88.56730956923914 + 48.85662225428908*x0 + -22.24539065350062*x0**2 + 51.467377776354965*x0**3,51.6230352273315*x0**3 - 22.261755*x0**2 + 48.7499865552435*x0 - 88.55591,0.2554514,15,0.8519051655742756,-0.0128710799668513,-0.218262528446109,0.0735628641199183,0.302439054993095,0
5,-23.33712478176477 + 76.97788479962819*x0 + -98.16901862649034*x0**2 + 29.43572643656296*x0**3,29.337724*x0**3 - 98.2282641447338*x0**2 + 77.0466282454255*x0 - 23.30294047734,0.08031072,15,0.7673258729862914,-0.146480360131957,0.0893028510412406,0.0603505251172117,-0.332937040892002,0
6,-47.703946133516475 + -86.85683937322133*x0 + -59.26242170422682*x0**2 + -72.17684205945447*x0**3,-71.8255597829723*x0**3 - 58.7350426626186*x0**2 - 87.2689713442309*x0 - 47.991375,6.475019,15,50.438632915996486,0.602526394103858,0.474495703485885,-0.889904641832461,-0.486696655684604,0
7,-94.11787839170198 + 10.516480473569786*x0 + 43.26629166064026*x0**2 + -25.68846247820464*x0**3,-25.597988*x0**3 + 43.4078086293904*x0**2 + 10.425842929502*x0 - 94.2084745668626,3.2396522,13,3.4249873929608374,0.0962581995139683,-0.861861953679061,0.327083656394981,-0.352198884154331,0
8,17.03452719819363 + 83.6754351731218*x0 + 7.124284982641882*x0**2 + 35.319102231575044*x0**3,35.897034*x0**3 + 7.43973424439004*x0**2 + 82.94922*x0 + 17.1913967203932,48.662067,11,165.25562398836124,0.920891553809619,-0.867895304780053,4.42780240426570,1.63631500210752,0
9,69.56983192810623 + -91.66602878642469*x0 + 73.20284791121318*x0**2 + -85.93700104139268*x0**3,-48.066097 + 112.391776897253/3.2041476**x0,371.58426,7,110116.93079291053,-169.090431395137,-100.000000000000,-100.000000000000,-100.000000000000,1
10,98.13074815777918 + -72.83430195701362*x0 + 42.12281136804995*x0**2 + 16.546812649862247*x0**3,217.37825/(x0 + 2.0790992),150.31288,5,48382.260890176745,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
11,92.3729170775872 + 63.776285667368*x0 + 83.9841319929784*x0**2 + -1.3002279017611187*x0**3,90.555176*(x0 + 1.7555496)**x0,181.92369,7,26954.784632178806,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
12,-15.677036503590642 + -67.61273346720544*x0 + 83.92349988502613*x0**2 + 70.43391729710214*x0**3,70.23438*x0**3 + 84.20707*x0**2 - 67.77698*x0 - 15.70398,12.856377,13,74.09199700849884,0.171866005435315,0.242922485709316,0.337891193005959,-0.283297173804004,0
13,34.78513322958918 + -27.472473431315166*x0 + 14.477266981766348*x0**2 + -1.1521655588132944*x0**3,36.407467*0.47091585**x0,16.715355,5,2360.4329398223804,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
14,-4.16268375206019 + 52.79502392221434*x0 + -84.72569775989322*x0**2 + 73.16986418923165*x0**3,73.6921*x0**3 - 84.73991646306*x0**2 + 52.241776*x0 - 4.0900764,3.3050745,13,26.018177831075665,-1.74424377120301,-1.04791679425976,0.0167820431612810,0.713730736765817,0
15,72.18554400120246 + -35.965712996237016*x0 + 22.00512493569579*x0**2 + -89.02586929940773*x0**3,-89.98503*x0**3 + 22.9761458652894*x0**2 - 35.0530331421882*x0 + 71.561584,116.314545,13,184.99014434219492,-0.864383596239253,-2.53763870646554,4.41270355170062,1.07739548980584,0
16,-39.89208370125947 + -33.72134080050948*x0 + -92.71078439090769*x0**2 + -6.489830842300904*x0**3,-92.866776*x0**2 - 38.6052964145467*x0 - 39.86818,4.910875,9,1324.9061871650306,-0.0599209142307000,14.4832782389348,0.168256163635273,-100.000000000000,1
17,-55.763277113621456 + 83.11046475114085*x0 + -64.11420692877468*x0**2 + -71.98837292090276*x0**3,-73.07245*x0**3 - 63.854236209335*x0**2 + 84.0271089529721*x0 - 55.915825,3.4741805,13,51.28971378404972,0.273563345403312,1.10292272408287,-0.405480675645679,1.50590579438206,0
18,27.42060139275611 + -89.05897673470267*x0 + -68.2369843672689*x0**2 + 53.41339933542426*x0**3,53.659958*x0**3 - 68.300575*x0**2 - 89.15924*x0 + 27.513443,5.9922833,13,9.647442922403979,0.338583410021101,0.112580751512565,0.0931908602361894,0.461604518048759,0
19,-25.065280732137182 + -43.516670013326*x0 + -33.727902415088366*x0**2 + 32.12173728409658*x0**3,32.095913*x0**3 - 33.70968*x0**2 - 43.49994*x0 - 25.083675,0.58486533,13,0.15245519437870453,0.0733854452275615,-0.0384450678805936,-0.0540277152848233,-0.0803950417381839,0
20,-31.817405617634464 + 54.61853331657338*x0 + 25.766519715411505*x0**2 + 87.91736574796539*x0**3,74.15667*2.2334602**x0 + 74.15667*x0**3 - 105.567604,49.868347,13,1694.721262827737,231.791992309676,-100.000000000000,-100.000000000000,-15.6518517483946,1
21,14.952796189174705 + 56.269947272616236*x0 + 38.187087391303294*x0**2 + 86.07005734368275*x0**3,94.94794*x0**3 + 34.1853943322664*x0**2 + 49.47037*x0 + 17.8114881293172,105.09456,11,5236.671981739877,19.1181094423803,-12.0838522198603,-10.4791785192506,10.3147167903785,0
22,-93.13380465848454 + -74.76264619046691*x0 + 73.29241511920634*x0**2 + -25.783859136449564*x0**3,-25.892063*x0**3 + 73.76715*x0**2 - 74.59558*x0 - 93.36956,16.08055,13,32.05973550811108,0.253136165090614,-0.223462115079889,0.647727162519518,0.419657363848505,0
23,28.837544322976925 + 49.623570411650775*x0 + -51.476034920521684*x0**2 + 41.699514978526935*x0**3,46.080685*x0**3 - 51.9425213855485*x0**2 + 46.080685*x0 + 29.002563,12.366293,13,667.6290474904694,0.572235538417853,-7.13952136507083,0.906220663163096,10.5065251327962,0
24,38.580787121086246 + -84.25368914808016*x0 + -14.34478267395572*x0**2 + 15.396979274087712*x0**3,-0.035171956**x0 - 83.89108*x0 + 37.852993,23.168837,9,1317.711342542557,-1.88641594792262,-0.430377769503777,-100.000000000000,-100.000000000000,1
25,78.64238879540699 + 6.493100238860208*x0 + 82.57486572573424*x0**2 + 92.63023502096539*x0**3,9.716257*19.747105**x0 + 73.101104853859,206.54007,7,34017.21088356214,-7.04617958129931,-100.000000000000,-100.000000000000,-100.000000000000,1
26,3.034433629953881 + 39.593339269410734*x0 + -98.41199333058131*x0**2 + -27.019719326930385*x0**3,-26.967379*x0**3 - 98.3787992038958*x0**2 + 39.5552154473695*x0 + 2.991773,0.110505946,13,0.9076357076158437,-1.40588443038478,-0.0962884736288130,-0.0337297574839102,-0.193711586331013,0
27,-63.3149841941385 + -88.27545328555388*x0 + 21.873062918098938*x0**2 + 16.244874007215216*x0**3,10.890359*4.3241534**x0*x0 - 97.283239345871*x0 - 62.71619,3.140176,11,487.6492665668025,-0.945738519498739,10.2041798994548 - 12.3367919332816*4.3241534**x0,-100.000000000000,-100.000000000000,1
28,-32.19109491473482 + -68.06626115788437*x0 + 7.57421166351844*x0**2 + -95.66357451854898*x0**3,-92.96706*x0**3 - 70.172554*x0 - 28.486887,51.936634,11,7407.528212100026,-11.5069335931140,3.09447412901077,-100.000000000000,-2.81874739901772,1
29,-10.280546810645859 + 76.69449314278967*x0 + 92.94100949536471*x0**2 + 69.18100322761953*x0**3,56.88227*5.2030783**x0 - 66.630035,141.35443,7,16518.141408077146,548.117616963743,-100.000000000000,-100.000000000000,-100.000000000000,1
30,-0.027523396419624646 + 68.77157390399748*x0 + 58.36734044453988*x0**2 + 46.51199495795376*x0**3,88.6258316648043*1.8938609**x0*x0,94.17452,7,25639.78703819991,-100.000000000000,128.869860952321*1.8938609**x0 - 100.0,-100.000000000000,-100.000000000000,1
31,27.55492479224293 + -66.74094122566194*x0 + -50.94100301985927*x0**2 + 56.06179588433159*x0**3,(5.4329977*x0 + 8.864823)**(1.9910423 - x0) - 49.834072,6.5251427,11,1836.2408981288988,-280.853594686743,-100.000000000000,-100.000000000000,-100.000000000000,1
32,-39.18299921925823 + -10.042664204035319*x0 + -30.107047337151343*x0**2 + -56.72818167023994*x0**3,-56.72963*x0**3 - 30.1174224584052*x0**2 - 10.0511204154355*x0 - 39.178753,0.015957251,15,0.0591868218711034,-0.0108368918736082,0.0842028691627840,0.0344607730464891,0.00255310450188281,0
