,complexity,loss,equation,score,sympy_format,lambda_format
0,1,2223.017,-15.793585,0.0,-15.7935850000000,PySRFunction(X=>-15.7935850000000)
1,3,609.52814,x0 * 61.164978,0.6469677222059226,x0*61.164978,PySRFunction(X=>x0*61.164978)
2,5,369.7253,(x0 * 60.90545) + -15.489318,0.2499624096900775,x0*60.90545 - 15.489318,PySRFunction(X=>x0*60.90545 - 15.489318)
3,7,47.036743,x0 * (60.75007 - (x0 * 38.869766)),1.0309156176093628,x0*(60.75007 - 38.869766*x0),PySRFunction(X=>x0*(60.75007 - 38.869766*x0))
4,9,2.617497,(-0.16427271 - x0) * (-69.72383 - (x0 * -54.168762)),1.444355272308787,(-x0 - 0.16427271)*(-(-54.168762)*x0 - 69.72383),PySRFunction(X=>(-x0 - 0.16427271)*(-(-54.168762)*x0 - 69.72383))
5,11,2.4439147,(-0.16427271 - x0) * (-70.45181 - ((-54.173763 - x0) * x0)),0.03430868936507669,(-x0 - 0.16427271)*(-x0*(-x0 - 54.173763) - 70.45181),PySRFunction(X=>(-x0 - 0.16427271)*(-x0*(-x0 - 54.173763) - 70.45181))
6,13,2.282631,(-71.81044 - (x0 * (-53.65505 - (x0 * 3.243917)))) * (-0.1598934 - x0),0.03413620692534,(-x0 - 0.1598934)*(-x0*(-3.243917*x0 - 53.65505) - 71.81044),PySRFunction(X=>(-x0 - 0.1598934)*(-x0*(-3.243917*x0 - 53.65505) - 71.81044))
7,15,2.2825794,(-0.1598934 - x0) * (-71.81044 - (x0 * (-53.65505 - ((0.0074806456 + x0) * 3.2364364)))),1.130287445286846e-05,(-x0 - 0.1598934)*(-x0*(-3.2364364*(x0 + 0.0074806456) - 53.65505) - 71.81044),PySRFunction(X=>(-x0 - 0.1598934)*(-x0*(-3.2364364*(x0 + 0.0074806456) - 53.65505) - 71.81044))
8,17,2.2822416,(-0.1598934 - x0) * ((-71.81044 - (x0 * (-53.65505 - (x0 * 3.2364364)))) + (0.0033201003 / x0)),7.400071122542646e-05,(-x0 - 0.1598934)*(-x0*(-3.2364364*x0 - 53.65505) - 71.81044 + 0.0033201003/x0),PySRFunction(X=>(-x0 - 0.1598934)*(-x0*(-3.2364364*x0 - 53.65505) - 71.81044 + 0.0033201003/x0))
9,19,2.2821236,(-0.1598934 - x0) * ((-71.81044 - (x0 * (-53.65505 - (x0 * 3.2364364)))) + ((0.0033201003 / x0) * 3.2364364)),2.5852444941581662e-05,(-x0 - 0.1598934)*(-x0*(-3.2364364*x0 - 53.65505) - 71.81044 + 0.0033201003*3.2364364/x0),PySRFunction(X=>(-x0 - 0.1598934)*(-x0*(-3.2364364*x0 - 53.65505) - 71.81044 + 0.0033201003*3.2364364/x0))
10,21,2.2818804,((-0.1598934 - x0) * (-71.81044 - (x0 * (-53.65505 - (x0 * 3.2364364))))) + ((0.0033201003 / (x0 * -0.66875917)) * 0.2435416),5.328654405872094e-05,(-x0 - 0.1598934)*(-x0*(-3.2364364*x0 - 53.65505) - 71.81044) + 0.0033201003*0.2435416/(x0*(-0.66875917)),PySRFunction(X=>(-x0 - 0.1598934)*(-x0*(-3.2364364*x0 - 53.65505) - 71.81044) + 0.0033201003*0.2435416/(x0*(-0.66875917)))
11,27,2.279159,((((x0 / 0.09865542) - 9.603955) * (((0.868996 - (x0 / 0.21025786)) - x0) / (0.9372195 ^ x0))) - ((0.098810725 / (0.21056685 - x0)) * 0.06264226)) + 19.903593,0.00019888743802160263,19.903593 - 0.06264226*0.098810725/(0.21056685 - x0) + (x0/0.09865542 - 1*9.603955)*(-x0/0.21025786 - x0 + 0.868996)/(0.9372195**x0),PySRFunction(X=>19.903593 - 0.06264226*0.098810725/(0.21056685 - x0) + (x0/0.09865542 - 1*9.603955)*(-x0/0.21025786 - x0 + 0.868996)/(0.9372195**x0))
12,29,2.2785807,(((((x0 / 0.09865542) - 9.603955) * (((0.868996 - (x0 / 0.21025786)) - x0) / (0.9372195 ^ x0))) - ((0.098810725 / (0.21056685 - x0)) * 0.06264226)) + 19.903593) / 1.0008698,0.00012688306949677202,(19.903593 - 0.06264226*0.098810725/(0.21056685 - x0) + (x0/0.09865542 - 1*9.603955)*(-x0/0.21025786 - x0 + 0.868996)/(0.9372195**x0))/1.0008698,PySRFunction(X=>(19.903593 - 0.06264226*0.098810725/(0.21056685 - x0) + (x0/0.09865542 - 1*9.603955)*(-x0/0.21025786 - x0 + 0.868996)/(0.9372195**x0))/1.0008698)
