,complexity,loss,equation,score,sympy_format,lambda_format
0,1,5187.3926,-32.13182,0.0,-32.1318200000000,PySRFunction(X=>-32.1318200000000)
1,3,2069.647,x0 * -91.29748,0.45942656019692857,x0*(-91.29748),PySRFunction(X=>x0*(-91.29748))
2,5,348.29187,(28.254795 ^ x0) * -6.8963547,0.8910462525816928,28.254795**x0*(-6.8963547),PySRFunction(X=>28.254795**x0*(-6.8963547))
3,7,39.443592,28.944414 - (9.672982 ^ (x0 + 1.3684335)),1.089084617257433,28.944414 - 9.672982**(x0 + 1.3684335),PySRFunction(X=>28.944414 - 9.672982**(x0 + 1.3684335))
4,9,25.274313,x0 * (-32.8351 - ((x0 + 1.5592062) ^ 5.36958)),0.22254150855492066,x0*(-(x0 + 1.5592062)**5.36958 - 32.8351),PySRFunction(X=>x0*(-(x0 + 1.5592062)**5.36958 - 32.8351))
5,11,19.818161,x0 * ((x0 * ((x0 + 0.82624644) * -84.8994)) - 28.254795),0.12159492199838581,x0*(x0*(x0 + 0.82624644)*(-84.8994) - 1*28.254795),PySRFunction(X=>x0*(x0*(x0 + 0.82624644)*(-84.8994) - 1*28.254795))
6,13,4.2072825,((-28.57614 - ((x0 * 84.601654) * (x0 + 0.93720824))) * x0) - -6.851731,0.774890893594706,x0*(-84.601654*x0*(x0 + 0.93720824) - 28.57614) - 1*(-6.851731),PySRFunction(X=>x0*(-84.601654*x0*(x0 + 0.93720824) - 28.57614) - 1*(-6.851731))
7,21,4.19415,(((-28.492926 - (((x0 + 0.9360597) * 84.57336) * x0)) * x0) - -6.792586) + ((x0 / (x0 + -0.34855527)) * 0.0027105417),0.00039078189034550916,x0*(-84.57336*x0*(x0 + 0.9360597) - 28.492926) + x0*0.0027105417/(x0 - 0.34855527) - 1*(-6.792586),PySRFunction(X=>x0*(-84.57336*x0*(x0 + 0.9360597) - 28.492926) + x0*0.0027105417/(x0 - 0.34855527) - 1*(-6.792586))
8,23,4.189846,(((-28.492926 - (((x0 + 0.9360597) * 84.57336) * x0)) * x0) - -6.792586) + ((x0 / ((x0 * x0) + -0.34899855)) * 0.0038289893),0.0005133590686455185,x0*(-84.57336*x0*(x0 + 0.9360597) - 28.492926) + x0*0.0038289893/(x0*x0 - 0.34899855) - 1*(-6.792586),PySRFunction(X=>x0*(-84.57336*x0*(x0 + 0.9360597) - 28.492926) + x0*0.0038289893/(x0*x0 - 0.34899855) - 1*(-6.792586))
9,25,4.187225,(((-28.49293 - (((x0 + 0.93579483) * x0) * 84.57336)) * x0) - -6.792601) + (((x0 + x0) / ((x0 * x0) + -0.34899855)) * 0.0038289893),0.00031287786453352044,x0*(-84.57336*x0*(x0 + 0.93579483) - 28.49293) + (x0 + x0)*0.0038289893/(x0*x0 - 0.34899855) - 1*(-6.792601),PySRFunction(X=>x0*(-84.57336*x0*(x0 + 0.93579483) - 28.49293) + (x0 + x0)*0.0038289893/(x0*x0 - 0.34899855) - 1*(-6.792601))
10,27,4.186329,(((-28.49293 - ((x0 + 0.93579483) * (x0 * 84.57336))) * x0) - -6.792601) + ((((x0 + x0) / ((x0 * x0) + -0.34899855)) * 0.0038289893) + -0.03194042),0.0001070035499167747,x0*(-84.57336*x0*(x0 + 0.93579483) - 28.49293) + (x0 + x0)*0.0038289893/(x0*x0 - 0.34899855) - 0.03194042 - 1*(-6.792601),PySRFunction(X=>x0*(-84.57336*x0*(x0 + 0.93579483) - 28.49293) + (x0 + x0)*0.0038289893/(x0*x0 - 0.34899855) - 0.03194042 - 1*(-6.792601))
11,29,4.186154,((((-28.49293 - (((x0 + 0.93579483) * x0) * 84.57336)) * x0) - -6.792601) + (((x0 + (0.39792097 * x0)) / ((x0 * x0) + -0.34899855)) * 0.0038289893)) + -0.03194042,2.0901804163106102e-05,x0*(-84.57336*x0*(x0 + 0.93579483) - 28.49293) + (0.39792097*x0 + x0)*0.0038289893/(x0*x0 - 0.34899855) - 0.03194042 - 1*(-6.792601),PySRFunction(X=>x0*(-84.57336*x0*(x0 + 0.93579483) - 28.49293) + (0.39792097*x0 + x0)*0.0038289893/(x0*x0 - 0.34899855) - 0.03194042 - 1*(-6.792601))
