ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
0,29.57719865755081 + -84.62876834588545*x0 + -90.16818557206874*x0**2 + 69.11143066634762*x0**3,68.72189*x0**3 - 90.286915670906*x0**2 - 84.268641361944*x0 + 29.69584,4.9119945,13,12.380611731771689,0.401124338456924,-0.425537309570157,0.131676264842191,-0.563641444825845,0
1,26.546281883552837 + -73.86913322787625*x0 + 99.87273336722615*x0**2 + -28.09198565309201*x0**3,17.907259616226*(1 - x0)**3.5863929 + 14.435645,148.97736,9,22115.61457333332,-45.6208403748480,-100.000000000000,-100.000000000000,-100.000000000000,1
2,-33.15589385748139 + -76.87301124723255*x0 + 5.229956858608503*x0**2 + -45.99005253330499*x0**3,-45.4816*x0**3 - 77.55587*x0 - 30.411125,25.355247,11,3483.4883539900975,-8.27837388212067,0.888294528454585,-100.000000000000,-1.10557067299886,1
3,-23.47084121398663 + 18.17771888930426*x0 + -1.7857011975187334*x0**2 + -33.30005055880052*x0**3,-33.31913*x0**3 - 1.84591885202036*x0**2 + 18.232685*x0 - 23.45479,0.27500808,13,1.4964966628613143,-0.0683878938990344,0.302381784152702,3.37221336835638,0.0572955322268657,0
4,12.472013443644244 + 0.18428747395913092*x0 + -76.27517853032349*x0**2 + -85.2554260623646*x0**3,-85.12774*x0**3 - 76.377396*x0**2 + 12.5526,1.1323347,11,6.606733738173033,0.646139107529774,-100.000000000000,0.134011445985513,-0.149768839664469,1
5,-61.73222834900902 + 40.00457492958199*x0 + 9.53123949143287*x0**2 + 43.19531168386291*x0**3,43.82335*x0**3 + 9.463949*x0**2 + 39.572037*x0 - 61.736385,2.4798887,13,15.111954734617791,0.00673335646897190,-1.08122116118810,-0.705999377031235,1.45395018962605,0
6,33.43708582077289 + 1.8862827003725613*x0 + -71.22321309375401*x0**2 + -78.23824357931318*x0**3,-75.8554*x0**3 - 71.30518348884*x0**2 + 33.438522,4.1322637,11,185.41362714010995,0.00429516864838086,-100.000000000000,0.115089437172805,-3.04562509368911,1
7,6.8242203425104435 + -28.04082640959882*x0 + -79.23800771147748*x0**2 + -85.28927296724214*x0**3,-84.601654*x0**3 - 79.289367246429*x0**2 - 28.57614*x0 + 6.851731,4.2072825,13,15.35064217842577,0.403132608690593,1.90905069123758,0.0648167923889304,-0.806219754629923,0
8,-86.68736158284011 + -76.9045100203445*x0 + -7.486012158753951*x0**2 + -60.87095954636237*x0**3,-60.85844*x0**3 - 7.3348125520688*x0**2 - 76.8410835128*x0 - 86.684235,4.9789586,13,11.544207626725276,-0.00360673434168663,-0.0824743666238983,-2.01976170327672,-0.0205673550337813,0
9,-28.408341270840467 + -94.2602338850884*x0 + -28.38993894526878*x0**2 + 87.08864392907796*x0**3,87.08298*x0**3 - 28.382374*x0**2 - 94.255066*x0 - 28.413855,0.0013427384,13,0.011628620807116682,0.0194088387877634,-0.00548257189208494,-0.0266465711087534,-0.00650363678020619,0
