,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1008.99,x0,0.0,x0,PySRFunction(X=>x0)
1,3,61.60824,x0 * 44.619793,1.397954740837193,x0*44.619793,PySRFunction(X=>x0*44.619793)
2,5,31.831198,(x0 + -0.1209064) * 44.619793,0.3301743748963287,(x0 - 0.1209064)*44.619793,PySRFunction(X=>(x0 - 0.1209064)*44.619793)
3,7,12.553168,x0 * (53.12293 - (25.132254 ^ x0)),0.46523690701658144,x0*(53.12293 - 25.132254**x0),PySRFunction(X=>x0*(53.12293 - 25.132254**x0))
4,9,11.856268,x0 * (x0 + (53.998707 - (27.52615 ^ x0))),0.028558195557434926,x0*(-27.52615**x0 + x0 + 53.998707),PySRFunction(X=>x0*(-27.52615**x0 + x0 + 53.998707))
5,11,1.3307873,(1.3587388 - x0) * (x0 * ((x0 * 28.604748) + 48.540142)),1.0935429754509738,x0*(1.3587388 - x0)*(x0*28.604748 + 48.540142),PySRFunction(X=>x0*(1.3587388 - x0)*(x0*28.604748 + 48.540142))
6,13,4.6507446e-12,(((1.3991238 - x0) * ((x0 * 28.740025) + 47.209347)) * x0) + -1.9929818,13.189882251050504,x0*(1.3991238 - x0)*(x0*28.740025 + 47.209347) - 1.9929818,PySRFunction(X=>x0*(1.3991238 - x0)*(x0*28.740025 + 47.209347) - 1.9929818)
7,15,3.5444581e-12,(((x0 * (((x0 * -27.740026) - x0) + -6.9984946)) - -66.05172) * x0) + -1.9929818,0.13582102535025153,x0*(x0*(x0*(-27.740026) - x0 - 6.9984946) - 1*(-66.05172)) - 1.9929818,PySRFunction(X=>x0*(x0*(x0*(-27.740026) - x0 - 6.9984946) - 1*(-66.05172)) - 1.9929818)
8,17,2.8521408e-12,(x0 * (((-9.97553 - x0) + (((x0 * -28.740019) + -5.998495) * x0)) - -76.027245)) - 1.9929817,0.10865770745716627,x0*(x0*(x0*(-28.740019) - 5.998495) - x0 - 9.97553 - 1*(-76.027245)) - 1*1.9929817,PySRFunction(X=>x0*(x0*(x0*(-28.740019) - 5.998495) - x0 - 9.97553 - 1*(-76.027245)) - 1*1.9929817)
9,19,2.6646144e-12,(x0 * (((((x0 * -14.370009) + -3.4992476) * (x0 + x0)) + 12.732184) - -53.31953)) - (1.9544729 + 0.038508303),0.034005256739892284,x0*((x0 + x0)*(x0*(-14.370009) - 3.4992476) + 12.732184 - 1*(-53.31953)) - (0.038508303 + 1.9544729),PySRFunction(X=>x0*((x0 + x0)*(x0*(-14.370009) - 3.4992476) + 12.732184 - 1*(-53.31953)) - (0.038508303 + 1.9544729))
10,23,2.6506876e-12,(x0 * (((((x0 * -14.370009) + -3.4992476) * (x0 + x0)) + 12.732184) - -53.31953)) - (x0 + ((1.9544729 - x0) + 0.038508303)),0.0013100696695832212,x0*((x0 + x0)*(x0*(-14.370009) - 3.4992476) + 12.732184 - 1*(-53.31953)) - (-x0 + x0 + 0.038508303 + 1.9544729),PySRFunction(X=>x0*((x0 + x0)*(x0*(-14.370009) - 3.4992476) + 12.732184 - 1*(-53.31953)) - (-x0 + x0 + 0.038508303 + 1.9544729))
