ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
0,-8.729748322637818 + -27.441722607752865*x0 + -86.07491763474673*x0**2 + -93.47842205816654*x0**3,-93.4784*x0**3 - 86.07491*x0**2 - 27.441736*x0 - 8.729749,4.4336642e-11,13,3.671634818353724e-08,7.75924067120734e-6,4.88025016683818e-5,-8.86988559806281e-6,-2.35970677131070e-5,0
1,98.44048274797814 + -51.63198920742953*x0 + -65.25097437308864*x0**2 + 81.39070853426426*x0**3,81.39071*x0**3 - 65.25098*x0**2 - 51.63199*x0 + 98.44048,2.129525e-11,13,3.490757066394884e-08,-2.79151225897331e-6,1.53503765242061e-6,8.62349016858358e-6,1.80086371263592e-6,0
2,37.986201732888986 + 59.63058058258247*x0 + -59.139323344254954*x0**2 + -81.87566019711483*x0**3,-81.87566*x0**3 - 59.139324*x0**2 + 59.630583557356*x0 + 37.9862039887384,1.1154683e-11,13,8.57914061641049e-09,5.93860221261877e-6,4.98867108229715e-6,1.10881391688927e-6,-2.40748995334216e-7,0
3,31.032099534190536 + 85.26311885628891*x0 + -6.143059974161758*x0**2 + -37.54037759660211*x0**3,-37.540377*x0**3 - 6.143058898536*x0**2 + 85.26311883348*x0 + 31.032099,1.01430244e-11,19,2.428125384776305e-10,-1.72141281175494e-6,-2.67511971095075e-8,-1.75096086547870e-5,-1.58922779067505e-6,0
4,70.85367642982195 + -11.285022567649605*x0 + 6.902104778242602*x0**2 + 12.514857014102716*x0**3,15.08223**x0 + 3*x0**2 + 16.547915*x0 + 68.81938/(0.5619862**x0 + x0 - 0.014070023),0.007401833,23,7.401854148145681,-100.000000000000,-246.636082478358,-56.5349977088604,-100.000000000000,1
5,-85.6725431504971 + 89.55280761297772*x0 + 28.481650829170093*x0**2 + 59.19484429096718*x0**3,59.19485*x0**3 + 28.481655*x0**2 + 89.5528*x0 - 85.67255,5.172821e-11,13,3.143961241364726e-08,7.99498023947039e-6,-8.50110444805669e-6,1.46439191051118e-5,9.64447645433538e-6,0
6,47.94986065059382 + -36.73843075539709*x0 + -92.16854141906576*x0**2 + 52.06990464597686*x0**3,52.069904*x0**3 - 92.16854*x0**2 - 36.73843*x0 + 47.94986,1.2385014e-11,17,3.0331809362960376e-10,-1.35682108350470e-6,-2.05614957783616e-6,-1.53964220997330e-6,-1.24059543747464e-6,0
7,32.96735608107477 + -74.56529140455802*x0 + 95.51872617347894*x0**2 + 74.15381195189346*x0**3,74.153824*x0**3 + 95.51873*x0**2 - 74.5653*x0 + 32.967354,3.4156983e-11,13,6.457503121195637e-09,-6.31253159456875e-6,1.15274034432663e-5,4.00604281434892e-6,1.62474540738243e-5,0
8,14.879222239778954 + -9.334735943322343*x0 + -22.247382968618723*x0**2 + 1.7842293515243313*x0**3,1.7842294*x0**3 - 22.247383*x0**2 - 9.334736*x0 + 14.879222,6.151831e-13,23,6.559924806319443e-11,-1.61150193310739e-6,6.07169358513320e-7,1.41056034718834e-7,2.71689672468240e-6,0
9,15.943336242281617 + 72.7169500844322*x0 + 34.90019723535178*x0**2 + -26.40235271135154*x0**3,-26.402353*x0**3 + 34.9001984951682*x0**2 + 72.7169505856654*x0 + 15.943336,7.52566e-12,15,3.8735762715296756e-10,-1.51964189495425e-6,6.89293547858553e-7,3.60976875359518e-6,1.09326795506775e-6,0
