,complexity,loss,equation,score,sympy_format,lambda_format
0,1,987.2991,82.9701,0.0,82.9701000000000,PySRFunction(X=>82.9701000000000)
1,3,952.4602,82.96238 - x0,0.017962355844507547,82.96238 - x0,PySRFunction(X=>82.96238 - x0)
2,5,112.37781,(0.010529619 ^ x0) - -64.518234,1.0685909116550296,0.010529619**x0 - 1*(-64.518234),PySRFunction(X=>0.010529619**x0 - 1*(-64.518234))
3,7,109.46357,(0.010804065 ^ x0) - (x0 + -64.94752),0.013137349101602523,0.010804065**x0 - (x0 - 64.94752),PySRFunction(X=>0.010804065**x0 - (x0 - 64.94752))
4,9,101.84608,(x0 / -0.16328876) + ((0.011876723 ^ x0) - -66.363205),0.036064572939027706,0.011876723**x0 + x0/(-0.16328876) - 1*(-66.363205),PySRFunction(X=>0.011876723**x0 + x0/(-0.16328876) - 1*(-66.363205))
5,11,54.917824,(((x0 * x0) * (x0 + -0.54971915)) * -51.849262) + 68.47904,0.308812347556048,x0*x0*(x0 - 0.54971915)*(-51.849262) + 68.47904,PySRFunction(X=>x0*x0*(x0 - 0.54971915)*(-51.849262) + 68.47904)
6,13,0.5835755,(((((x0 + -0.3079536) * x0) * -91.00823) + 32.737) * x0) + 68.76403,2.272209701435514,x0*((x0 - 0.3079536)*x0*(-91.00823) + 32.737) + 68.76403,PySRFunction(X=>x0*((x0 - 0.3079536)*x0*(-91.00823) + 32.737) + 68.76403)
7,17,0.583366,(((((x0 + -0.3079536) * x0) * -91.00823) + 32.737) * x0) + ((x0 * 0.023231035) + 68.7631),8.976456928251242e-05,x0*((x0 - 0.3079536)*x0*(-91.00823) + 32.737) + x0*0.023231035 + 68.7631,PySRFunction(X=>x0*((x0 - 0.3079536)*x0*(-91.00823) + 32.737) + x0*0.023231035 + 68.7631)
8,19,0.581616,(68.75238 + (((((x0 + -0.3079536) * x0) * -91.00823) + 32.737) * x0)) - (-1.855352 / (x0 * 838.6376)),0.0015021702621161206,x0*((x0 - 0.3079536)*x0*(-91.00823) + 32.737) + 68.75238 - (-1)*1.855352/(x0*838.6376),PySRFunction(X=>x0*((x0 - 0.3079536)*x0*(-91.00823) + 32.737) + 68.75238 - (-1)*1.855352/(x0*838.6376))
9,21,0.5814674,(((((x0 + -0.3079536) * (x0 * -91.00823)) + 32.737) * x0) - (-1.855352 / (-0.3079536 + (x0 * 838.6376)))) + 68.75238,0.00012776383947068795,x0*((x0 - 0.3079536)*x0*(-91.00823) + 32.737) + 68.75238 - (-1)*1.855352/(x0*838.6376 - 0.3079536),PySRFunction(X=>x0*((x0 - 0.3079536)*x0*(-91.00823) + 32.737) + 68.75238 - (-1)*1.855352/(x0*838.6376 - 0.3079536))
