ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
0,-66.4330612479227 + -78.56008346248771*x0 + 29.90103099780245*x0**2 + -65.07211748249469*x0**3,-64.927*x0**3 + 29.9650311276*x0**2 - 78.58588*x0 - 66.48953,1.104145,13,5.19150493873577,0.0850009784534405,0.0328366982000598,0.214039876425184,-0.223010235580119,0
1,5.594176493050412 + -8.570551140921552*x0 + -59.17821372361598*x0**2 + -92.76275697980066*x0**3,-92.784836*x0**3 - 59.2386446290564*x0**2 - 8.51548428778532*x0 + 5.620329,0.23214965,13,1.2358327279380141,0.467495206525515,-0.642512391919609,0.102116812316590,0.0238015998210900,0
2,43.13173430221897 + -81.67796709474024*x0 + 98.68837319164709*x0**2 + 90.80480084627919*x0**3,90.9729745856968*x0**3 + 98.48797*x0**2 - 81.853804911662*x0 + 43.28216,2.2765665,15,9.698874017879177,0.348758750870088,0.215281823454051,-0.203066668510091,0.185203577179039,0
3,96.11714397831506 + 65.10258989979874*x0 + 13.545022298446852*x0**2 + 70.24528403972326*x0**3,69.48427*x0**3 + 13.634906*x0**2 + 65.49252*x0 + 96.061325,6.1801643,13,35.41894990818539,-0.0580739044094494,0.598947139893217,0.663592126854269,-1.08336673433182,0
4,38.99645635421655 + -61.76203656888817*x0 + -94.31136666732966*x0**2 + 83.94629951695865*x0**3,83.1410129843285*x0**3 - 94.4053565003076*x0**2 - 61.1343599249737*x0 + 39.041595,0.23256573,17,21.658376335944013,0.115750634810110,-1.01628229699705,0.0996590721768654,-0.959287708051343,0
5,-62.95071545712598 + 30.898462536694808*x0 + -89.5151003541017*x0**2 + -37.520877767470665*x0**3,-37.49446*x0**3 - 89.583139878682*x0**2 + 30.8989906396418*x0 - 62.903793,0.35430384,13,0.978524278532239,-0.0745384016452326,0.00170915606677791,0.0760089910094906,-0.0704081808383812,0
6,19.87346817531754 + 6.835626942609025*x0 + 88.56653594050508*x0**2 + 35.75244921103905*x0**3,35.127275700154*x0**3 + 88.541026063972*x0**2 + 7.299384*x0 + 19.790192,2.3609524,15,21.429527328737272,-0.419031920261241,6.78441145610512,-0.0288030645685577,-1.74861729666348,0
7,-78.40388640530142 + 65.14803799367874*x0 + -81.60977786317476*x0**2 + 56.31024306830946*x0**3,-39.2380488919317*0.16263969**x0 - 42.8938838752398 + (x0**2)**(x0 - 0.1737473)/(1.0814133 - x0),1.5766426,23,1480.0846334705648,-45.2911254252067,-100.000000000000,-100.000000000000,-100.000000000000,1
8,71.93141376449162 + -84.89438695360954*x0 + 91.63801529271868*x0**2 + -73.54101667873935*x0**3,47.71165*0.16047518**x0 - 29.293026**x0 + 27.605856,13.005313,11,2838.8987876400683,-61.6219749407631,-100.000000000000,-100.000000000000,-100.000000000000,1
9,-64.11397255313068 + 47.66713102768014*x0 + 77.62364762477984*x0**2 + -10.151710640478598*x0**3,-10.351023*x0**3 + 77.57649*x0**2 + 47.873554*x0 - 64.13186,0.26430908,13,4.878210834458263,0.0278994517996847,0.433050967972013,-0.0607516217323109,1.96333767361995,0
10,60.198014389928005 + -68.58545764511734*x0 + -41.732086442897874*x0**2 + 78.24655258019811*x0**3,-0.08218553**x0/4.2813544**(0.8828219*x0) + 24.07497*x0 + 1606.0296426553*26.324703**x0/(26.324703**(3.1105256**x0)*4.2813544**(0.8828219*x0)),2.7999458,23,2209.2300815872886,-100.000000000000,-135.102149678102,-100.000000000000,-100.000000000000,1
11,13.770106546550181 + 93.98736791301997*x0 + -72.6666046232551*x0**2 + -72.02570588288353*x0**3,-71.998726*x0**3 - 72.656265*x0**2 + 93.93707*x0 + 13.764832,0.11839703,13,0.4882850595130715,-0.0383043263488948,-0.0535156097429055,-0.0142288514905830,-0.0374586858300199,0
12,38.23475758001942 + -19.691727296798092*x0 + 81.92243660482958*x0**2 + -26.994131174651386*x0**3,-24.5150476181511*x0**3 + 82.0074431116675*x0**2 - 21.5413438877907*x0 + 38.18958,2.9788656,13,193.06350992825787,-0.118158405803594,9.39286108889653,0.103764622197444,-9.18378717381459,0
13,92.98621290210937 + -87.91404669213058*x0 + -65.471950103312*x0**2 + -12.158206088484633*x0**3,-12.0619788863262*x0**3 - 65.5918403826181*x0**2 - 87.9885693196382*x0 + 93.05238,1.6530066,13,2.1341845383680496,0.0711579661387912,0.0847676000725944,0.183117012884070,-0.791458883474586,0
14,-36.23908765766297 + -17.99069223953839*x0 + -15.962602020836371*x0**2 + -47.21440318257646*x0**3,-47.219627*x0**3 - 15.9723051514463*x0**2 - 17.984373*x0 - 36.2469755991137,0.016036354,13,0.17755565708993679,0.0217663908243729,-0.0351250494102765,0.0607866474227994,0.0110640335817461,0
15,53.25040185375508 + -58.60997959029084*x0 + 72.33381489249496*x0**2 + -83.07678679299502*x0**3,31.854763*0.13023518**x0 - 44.588535**x0 + 24.289942,9.008372,11,2684.0057054283525,-54.3854296786173,-100.000000000000,-100.000000000000,-100.000000000000,1
16,71.17655147262064 + -27.70431341586857*x0 + -34.96480348192988*x0**2 + 98.10698375774967*x0**3,98.14891*x0**3 - 34.7345233386747*x0**2 - 27.746965*x0 + 71.02443,1.1078707,13,8.142518949668064,-0.213724140146303,0.153952864635874,-0.658605569953195,0.0427352270393439,0
17,33.40949363964441 + -92.31771491083607*x0 + 83.0238582852738*x0**2 + 83.18535810812838*x0**3,82.4477675698156*x0**3 + 82.9506247490007*x0**2 - 91.722000035187*x0 + 33.4103172350959,1.574868,15,19.859191528497313,0.00246515394793648,-0.645287717773793,-0.0882078209633629,-0.886683131608384,0
18,2.3343211696084154 + -1.3519809096534345*x0 + -29.666801471757594*x0**2 + -35.923490605366595*x0**3,-35.898117*x0**3 - 29.6730116077079*x0**2 - 1.3732718*x0 + 2.3423722,0.010232639,13,0.05214557171362038,0.344898144111633,1.57479223223818,0.0209329474099148,-0.0706323493040665,0
19,43.453037547440545 + 6.890354992096761*x0 + 42.38192478706691*x0**2 + 10.617713555014305*x0**3,22.112658*0.34349042**x0 + 22.112658*4.3511395**x0,1.4883935,9,430.93423284510567,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
20,-3.167320177998363 + 64.29827630660421*x0 + -74.15554841543218*x0**2 + -28.113610362186378*x0**3,-28.105103*x0**3 - 74.153955664821*x0**2 + 64.28459709179*x0 - 3.1620946,0.007909696,13,0.06582008106142642,-0.164984204459719,-0.0212746213427744,-0.00214785089618158,-0.0302606533873754,0
21,-35.071764339352356 + 78.76724971139214*x0 + 24.51938390779776*x0**2 + -90.02630765767026*x0**3,-90.03108*x0**3 + 24.519568501248*x0**2 + 78.77089*x0 - 35.072028299584,0.00029166482,13,0.0007480528641817965,0.000752628892826828,0.00462157638002221,0.000752847016616849,0.00530105305206028,0
22,75.16628180752022 + 82.65233469276353*x0 + 56.95727463121122*x0**2 + 7.77608004036226*x0**3,-26.928713*x0 + 75.4712170215365*(0.344371412833655*x0 + 1)**4.0559206,5.5831313,9,925.1620449427176,-100.000000000000,-132.580704586386,-100.000000000000,-100.000000000000,1
23,31.65642146491004 + 30.398453789884854*x0 + -32.40602058473563*x0**2 + 20.00708857777491*x0**3,20.132252*x0**3 - 32.3516914623168*x0**2 + 30.2960637131544*x0 + 31.620014,0.23248215,13,0.9820212944751736,-0.115008150717207,-0.336826594662276,-0.167651323545783,0.625595382049400,0
24,58.899628894249275 + -59.17498536736912*x0 + -47.854929047547486*x0**2 + -69.97801326677646*x0**3,-69.87636*x0**3 - 47.629726*x0**2 - 59.165287*x0 + 58.710983,2.0367284,13,16.15941603043616,-0.320283672055012,-0.0163893025218497,-0.470595301319394,-0.145264579588621,0
25,34.30201908779813 + -84.49383437483311*x0 + 54.711547839817484*x0**2 + 27.040514455377675*x0**3,46.861183*2.698754**x0*x0 - 129.75508707992*x0 + 35.455246,2.8380835,11,623.9930846960503,3.36197968186688,53.5675212753373 - 55.461068072865*2.698754**x0,-100.000000000000,-100.000000000000,1
26,2.4466422709269864 + -55.8357821064146*x0 + -49.424864172691365*x0**2 + 85.43957681929203*x0**3,85.43394*x0**3 - 49.428169081245*x0**2 - 55.8396438436512*x0 + 2.451631,0.014883774,13,0.04623626145905115,0.203901041533276,0.00691624096751516,0.00668673269810741,-0.00659743353357642,0
27,99.86544253822228 + -87.70558097566581*x0 + 33.44452269052118*x0**2 + -44.192017411203*x0**3,80.79437*0.33038002**x0 - 45.504875**x0 + 18.75202,9.106938,11,1890.6830022622903,-81.2227137602450,-100.000000000000,-100.000000000000,-100.000000000000,1
28,66.83950948202067 + 10.179705849737772*x0 + -16.555892641040188*x0**2 + 19.203936659090857*x0**3,18.948423*x0**3 - 16.636665*x0**2 + 10.354205*x0 + 66.8781,0.58938915,13,2.980603558904289,0.0577360879491648,1.71418656725453,0.487876798376833,-1.33052750395270,0
29,96.50361655313895 + 74.87950769686188*x0 + 80.01548808610616*x0**2 + 31.840023326883824*x0**3,97.60297*3.3431492**x0 - 41.958607*x0,8.668171,9,702.1429820346148,-100.000000000000,-156.034832880930,-100.000000000000,-100.000000000000,1
