,complexity,loss,equation,score,sympy_format,lambda_format
0,1,2517.9602,91.51997,0.0,91.5199700000000,PySRFunction(X=>91.5199700000000)
1,3,2448.4082,91.53341 - x0,0.014005515093356957,91.53341 - x0,PySRFunction(X=>91.53341 - x0)
2,4,78.32745,cube(4.43108 - x0),3.442295261824821,87.0019071787157*(1 - 0.225678615597101*x0)**3,PySRFunction(X=>87.0019071787157*(1 - 0.225678615597101*x0)**3)
3,5,54.22734,91.13302 - (x0 * 70.40148),0.36771290696362263,91.13302 - 70.40148*x0,PySRFunction(X=>91.13302 - 70.40148*x0)
4,6,13.452018,cube((3.5583372 - x0) * 1.2184714),1.3940560773407042,81.5055762596562*(1 - 0.281030139583174*x0)**3,PySRFunction(X=>81.5055762596562*(1 - 0.281030139583174*x0)**3)
5,8,13.291914,1.693433 * (cube(3.643873 - x0) - x0),0.005986625776939204,1.693433*(-x0 + 48.3826549619042*(1 - 0.274433274705238*x0)**3),PySRFunction(X=>1.693433*(-x0 + 48.3826549619042*(1 - 0.274433274705238*x0)**3))
6,9,12.8479185,(cube(3.643873 - x0) - cube(x0)) * 1.693433,0.03397406662970419,(-x0**3 + 48.3826549619042*(1 - 0.274433274705238*x0)**3)*1.693433,PySRFunction(X=>(-x0**3 + 48.3826549619042*(1 - 0.274433274705238*x0)**3)*1.693433)
7,10,12.847467,(cube(3.6044588 - x0) - cube(cube(x0))) * 1.7499188,3.514249669824867e-05,(-x0**9 + 46.8295729463373*(1 - 0.277434160157414*x0)**3)*1.7499188,PySRFunction(X=>(-x0**9 + 46.8295729463373*(1 - 0.277434160157414*x0)**3)*1.7499188)
8,11,12.400909,(x0 * -45.975723) + (square(square(1.6907771 - x0)) - -74.111595),0.03537689491201983,x0*(-45.975723) + 8.17232121479387*(1 - 0.591444017073569*x0)**4 - 1*(-74.111595),PySRFunction(X=>x0*(-45.975723) + 8.17232121479387*(1 - 0.591444017073569*x0)**4 - 1*(-74.111595))
9,13,12.390804,(square(square(x0 - 1.6845363)) + ((x0 * -46.098114) - -73.1035)) + 1.1575929,0.00040759589946836835,x0*(-46.098114) + (x0 - 1*1.6845363)**4 + 1.1575929 - 1*(-73.1035),PySRFunction(X=>x0*(-46.098114) + (x0 - 1*1.6845363)**4 + 1.1575929 - 1*(-73.1035))
10,17,12.374453,(((x0 * -45.840775) + square(square(x0 - 1.6907771))) - -73.98636) + square(x0 - cube(x0)),0.00033011977981668847,x0*(-45.840775) + (x0 - 1*1.6907771)**4 + (-x0**3 + x0)**2 - 1*(-73.98636),PySRFunction(X=>x0*(-45.840775) + (x0 - 1*1.6907771)**4 + (-x0**3 + x0)**2 - 1*(-73.98636))
11,23,12.363798,((x0 * -45.975723) + square(x0 - cube(x0))) + ((square(square(x0 - 1.6907771)) - -73.98636) + square(x0 - cube(x0))),0.00014356984599644233,x0*(-45.975723) + (x0 - 1*1.6907771)**4 + (-x0**3 + x0)**2 + (-x0**3 + x0)**2 - 1*(-73.98636),PySRFunction(X=>x0*(-45.975723) + (x0 - 1*1.6907771)**4 + (-x0**3 + x0)**2 + (-x0**3 + x0)**2 - 1*(-73.98636))
12,25,12.3628025,(((square(square(x0 - 1.6907771)) - -73.98636) + square(x0 - cube(x0))) + square(x0 - cube(x0))) + ((x0 * -45.975723) - 0.020663455),4.0260285700676886e-05,x0*(-45.975723) + (x0 - 1*1.6907771)**4 + (-x0**3 + x0)**2 + (-x0**3 + x0)**2 - 1*0.020663455 - 1*(-73.98636),PySRFunction(X=>x0*(-45.975723) + (x0 - 1*1.6907771)**4 + (-x0**3 + x0)**2 + (-x0**3 + x0)**2 - 1*0.020663455 - 1*(-73.98636))
13,26,12.361309,(x0 * -45.975723) + ((square(square(x0 - 1.6907771)) - -73.98636) + (square(square((x0 - -0.34695345) - cube(x0))) + square(x0 - cube(x0)))),0.00012081323948223622,x0*(-45.975723) + (x0 - 1*1.6907771)**4 + (-x0**3 + x0)**2 + (-x0**3 + x0 - 1*(-0.34695345))**4 - 1*(-73.98636),PySRFunction(X=>x0*(-45.975723) + (x0 - 1*1.6907771)**4 + (-x0**3 + x0)**2 + (-x0**3 + x0 - 1*(-0.34695345))**4 - 1*(-73.98636))
