,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1525.6527,22.453959,0.0,22.4539590000000,PySRFunction(X=>22.4539590000000)
1,3,1502.1855,x0 + 22.453959,0.007750635389982373,x0 + 22.453959,PySRFunction(X=>x0 + 22.453959)
2,5,885.1031,38.818558 - (0.01210017 ^ x0),0.2644860956489356,38.818558 - 0.01210017**x0,PySRFunction(X=>38.818558 - 0.01210017**x0)
3,7,533.8697,((x0 * x0) * -89.059525) + 66.83893,0.25277616685145754,x0*x0*(-89.059525) + 66.83893,PySRFunction(X=>x0*x0*(-89.059525) + 66.83893)
4,9,99.56245,(x0 * 77.344955) + (52.31509 - (165.14404 ^ x0)),0.839683358110929,-165.14404**x0 + x0*77.344955 + 52.31509,PySRFunction(X=>-165.14404**x0 + x0*77.344955 + 52.31509)
5,11,26.551619,(x0 * (98.82694 - ((7.1454597 ^ x0) * 26.030796))) - -62.417744,0.6608471801799365,x0*(98.82694 - 26.030796*7.1454597**x0) - 1*(-62.417744),PySRFunction(X=>x0*(98.82694 - 26.030796*7.1454597**x0) - 1*(-62.417744))
6,13,2.7537389,(x0 * ((x0 * (-88.68421 - (x0 * 90.97914))) + 91.763664)) - -66.72108,1.1330655684269317,x0*(x0*(-90.97914*x0 - 88.68421) + 91.763664) - 1*(-66.72108),PySRFunction(X=>x0*(x0*(-90.97914*x0 - 88.68421) + 91.763664) - 1*(-66.72108))
7,15,2.695833,(x0 * (((x0 * 90.008415) * (-0.9917356 - x0)) + 90.023796)) - (-66.95691 - x0),0.010626170373997563,x0*(x0*90.008415*(-x0 - 0.9917356) + 90.023796) - (-x0 - 66.95691),PySRFunction(X=>x0*(x0*90.008415*(-x0 - 0.9917356) + 90.023796) - (-x0 - 66.95691))
8,17,2.6901422,(((x0 * (((x0 * (-0.9917356 - x0)) * 90.008415) + 90.023796)) - -67.06443) * 0.9971014) + x0,0.001056596420594106,x0 + (x0*(x0*(-x0 - 0.9917356)*90.008415 + 90.023796) - 1*(-67.06443))*0.9971014,PySRFunction(X=>x0 + (x0*(x0*(-x0 - 0.9917356)*90.008415 + 90.023796) - 1*(-67.06443))*0.9971014)
9,21,2.6798534,(((x0 * ((89.76723 * (x0 * (-0.98190445 - x0))) + 89.93806)) - -66.8537) - (x0 * (x0 * 0.8708776))) + x0,0.0009579907840155704,x0*(89.76723*x0*(-x0 - 0.98190445) + 89.93806) - 0.8708776*x0*x0 + x0 - 1*(-66.8537),PySRFunction(X=>x0*(89.76723*x0*(-x0 - 0.98190445) + 89.93806) - 0.8708776*x0*x0 + x0 - 1*(-66.8537))
