,complexity,loss,equation,score,sympy_format,lambda_format
0,1,3904.9604,-93.819595,0.0,-93.8195950000000,PySRFunction(X=>-93.8195950000000)
1,3,3821.2,-93.819595 - x0,0.010841566490721972,-x0 - 93.819595,PySRFunction(X=>-x0 - 93.819595)
2,5,14.114617,(2.8666754 ^ x0) * -72.2282,2.8005544306564403,2.8666754**x0*(-72.2282),PySRFunction(X=>2.8666754**x0*(-72.2282))
3,7,2.3161166,((3.636023 ^ x0) * -53.66132) - 15.929199,0.9036595116081845,3.636023**x0*(-53.66132) - 1*15.929199,PySRFunction(X=>3.636023**x0*(-53.66132) - 1*15.929199)
4,9,1.5949055,((x0 + (6.1803927 ^ x0)) * -22.998623) - 47.945324,0.186538708516955,(6.1803927**x0 + x0)*(-22.998623) - 1*47.945324,PySRFunction(X=>(6.1803927**x0 + x0)*(-22.998623) - 1*47.945324)
5,11,1.5559704,(x0 + (((6.084155 ^ x0) + x0) * -23.561152)) - 47.315506,0.012357542196841417,x0 + (6.084155**x0 + x0)*(-23.561152) - 1*47.315506,PySRFunction(X=>x0 + (6.084155**x0 + x0)*(-23.561152) - 1*47.315506)
6,13,0.893541,((44.235355 ^ x0) + (((8.363551 ^ x0) + x0) * -22.109428)) - 48.756046,0.2773312304565259,44.235355**x0 + (8.363551**x0 + x0)*(-22.109428) - 1*48.756046,PySRFunction(X=>44.235355**x0 + (8.363551**x0 + x0)*(-22.109428) - 1*48.756046)
7,15,0.3106154,(-1.4074415 - x0) * ((((x0 + (x0 + 0.7099734)) * x0) + 3.4412155) * 14.287189),0.5283183647836907,(-x0 - 1.4074415)*(x0*(x0 + x0 + 0.7099734) + 3.4412155)*14.287189,PySRFunction(X=>(-x0 - 1.4074415)*(x0*(x0 + x0 + 0.7099734) + 3.4412155)*14.287189)
8,17,0.30881378,(-1.4107525 - x0) * ((((x0 * ((x0 + x0) + 0.79238445)) + 3.455927) * 14.194168) - x0),0.0029085247166994828,(-x0 - 1.4107525)*(-x0 + (x0*(x0 + x0 + 0.79238445) + 3.455927)*14.194168),PySRFunction(X=>(-x0 - 1.4107525)*(-x0 + (x0*(x0 + x0 + 0.79238445) + 3.455927)*14.194168))
9,19,0.30768582,(-1.4107525 - x0) * ((((x0 * ((x0 + x0) + 0.79238445)) + 3.455927) * 14.194168) - (x0 / 1.0250732)),0.0018296220445583576,(-x0 - 1.4107525)*(-x0/1.0250732 + (x0*(x0 + x0 + 0.79238445) + 3.455927)*14.194168),PySRFunction(X=>(-x0 - 1.4107525)*(-x0/1.0250732 + (x0*(x0 + x0 + 0.79238445) + 3.455927)*14.194168))
10,25,0.30709982,(-1.1449634 - (0.00022036216 / (x0 + -0.20281315))) + ((((x0 + (x0 * (x0 + (x0 + -0.22557072)))) + 3.4512484) * (-1.4031976 - x0)) * 14.0541),0.00031772601664853796,(x0*(x0 + x0 - 0.22557072) + x0 + 3.4512484)*(-x0 - 1.4031976)*14.0541 - 1.1449634 - 0.00022036216/(x0 - 0.20281315),PySRFunction(X=>(x0*(x0 + x0 - 0.22557072) + x0 + 3.4512484)*(-x0 - 1.4031976)*14.0541 - 1.1449634 - 0.00022036216/(x0 - 0.20281315))
