ID,set_equation,picked_equation,loss,complexity,MSE,%diff_to_set_coeff_0,%diff_to_set_coeff_1,%diff_to_set_coeff_2,%diff_to_set_coeff_3,bad_equation
0,-20.78957654638691 + -73.00737816465835*x0 + 60.28124099429132*x0**2 + -11.53936137730524*x0**3,-12.686495*x0**3 + 60.5361813876415*x0**2 - 71.8309332718335*x0 - 21.064768,6.465368,13,121.59823819656279,1.32369917684021,-1.61140548037697,0.422918289579216,9.94104946700826,0
1,-64.0674126548254 + 67.41611884354174*x0 + 34.330311435345095*x0**2 + 79.02010537527059*x0**3,79.91366*x0**3 + 33.89672*x0**2 + 66.66118*x0 - 63.926113,5.6015296,15,57.82148141635971,-0.220548402019417,-1.11981949790641,-1.26299884043197,1.13079401816268,0
2,11.481407647409014 + -78.01031559934495*x0 + 67.59208108824285*x0**2 + -15.394075692124147*x0**3,33.0285440015707*(1 - 0.467936937636313*x0)**4.6053095 - 19.299206,16.628185,7,4024.8480963914526,-268.090939653686,-100.000000000000,-100.000000000000,-100.000000000000,1
3,-98.17577219989018 + -8.253576469612028*x0 + 14.333130672655287*x0**2 + -10.966940071197257*x0**3,-111.72761 + 21.749956/(x0 + 1.447601),2.4396071,7,831.4680570197199,13.8036477803482,-100.000000000000,-100.000000000000,-100.000000000000,1
4,-4.542973075416469 + -35.896579553992865*x0 + 0.1551276026312962*x0**2 + -1.0650281897222271*x0**3,-36.6853*x0 - 4.480194,0.43038198,5,38.86548070293659,-1.38189406748166,2.19720222875497,-100.000000000000,-100.000000000000,1
5,-84.36554878613416 + -39.741304470682294*x0 + -27.73290159625641*x0**2 + 24.857385381150593*x0**3,25.471405*x0**3 - 27.6342390544972*x0**2 - 40.2108277714565*x0 - 84.47933,2.1930451,13,17.252819602068975,0.134866916061061,1.18144914221570,-0.355759895576628,2.47016976819702,0
6,-65.66167471473474 + -40.773987580872294*x0 + -89.2201535009071*x0**2 + -58.12733554162514*x0**3,-56.953945*x0**3 - 89.4902814529025*x0**2 - 41.665485*x0 - 65.4679141106325,1.290881,11,55.87032849169203,-0.295089342366059,2.18643667696097,0.302765621214320,-2.01865530338110,0
7,56.43805046733027 + -85.90479051533234*x0 + 76.77345813882079*x0**2 + -34.233692444031604*x0**3,58.492985*0.2291148**x0,24.96676,5,1518.1806347459185,-100.000000000000,-100.000000000000,-100.000000000000,-100.000000000000,1
8,6.361491688794786 + 1.522979849837597*x0 + -6.277787650492343*x0**2 + 71.01380909577966*x0**3,72.75192*x0**3 - 6.4938734826792*x0**2 + 6.4000006,2.189571,11,129.66247261913207,0.605344046476469,-100.000000000000,3.44206978982333,2.44756748912886,1
9,-2.281387521467181 + -0.3640362908146244*x0 + 33.261769249675496*x0**2 + 22.260252455451138*x0**3,21.863817*x0**3 + 33.1958158600464*x0**2 - 2.2793756,1.1227627,11,8.666250328171168,-0.0881885014382530,-100.000000000000,-0.198285873292015,-1.78091176748562,1
10,-86.03155347140172 + 43.08599781698095*x0 + -62.65781680500611*x0**2 + 31.027237282628022*x0**3,30.599527*x0**3 - 62.412113*x0**2 + 43.458607*x0 - 86.188286,2.2760255,13,15.8215702601921,0.182180284179552,0.864803420827820,-0.392135917806951,-1.37849940918683,0
11,27.641352183280503 + 29.179426422518162*x0 + -67.85080612561302*x0**2 + 55.14784627190369*x0**3,34.19453**x0 - 41.2678*x0 + 26.35689 + 70.06751*x0/2.7496204**x0,0.9878246,15,261.5383056284951,-4.64688621151262,-241.427728573009 + 240.126412991888/2.7496204**x0,-100.000000000000,-100.000000000000,1
12,64.68549618343894 + 51.29461339028313*x0 + -97.16891438483594*x0**2 + 76.22092732019331*x0**3,75.25492*x0**3 - 97.169649386472*x0**2 + 52.12165*x0 + 64.746574,3.5159216,13,38.26779859411062,0.0944227379625326,1.61232643167467,0.000756416432881028,-1.26737807339348,0
13,8.142563257223728 + 89.5463538509463*x0 + -7.242901772257596*x0**2 + -60.444053643986216*x0**3,-60.65098*x0**3 - 7.3429619729016*x0**2 + 89.755568772756*x0 + 8.2098161597772,0.8501078,13,4.365212776616307,0.825942647652236,0.233638682997611,1.38149327148495,0.342343611221993,0
14,-59.43625040589311 + 43.20427333260537*x0 + 96.2811443729988*x0**2 + -62.69096828384462*x0**3,-62.946884*x0**3 + 96.317954238506*x0**2 + 43.3529599948631*x0 - 59.456104,1.2757493,13,3.1476318932670098,0.0334031739406674,0.344148045525772,0.0382316451958707,0.408217839285356,0
15,-81.03155668744404 + 32.65469455108206*x0 + 5.468307002114159*x0**2 + 86.00445124743132*x0**3,85.915504*x0**3 + 5.63760525978208*x0**2 + 32.701916*x0 - 81.12901,0.7197427,13,4.203164934036742,0.120265877319689,0.144608453905667,3.09599036049854,-0.103421678926156,0
16,-96.60975800044729 + -60.990479597224635*x0 + 6.276755959833835*x0**2 + -2.814588098245977*x0**3,-2.6175203*x0**3 + 6.3028703*x0**2 - 61.141254*x0 - 96.616806,0.2973818,13,1.3363440853438813,0.00729532885557815,0.247209734652144,0.416048358949685,-7.00165677417552,0
17,-70.90927622095111 + 25.304222059286857*x0 + 75.12184140304353*x0**2 + -81.67965701148172*x0**3,-82.16891*x0**3 + 75.145801792044*x0**2 + 25.522335*x0 - 70.937137191814,1.4681821,13,18.730880184725,0.0392910100733157,0.861962640867258,0.0318953696461090,0.598990013449125,0
18,58.91464581127437 + 6.796310558977822*x0 + -63.06681542821717*x0**2 + -93.52013100540645*x0**3,-93.53407*x0**3 - 63.1641845704678*x0**2 + 6.85241893049478*x0 + 58.89407,2.862505,13,7.044391645954166,-0.0349247814207039,0.825571036374144,0.154390453346199,0.0149048065306271,0
19,62.99928628596663 + 32.24898146664967*x0 + -43.92230214727122*x0**2 + -42.29948994935451*x0**3,-41.66373*x0**3 - 44.164486*x0**2 + 31.755026*x0 + 63.213974,1.8797892,13,28.99252933581209,0.340778009863248,-1.53169323242190,0.551391527513148,-1.50299672671162,0
20,-9.258308454570056 + -30.101299514737917*x0 + 52.599676524525506*x0**2 + -60.77668948248744*x0**3,-62.32309*x0**3 + 52.630740153998*x0**2 - 28.916584*x0 - 9.38295352719521,7.070605,13,87.02933859148955,1.34630503225049,-3.93576202302451,0.0590566929779646,2.54439741729952,0
21,-81.37483275419189 + 52.79009413088659*x0 + -88.92382036892366*x0**2 + 56.85280086750862*x0**3,57.305008686614*x0**3 - 88.906518362194*x0**2 + 52.459604155369*x0 - 81.389059473299,1.4289954,13,6.496711543167982,0.0174829472769408,-0.626045437043898,-0.0194571113317766,0.795401127482215,0
22,-69.22198888191659 + -63.704965425953255*x0 + -50.310393740337524*x0**2 + -28.227095254255758*x0**3,-28.574378*x0**3 - 50.3602895846596*x0**2 - 63.4417130842791*x0 - 69.1972782854781,0.3106154,15,4.078616235507964,-0.0356976111747507,-0.413236770342694,0.0991760163508078,1.23031697954072,0
23,-4.052217342278539 + 48.87123969180763*x0 + 6.582737949025727*x0**2 + -8.832193789016898*x0**3,-2.1862154*x0 - 3.8674248805693 + 28.657467*x0**2/1.612942**x0 + 50.6951880816015*x0/1.612942**x0,0.78350574,13,61.00548026901535,-4.56028011580767,-104.47341915979 + 103.732150854564/1.612942**x0,-100.0 + 435.342667776125/1.612942**x0,-100.000000000000,1
24,-67.71286928024944 + -65.45838782791151*x0 + -76.71247301971964*x0**2 + 5.308972566354782*x0**3,5.7606688*x0**3 - 76.7275027612944*x0**2 - 65.7922*x0 - 67.77128,1.1604247,15,10.811685839695267,0.0862623610126740,0.509960882272368,0.0195923048536069,8.50816665559376,0
25,86.60879619940494 + -46.030650304850205*x0 + 10.281411392189213*x0**2 + -55.188197272464045*x0**3,16.062435*0.128403062888388**x0 - 16.062435*4.831809**x0*x0 + 70.708084,16.148617,13,257.60603075792693,-18.3592347396166,34.895085977761*4.831809**x0 - 100.0,-100.000000000000,-100.000000000000,1
26,-51.58509092714465 + -51.535576084137745*x0 + 81.91224544691158*x0**2 + -31.688399215828866*x0**3,4.68723202215673*0.028131124**x0*(x0**2)**x0 + 4.68723202215673*x0**2 - 59.293163,8.705528,15,3484.43865607219,14.9424415743334,-100.000000000000,-94.2777395533680,-100.000000000000,1
27,10.901909211353768 + -45.260385449716665*x0 + -9.635223858310908*x0**2 + 70.23535308339885*x0**3,70.29843*x0**3 - 9.666064*x0**2 - 45.275463*x0 + 10.938542,0.25146446,13,1.2067420366861565,0.336021773214555,0.0333129073769991,0.320077064556115,0.0898079298131367,0
28,52.27578254518707 + -45.217414572388705*x0 + -67.28654068914699*x0**2 + 91.05037865492386*x0**3,91.558464*x0**3 - 67.256146679712*x0**2 - 45.5957795722475*x0 + 52.2799104115392,1.4261117,13,8.539827696280177,0.00789632627414067,0.836768319102033,-0.0451710091256068,0.558026614037220,0
29,-53.014435760444044 + 69.92870096822207*x0 + 55.51995828620113*x0**2 + -40.330220706348996*x0**3,-39.952618*x0**3 + 55.441*x0**2 + 69.630684*x0 - 53.014423,0.38776386,13,6.9294461007013,-2.40697535691906e-5,-0.426172607378336,-0.142216040210450,-0.936277311989891,0
30,-37.932437261709204 + -74.53940454661532*x0 + -23.133771862866553*x0**2 + 49.00771010769677*x0**3,49.04708*x0**3 - 23.164627*x0**2 - 74.597496*x0 - 37.907,0.05947865,13,0.676227219494119,-0.0670593917646439,0.0779338844172838,0.133377026955877,0.0803340784882979,0
31,27.881138310870938 + 88.0921259774353*x0 + 72.69423481232062*x0**2 + 48.32012388250644*x0**3,33.490032*6.2425914**x0 + 33.490032*x0 - 3.7408148058792,26.47907,9,4099.304914956841,-113.417008890274,-61.9829449812819,-100.000000000000,-100.000000000000,1
32,50.79161317649897 + 68.17692065971465*x0 + -90.87080519781172*x0**2 + 75.19724896554791*x0**3,71.27208*x0**3 - 90.720320540256*x0**2 + 71.27208*x0 + 50.780915113104,4.8019085,13,501.67335279733663,-0.0210626572497187,4.53989313441412,-0.165602865769844,-5.21983053841006,0
33,11.393692195430873 + -22.05118630359169*x0 + 96.68810486034425*x0**2 + -54.57015688312903*x0**3,31.734453*x0 + 15.4452848178755*(1 - 0.611492176049331*x0)**5.565287,18.772547,9,4768.576170601827,-100.000000000000,-243.912679177859,-100.000000000000,-100.000000000000,1
34,29.220995917112077 + -47.47255187858806*x0 + -56.83337772141499*x0**2 + 52.96738312501651*x0**3,53.061413*x0**3 - 56.9107691245089*x0**2 - 47.54615*x0 + 29.285198715595,0.52391833,13,1.6890934959691422,0.219714614330865,0.155033000122195,0.136172450409808,0.177524109056995,0
35,57.10612467169494 + 32.49528776563665*x0 + -51.96810803201552*x0**2 + -30.878610653159086*x0**3,-28.72467*x0**3 - 52.490498*x0**2 + 31.389764989869*x0 + 57.3606031477886,1.7305149,11,309.01653252584293,0.445623788265558,-3.40210181778025,1.00521259627666,-6.97551025644583,0
36,23.982199594329742 + -12.752436540316552*x0 + 9.064267338560114*x0**2 + 53.59357960657576*x0**3,53.6879530668086*x0**3 + 9.35834924659352*x0**2 - 12.788253*x0 + 23.801199,2.2400067,19,12.832175336206378,-0.754728913074917,0.280859736648870,3.24440902997601,0.176090981280955,0
37,-51.197425863652704 + -26.444972027011744*x0 + -44.1803513842183*x0**2 + 59.88738913550617*x0**3,60.24156*x0**3 - 44.148695927316*x0**2 - 26.6791483515888*x0 - 51.240524,0.9333911,13,5.285093855697344,0.0841802798095244,0.885523056473122,-0.0716505322173611,0.591394732023556,0
38,-89.17053208000911 + 38.274969778575695*x0 + 51.89400292037385*x0**2 + 82.94456205788518*x0**3,83.26667*x0**3 + 51.640743*x0**2 + 38.161846*x0 - 88.99396,2.7409697,15,22.05005922955964,-0.198016178540550,-0.295555500710072,-0.488033117742819,0.388341241575348,0
39,-89.06817706718545 + -0.5170471292116332*x0 + 87.24767273244052*x0**2 + 97.3437446298079*x0**3,96.54543*x0**3 + 87.365395*x0**2 - 89.167755,3.6150458,11,26.596069231638094,0.111799675364908,-100.000000000000,0.134928834056699,-0.820098541353474,1
