,complexity,loss,equation,score,sympy_format,lambda_format
0,1,5058.596,48.62587,0.0,48.6258700000000,PySRFunction(X=>48.6258700000000)
1,3,3316.2573,x2 * -115.02387,0.21112607334633188,x2*(-115.02387),PySRFunction(X=>x2*(-115.02387))
2,5,1000.4198,(x2 * -113.8993) + 48.12557,0.5992085579201623,48.12557 + x2*(-113.8993),PySRFunction(X=>48.12557 + x2*(-113.8993))
3,7,135.4087,(x0 * -89.74072) + (x1 * 92.493576),0.9999386892073804,x0*(-89.74072) + x1*92.493576,PySRFunction(X=>x0*(-89.74072) + x1*92.493576)
4,9,30.263807,(x1 * 92.77604) + ((x2 + x0) * -51.594864),0.7491725511897336,x1*92.77604 + (x0 + x2)*(-51.594864),PySRFunction(X=>x1*92.77604 + (x0 + x2)*(-51.594864))
5,11,16.762356,(((x2 + x0) + -0.12275169) * -51.55952) + (x1 * 83.88145),0.2954084260648358,x1*83.88145 + (x0 + x2 - 0.12275169)*(-51.55952),PySRFunction(X=>x1*83.88145 + (x0 + x2 - 0.12275169)*(-51.55952))
6,13,15.267387,((x0 * -46.73205) + ((x1 * 84.024414) + 6.29948)) + (x2 * -57.840282),0.046708336610914704,x0*(-46.73205) + x1*84.024414 + x2*(-57.840282) + 6.29948,PySRFunction(X=>x0*(-46.73205) + x1*84.024414 + x2*(-57.840282) + 6.29948)
7,17,15.2646475,((((x1 * 84.024414) + 6.29948) + (-57.632565 * x2)) + (x2 * -0.07231024)) + (-46.73205 * x0),4.486271636027402e-05,-46.73205*x0 + x1*84.024414 - 57.632565*x2 + x2*(-0.07231024) + 6.29948,PySRFunction(X=>-46.73205*x0 + x1*84.024414 - 57.632565*x2 + x2*(-0.07231024) + 6.29948)
8,21,15.259892,(x2 * -2.2015626) + ((((x1 * 84.024414) + (x2 * -57.632565)) + (x0 * -46.73205)) + ((x0 + x2) + 6.29948)),7.789634366921947e-05,x0*(-46.73205) + x0 + x1*84.024414 + x2*(-57.632565) + x2*(-2.2015626) + x2 + 6.29948,PySRFunction(X=>x0*(-46.73205) + x0 + x1*84.024414 + x2*(-57.632565) + x2*(-2.2015626) + x2 + 6.29948)
9,23,15.229709,(x2 * -2.2015626) + ((x1 * 84.024414) + ((x2 * -57.632565) + ((x0 * -46.73205) + (x0 + ((x1 * x2) + 6.29948))))),0.000989944403000852,x0*(-46.73205) + x0 + x1*x2 + x1*84.024414 + x2*(-57.632565) + x2*(-2.2015626) + 6.29948,PySRFunction(X=>x0*(-46.73205) + x0 + x1*x2 + x1*84.024414 + x2*(-57.632565) + x2*(-2.2015626) + 6.29948)
10,29,15.21927,(x0 * 1.2198689) + ((x0 * -47.06556) + ((((((x1 + -0.04591249) * -60.57467) + (x2 * -60.57467)) + 3.5387864) + ((x2 + 144.52687) * x1)) + (x2 * x1))),0.00011427860366010865,x0*(-47.06556) + x0*1.2198689 + x1*x2 + x1*(x2 + 144.52687) + x2*(-60.57467) + (x1 - 0.04591249)*(-60.57467) + 3.5387864,PySRFunction(X=>x0*(-47.06556) + x0*1.2198689 + x1*x2 + x1*(x2 + 144.52687) + x2*(-60.57467) + (x1 - 0.04591249)*(-60.57467) + 3.5387864)
