,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1188.5101,-94.747635,0.0,-94.7476350000000,PySRFunction(X=>-94.7476350000000)
1,5,278.7017,(x2 * -85.43839) + -52.200535,0.36257843766321607,x2*(-85.43839) - 52.200535,PySRFunction(X=>x2*(-85.43839) - 52.200535)
2,9,176.40677,(x1 * -14.325613) + ((x2 * -85.29777) + -52.260227),0.11433737817426944,x1*(-14.325613) + x2*(-85.29777) - 52.260227,PySRFunction(X=>x1*(-14.325613) + x2*(-85.29777) - 52.260227)
3,11,8.681328,((x3 * 87.85561) + ((x1 + x2) * -81.1681)) + -54.358604,1.5058090045798462,x3*87.85561 + (x1 + x2)*(-81.1681) - 54.358604,PySRFunction(X=>x3*87.85561 + (x1 + x2)*(-81.1681) - 54.358604)
4,13,0.68129975,(((x3 * 75.14207) + -52.2804) + (x1 * -70.59877)) + (x2 * -85.306),1.272463710254745,x1*(-70.59877) + x2*(-85.306) + x3*75.14207 - 52.2804,PySRFunction(X=>x1*(-70.59877) + x2*(-85.306) + x3*75.14207 - 52.2804)
5,17,0.6798941,(((x1 * -72.527306) + x1) + ((x2 * -85.43839) + (x1 + -52.201103))) + (x3 * 75.012856),0.000516330021493815,x1*(-72.527306) + x1 + x1 + x2*(-85.43839) + x3*75.012856 - 52.201103,PySRFunction(X=>x1*(-72.527306) + x1 + x1 + x2*(-85.43839) + x3*75.012856 - 52.201103)
6,19,0.6794184,((((x1 + (x1 * -72.527306)) + (x2 * -85.4733)) + -52.201103) + (x1 * 1.0433024)) + (x3 * 75.01043),0.0003499563341170919,x1*(-72.527306) + x1 + x1*1.0433024 + x2*(-85.4733) + x3*75.01043 - 52.201103,PySRFunction(X=>x1*(-72.527306) + x1 + x1*1.0433024 + x2*(-85.4733) + x3*75.01043 - 52.201103)
7,21,0.67941445,((((x1 * -72.527306) + x1) + -52.200535) + x1) + ((x3 * 75.012856) + ((x1 * 0.038441435) + (x2 * -85.4733))),2.9069064675517466e-06,x1*(-72.527306) + x1*0.038441435 + x1 + x1 + x2*(-85.4733) + x3*75.012856 - 52.200535,PySRFunction(X=>x1*(-72.527306) + x1*0.038441435 + x1 + x1 + x2*(-85.4733) + x3*75.012856 - 52.200535)
8,23,0.6791819,(((x2 * -85.4733) + (x1 + (x3 * 75.012856))) + ((x1 * -72.527306) + (x1 + -52.232784))) + ((x2 + x1) * 0.038441435),0.00017116931182035208,x1*(-72.527306) + x1 + x1 + x2*(-85.4733) + x3*75.012856 + (x1 + x2)*0.038441435 - 52.232784,PySRFunction(X=>x1*(-72.527306) + x1 + x1 + x2*(-85.4733) + x3*75.012856 + (x1 + x2)*0.038441435 - 52.232784)
9,25,0.6789232,((x2 * -85.4733) + (x1 + ((((x3 * 75.012856) + (x1 * -72.527306)) + x1) + -52.232784))) + ((x2 + (x2 + x1)) * 0.038441435),0.0001904859963555476,x1*(-72.527306) + x1 + x1 + x2*(-85.4733) + x3*75.012856 + (x1 + x2 + x2)*0.038441435 - 52.232784,PySRFunction(X=>x1*(-72.527306) + x1 + x1 + x2*(-85.4733) + x3*75.012856 + (x1 + x2 + x2)*0.038441435 - 52.232784)
10,27,0.6789228,(((((x2 * -85.4733) + ((x1 + (x3 * 75.012856)) + -5.3581796)) + (x1 * -72.527306)) + x1) + -46.874603) + (((x2 + x2) + x1) * 0.038441435),2.945842164251802e-07,x1*(-72.527306) + x1 + x1 + x2*(-85.4733) + x3*75.012856 + (x1 + x2 + x2)*0.038441435 - 46.874603 - 5.3581796,PySRFunction(X=>x1*(-72.527306) + x1 + x1 + x2*(-85.4733) + x3*75.012856 + (x1 + x2 + x2)*0.038441435 - 46.874603 - 5.3581796)
