,complexity,loss,equation,score,sympy_format,lambda_format
0,1,4680.251,-41.51332,0.0,-41.5133200000000,PySRFunction(X=>-41.5133200000000)
1,3,1854.0792,x3 * 121.05256,0.46298177814607977,x3*121.05256,PySRFunction(X=>x3*121.05256)
2,5,175.07315,(x3 * 120.62249) + -40.988453,1.1799697885370721,x3*120.62249 - 40.988453,PySRFunction(X=>x3*120.62249 - 40.988453)
3,7,104.273094,((x1 + x3) * 54.419033) + -40.989487,0.259095262630082,(x1 + x3)*54.419033 - 40.989487,PySRFunction(X=>(x1 + x3)*54.419033 - 40.989487)
4,9,83.64958,(x2 * 27.147112) - ((x3 * -120.23512) + 54.69647),0.11018847741298066,x2*27.147112 - (54.69647 + x3*(-120.23512)),PySRFunction(X=>x2*27.147112 - (54.69647 + x3*(-120.23512)))
5,11,8.560132,((-1.6406878 - x3) * ((x1 * -24.809507) - 71.79497)) + -168.04675,1.1397603979521116,(-x3 - 1.6406878)*(x1*(-24.809507) - 1*71.79497) - 168.04675,PySRFunction(X=>(-x3 - 1.6406878)*(x1*(-24.809507) - 1*71.79497) - 168.04675)
6,13,2.8555233,(x2 * 27.147112) - (((x1 * -40.289734) + (x3 * -72.29695)) - -54.511314),0.5489302459070947,x2*27.147112 - (x1*(-40.289734) + x3*(-72.29695) - 1*(-54.511314)),PySRFunction(X=>x2*27.147112 - (x1*(-40.289734) + x3*(-72.29695) - 1*(-54.511314)))
7,15,2.8555229,((x2 * 27.147112) - (((x1 * -40.289734) + (x3 * -72.29695)) - -54.55998)) - -0.048663244,7.003970661060942e-08,x2*27.147112 - (x1*(-40.289734) + x3*(-72.29695) - 1*(-54.55998)) - 1*(-0.048663244),PySRFunction(X=>x2*27.147112 - (x1*(-40.289734) + x3*(-72.29695) - 1*(-54.55998)) - 1*(-0.048663244))
8,19,2.854858,(x2 * 27.147112) - ((((x1 * -40.289734) + (x3 * -72.29695)) - ((x3 / -0.9670175) + -54.512825)) - x3),5.821853346110006e-05,x2*27.147112 - (x1*(-40.289734) + x3*(-72.29695) - x3 - (x3/(-0.9670175) - 54.512825)),PySRFunction(X=>x2*27.147112 - (x1*(-40.289734) + x3*(-72.29695) - x3 - (x3/(-0.9670175) - 54.512825)))
9,21,2.8516202,((((x1 * 40.29529) - ((-1.9797165 - x3) * 72.28385)) + (-196.40536 - (x2 * (x2 + -28.069983)))) + -0.27527457) - x0,0.0005673902946742629,-x0 + x1*40.29529 - x2*(x2 - 28.069983) - 72.28385*(-x3 - 1.9797165) - 196.40536 - 0.27527457,PySRFunction(X=>-x0 + x1*40.29529 - x2*(x2 - 28.069983) - 72.28385*(-x3 - 1.9797165) - 196.40536 - 0.27527457)
