,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8014487e-07,-5.9590985e-7,0.0,-5.95909850000000e-7,PySRFunction(X=>-5.95909850000000E-7)
1,3,4.5406253e-08,x3 * 7.575327e-6,0.6890557668390583,x3*7.575327e-6,PySRFunction(X=>x3*7.575327e-6)
2,5,4.4726725e-08,7.587525e-6 * (x3 + x0),0.007539314578378785,7.587525e-6*(x0 + x3),PySRFunction(X=>7.587525e-6*(x0 + x3))
3,7,2.7325517e-09,(x3 * 7.5718453e-6) + (x0 * 0.0009507951),1.3976676681959332,x0*0.0009507951 + x3*7.5718453e-6,PySRFunction(X=>x0*0.0009507951 + x3*7.5718453e-6)
4,9,2.8598543e-10,(x3 * 7.5718453e-6) + ((x1 + x0) * 0.0010911704),1.1285251374040255,x3*7.5718453e-6 + (x0 + x1)*0.0010911704,PySRFunction(X=>x3*7.5718453e-6 + (x0 + x1)*0.0010911704)
5,11,2.2951831e-10,(x3 * 7.581439e-6) + ((x0 * 0.0009740127) * (x0 + 1.1205503)),0.10997902850648268,x0*0.0009740127*(x0 + 1.1205503) + x3*7.581439e-6,PySRFunction(X=>x0*0.0009740127*(x0 + 1.1205503) + x3*7.581439e-6)
6,13,2.1710895e-11,(x3 * 7.575327e-6) + (((x0 * 0.0006066678) + 1.3981597e-5) * (x0 + 1.727136)),1.1790843000854816,x3*7.575327e-6 + (x0 + 1.727136)*(x0*0.0006066678 + 1.3981597e-5),PySRFunction(X=>x3*7.575327e-6 + (x0 + 1.727136)*(x0*0.0006066678 + 1.3981597e-5))
7,17,1.3187855e-12,(x3 * 7.553655e-6) + (((x0 * ((x3 * -3.812156e-7) + 0.0006063047)) + 1.3869317e-5) * (x0 + 1.727136)),0.7002757427427725,x3*7.553655e-6 + (x0 + 1.727136)*(x0*(0.0006063047 + x3*(-3.812156e-7)) + 1.3869317e-5),PySRFunction(X=>x3*7.553655e-6 + (x0 + 1.727136)*(x0*(0.0006063047 + x3*(-3.812156e-7)) + 1.3869317e-5))
8,19,1.2922115e-12,((x2 + x3) * 7.553655e-6) + (((((x3 * -3.812156e-7) + 0.0006063047) * x0) + 1.3869317e-5) * (x0 + 1.727136)),0.010178072828858693,(x0 + 1.727136)*(x0*(0.0006063047 + x3*(-3.812156e-7)) + 1.3869317e-5) + (x2 + x3)*7.553655e-6,PySRFunction(X=>(x0 + 1.727136)*(x0*(0.0006063047 + x3*(-3.812156e-7)) + 1.3869317e-5) + (x2 + x3)*7.553655e-6)
9,21,7.159928e-13,(x0 + 1.7234606) * ((x0 * ((((x0 * 1.2928642e-6) + -2.9790278e-6) * x3) + 0.00060755026)) + (1.3874052e-5 + (x3 * 4.388181e-6))),0.2952201297957271,(x0 + 1.7234606)*(x0*(x3*(x0*1.2928642e-6 - 2.9790278e-6) + 0.00060755026) + x3*4.388181e-6 + 1.3874052e-5),PySRFunction(X=>(x0 + 1.7234606)*(x0*(x3*(x0*1.2928642e-6 - 2.9790278e-6) + 0.00060755026) + x3*4.388181e-6 + 1.3874052e-5))
10,23,6.81539e-13,(x0 + 1.7234606) * (1.3874052e-5 + (((x2 + x3) * 4.388181e-6) + (x0 * ((((1.2928642e-6 * x0) + -2.9790278e-6) * x3) + 0.00060755026)))),0.024658317419582697,(x0 + 1.7234606)*(x0*(x3*(1.2928642e-6*x0 - 2.9790278e-6) + 0.00060755026) + (x2 + x3)*4.388181e-6 + 1.3874052e-5),PySRFunction(X=>(x0 + 1.7234606)*(x0*(x3*(1.2928642e-6*x0 - 2.9790278e-6) + 0.00060755026) + (x2 + x3)*4.388181e-6 + 1.3874052e-5))
11,25,5.512681e-13,(((((x3 + (x3 * ((x0 * -0.51267034) + x2))) * -2.9375637e-6) + 0.00060239894) * x0) + ((x3 * 4.350355e-6) + 1.3934125e-5)) * (1.7374542 + x0),0.10606610775793057,(x0 + 1.7374542)*(x0*(0.00060239894 + (x3*(x0*(-0.51267034) + x2) + x3)*(-2.9375637e-6)) + x3*4.350355e-6 + 1.3934125e-5),PySRFunction(X=>(x0 + 1.7374542)*(x0*(0.00060239894 + (x3*(x0*(-0.51267034) + x2) + x3)*(-2.9375637e-6)) + x3*4.350355e-6 + 1.3934125e-5))
12,27,5.239944e-13,(x0 + 1.7374542) * (((x3 + x2) * 4.34955e-6) + (1.390049e-5 + (x0 * ((((x3 * ((x0 * -0.52171713) + x2)) + x3) * -2.943848e-6) + 0.00060206186)))),0.025370131724050952,(x0 + 1.7374542)*(x0*(0.00060206186 + (x3*(x0*(-0.52171713) + x2) + x3)*(-2.943848e-6)) + (x2 + x3)*4.34955e-6 + 1.390049e-5),PySRFunction(X=>(x0 + 1.7374542)*(x0*(0.00060206186 + (x3*(x0*(-0.52171713) + x2) + x3)*(-2.943848e-6)) + (x2 + x3)*4.34955e-6 + 1.390049e-5))
13,29,4.9068833e-13,(x0 + 1.7374542) * (((x3 + (x2 + x2)) * 4.3494974e-6) + (1.3958455e-5 + ((((x3 + ((x2 + (x0 * -0.52171713)) * x3)) * -2.9357748e-6) + 0.000601727) * x0))),0.032835918389862065,(x0 + 1.7374542)*(x0*(0.000601727 + (x3*(x0*(-0.52171713) + x2) + x3)*(-2.9357748e-6)) + (x2 + x2 + x3)*4.3494974e-6 + 1.3958455e-5),PySRFunction(X=>(x0 + 1.7374542)*(x0*(0.000601727 + (x3*(x0*(-0.52171713) + x2) + x3)*(-2.9357748e-6)) + (x2 + x2 + x3)*4.3494974e-6 + 1.3958455e-5))
