ID,loss,complexity,MSE,picked_equation,substituted_form
0,6.1267435e-13,25,1.6021067882878225e-07,-7.77746142237813e-7*x0*x3 + 0.0010604324*x0 - 7.77746142237813e-7*x1*x3 + 0.00060018763*x1 + 1.83479321254227e-6*x2*x3 + 7.5642693e-6*x3 + 2.4237355e-5,1.83479321254227e-6*dx*x**3 - 7.77746142237813e-7*dx*x**2 - 7.77746142237813e-7*dx*x + 7.5642693e-6*dx + 0.00060018763*x**2 + 0.0010604324*x + 2.4237355e-5
1,5.868038e-13,23,1.5344704641604429e-07,2.6025858e-6*x0**2*x1*x3 - 4.9753924e-7*x0**2*x3 + 0.0006002675*x0**2 + 4.5950265902196e-6*x0*x1*x3 - 8.7843637565288e-7*x0*x3 + 0.001059809487835*x0 + 7.556975e-6*x3 + 2.4271296e-5,2.6025858e-6*dx*x**4 + 4.5950265902196e-6*dx*x**3 - 4.9753924e-7*dx*x**2 - 8.7843637565288e-7*dx*x + 7.556975e-6*dx + 0.0006002675*x**2 + 0.001059809487835*x + 2.4271296e-5
2,5.446518e-13,23,1.42423763190688e-07,-1.0930298e-5*x0*x2*x3 - 7.194348e-7*x0*x3 + 0.00100074592*x0 - 1.1464975e-8*x3**2 + 7.555857e-6*x3 + 7.67967e-5,-1.1464975e-8*dx**2 - 1.0930298e-5*dx*x**4 - 7.194348e-7*dx*x + 7.555857e-6*dx + 0.00100074592*x + 7.67967e-5
3,6.537722e-13,21,1.709576963116131e-07,0.0006009568*x0**2 - 8.790096e-7*x0*x3 + 0.00106061801938464*x0 + 5.2492546e-6*x2*x3 + 7.550228e-6*x3 + 2.4254487e-5,5.2492546e-6*dx*x**3 - 8.790096e-7*dx*x + 7.550228e-6*dx + 0.0006009568*x**2 + 0.00106061801938464*x + 2.4254487e-5
4,7.159928e-13,21,1.872284781349494e-07,1.2928642e-6*x0**3*x3 - 7.5082729014948e-7*x0**2*x3 + 0.00060755026*x0**2 - 7.46056039604679e-7*x0*x3 + 0.00106096298762976*x0 + 7.5628570591686e-6*x3 + 2.39113819843512e-5,1.2928642e-6*dx*x**3 - 7.5082729014948e-7*dx*x**2 - 7.46056039604679e-7*dx*x + 7.5628570591686e-6*dx + 0.00060755026*x**2 + 0.00106096298762976*x + 2.39113819843512e-5
5,6.6144903e-13,25,1.7296555816547585e-07,-1.0151690443408e-5*x0*x2*x3 - 6.78693294932129e-7*x0*x3 + 0.0010011718*x0 + 7.5528314e-6*x3 - 1.16187161609533e-8*x4 + 7.698007e-5,-1.16187161609533e-8*dx**2 - 1.0151690443408e-5*dx*x**4 - 6.78693294932129e-7*dx*x + 7.5528314e-6*dx + 0.0010011718*x + 7.698007e-5
6,5.027888e-13,27,1.314767930490696e-07,-1.22440627598061e-5*x0*x2*x3 - 7.23445376398404e-7*x0*x3 + 0.00100059388*x0 + 7.5574635e-6*x3 - 1.1493988498441e-8*x4 + 7.674374e-5,-1.1493988498441e-8*dx**2 - 1.22440627598061e-5*dx*x**4 - 7.23445376398404e-7*dx*x + 7.5574635e-6*dx + 0.00100059388*x + 7.674374e-5
7,3.504063e-13,29,9.162939098712881e-08,-1.3682722e-5*x0**2*x1*x3 + 0.00059690495*x0**2 - 1.7188134e-9*x0*x3**2 - 7.6412488721775e-7*x0*x3 + 0.0010617722*x0 + 7.5565454e-6*x3 + 2.4272074e-5,-1.7188134e-9*dx**2*x - 1.3682722e-5*dx*x**4 - 7.6412488721775e-7*dx*x + 7.5565454e-6*dx + 0.00059690495*x**2 + 0.0010617722*x + 2.4272074e-5
8,6.47444e-13,27,1.6930350971496056e-07,-8.776844e-7*x0**2*x3 + 0.001214751*x0**2 - 8.1012973387952e-7*x0*x3 + 0.0011212525873308*x0 + 2.10573630901551e-6*x2*x3 + 7.564793e-6*x3 + 1.179186e-8*x4 - 2.9573765e-5,1.179186e-8*dx**2 + 2.10573630901551e-6*dx*x**3 - 8.776844e-7*dx*x**2 - 8.1012973387952e-7*dx*x + 7.564793e-6*dx + 0.001214751*x**2 + 0.0011212525873308*x - 2.9573765e-5
9,6.6426297e-13,27,1.7370101847051472e-07,2.3272046e-6*x0*x1*x3 - 8.10476881861108e-7*x0*x3 + 0.00106029186*x0 + 2.3272046e-6*x1**2*x3 - 8.10476881861108e-7*x1*x3 + 0.0005987033*x1 + 7.56111e-6*x3 + 2.4204504e-5,2.3272046e-6*dx*x**4 + 2.3272046e-6*dx*x**3 - 8.10476881861108e-7*dx*x**2 - 8.10476881861108e-7*dx*x + 7.56111e-6*dx + 0.0005987033*x**2 + 0.00106029186*x + 2.4204504e-5
