,complexity,loss,equation,score,sympy_format,lambda_format
0,1,4.4504284e-07,1.6641545e-6,0.0,1.66415450000000e-6,PySRFunction(X=>0.00000166415450000000)
1,3,2.0362312e-07,x0 * 0.0022669537,0.3909498564870097,x0*0.0022669537,PySRFunction(X=>x0*0.0022669537)
2,5,1.9020484e-07,0.00011903051 + (x0 * 0.002389283),0.03408461876799513,x0*0.002389283 + 0.00011903051,PySRFunction(X=>x0*0.002389283 + 0.00011903051)
3,7,1.3562083e-08,(x0 + (x3 * 0.0017797103)) * 0.0022751105,1.3204118562006553,(x0 + x3*0.0017797103)*0.0022751105,PySRFunction(X=>(x0 + x3*0.0017797103)*0.0022751105)
4,9,1.8186935e-10,(x3 * 4.0524887e-6) + ((x0 * 0.0023912361) + 0.00011890258),2.1558722955576135,x0*0.0023912361 + x3*4.0524887e-6 + 0.00011890258,PySRFunction(X=>x0*0.0023912361 + x3*4.0524887e-6 + 0.00011890258)
5,11,1.8057907e-10,((x1 + x3) * 4.0524887e-6) + ((0.0023912361 * x0) + 0.00011890258),0.0035599146785216195,0.0023912361*x0 + (x1 + x3)*4.0524887e-6 + 0.00011890258,PySRFunction(X=>0.0023912361*x0 + (x1 + x3)*4.0524887e-6 + 0.00011890258)
6,13,2.8104765e-11,(((x0 * -7.8767044e-7) + 4.0070913e-6) * x3) + (0.00011918441 + (x0 * 0.002391066)),0.9301148039382563,x0*0.002391066 + x3*(4.0070913e-6 + x0*(-7.8767044e-7)) + 0.00011918441,PySRFunction(X=>x0*0.002391066 + x3*(4.0070913e-6 + x0*(-7.8767044e-7)) + 0.00011918441)
7,15,2.6907393e-11,(((x0 * -7.8767044e-7) + 4.0070913e-6) * (x1 + x3)) + ((x0 * 0.002391066) + 0.00011918441),0.02176902667780623,x0*0.002391066 + (4.0070913e-6 + x0*(-7.8767044e-7))*(x1 + x3) + 0.00011918441,PySRFunction(X=>x0*0.002391066 + (4.0070913e-6 + x0*(-7.8767044e-7))*(x1 + x3) + 0.00011918441)
8,17,2.5645777e-11,((x0 * 0.0023923197) + ((x3 + (x1 + x1)) * ((x0 * -7.7845226e-7) + 4.002745e-6))) + 0.00011845858,0.02401108143797289,x0*0.0023923197 + (4.002745e-6 + x0*(-7.7845226e-7))*(x1 + x1 + x3) + 0.00011845858,PySRFunction(X=>x0*0.0023923197 + (4.002745e-6 + x0*(-7.7845226e-7))*(x1 + x1 + x3) + 0.00011845858)
9,19,4.43546e-13,(((x0 * (x3 * -7.7020593e-7)) + ((x3 * 4.0089817e-6) + 0.00011171096)) + (x1 * 0.00016623577)) + (x0 * 0.0024060872),2.02866634044562,x0*x3*(-7.7020593e-7) + x0*0.0024060872 + x1*0.00016623577 + x3*4.0089817e-6 + 0.00011171096,PySRFunction(X=>x0*x3*(-7.7020593e-7) + x0*0.0024060872 + x1*0.00016623577 + x3*4.0089817e-6 + 0.00011171096)
