,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8014487e-07,-5.32139e-7,0.0,-5.32139000000000e-7,PySRFunction(X=>-5.32139000000000E-7)
1,3,4.2403943e-08,x4 * 0.0005247786,0.7232600036608664,x4*0.0005247786,PySRFunction(X=>x4*0.0005247786)
2,5,4.2403936e-08,(x4 * 0.00052486203) + 7.621386e-8,8.253950083014397e-08,x4*0.00052486203 + 7.621386e-8,PySRFunction(X=>x4*0.00052486203 + 7.621386e-8)
3,7,3.8418968e-10,(x5 * -0.00028994645) + (x4 * 0.00052486203),2.3519300390682356,x4*0.00052486203 + x5*(-0.00028994645),PySRFunction(X=>x4*0.00052486203 + x5*(-0.00028994645))
4,9,3.8418935e-10,(0.00052486203 * (x4 + 2.7118638e-5)) + (-0.00028996068 * x5),4.2947554156020793e-07,-0.00028996068*x5 + 0.00052486203*(x4 + 2.7118638e-5),PySRFunction(X=>-0.00028996068*x5 + 0.00052486203*(x4 + 2.7118638e-5))
5,11,1.5475541e-11,(x4 * 0.00052486203) + ((x5 * -0.000289958) + (x7 * 2.7118638e-5)),1.6059373762204272,x4*0.00052486203 + x5*(-0.000289958) + x7*2.7118638e-5,PySRFunction(X=>x4*0.00052486203 + x5*(-0.000289958) + x7*2.7118638e-5)
6,13,1.5474885e-11,(0.00052486203 * (x4 + 2.7118638e-5)) + ((2.7118638e-5 * x7) + (-0.00028996068 * x5)),2.1195184844917e-05,-0.00028996068*x5 + 2.7118638e-5*x7 + 0.00052486203*(x4 + 2.7118638e-5),PySRFunction(X=>-0.00028996068*x5 + 2.7118638e-5*x7 + 0.00052486203*(x4 + 2.7118638e-5))
7,15,1.979548e-12,(x4 * 0.00052488234) + ((x7 * 2.7148522e-5) + ((x5 * -0.00028999356) + (x6 * 5.208411e-6))),1.0281749256922523,x4*0.00052488234 + x5*(-0.00028999356) + x6*5.208411e-6 + x7*2.7148522e-5,PySRFunction(X=>x4*0.00052488234 + x5*(-0.00028999356) + x6*5.208411e-6 + x7*2.7148522e-5)
8,17,1.9795391e-12,(x4 * 0.00052488234) + ((x7 * 2.7148522e-5) + (((x6 + 2.7109687e-5) * 5.208411e-6) + (x5 * -0.00028999356))),2.247992977940081e-06,x4*0.00052488234 + x5*(-0.00028999356) + x7*2.7148522e-5 + (x6 + 2.7109687e-5)*5.208411e-6,PySRFunction(X=>x4*0.00052488234 + x5*(-0.00028999356) + x7*2.7148522e-5 + (x6 + 2.7109687e-5)*5.208411e-6)
9,19,9.25586e-13,(x7 * 2.7170867e-5) + (((x6 * ((x5 + -1.8169438) * -2.8620277e-6)) + (x5 * -0.0002899219)) + (x4 * 0.0005262766)),0.38009613418644367,x4*0.0005262766 + x5*(-0.0002899219) + x6*(x5 - 1.8169438)*(-2.8620277e-6) + x7*2.7170867e-5,PySRFunction(X=>x4*0.0005262766 + x5*(-0.0002899219) + x6*(x5 - 1.8169438)*(-2.8620277e-6) + x7*2.7170867e-5)
10,21,7.2853876e-13,((x4 * 0.0005259105) + (((x6 * ((x5 + x7) + -2.2865384)) * -2.2377283e-6) + (x7 * 2.7078348e-5))) + (x5 * -0.00028996155),0.11969311050242697,x4*0.0005259105 + x5*(-0.00028996155) + x6*(x5 + x7 - 2.2865384)*(-2.2377283e-6) + x7*2.7078348e-5,PySRFunction(X=>x4*0.0005259105 + x5*(-0.00028996155) + x6*(x5 + x7 - 2.2865384)*(-2.2377283e-6) + x7*2.7078348e-5)
