,complexity,loss,equation,score,sympy_format,lambda_format
0,1,2.3657721e-08,1.1078513e-5,0.0,1.10785130000000e-5,PySRFunction(X=>0.0000110785130000000)
1,3,1.1289444e-08,x0 * 0.000512645,0.3699107005877425,x0*0.000512645,PySRFunction(X=>x0*0.000512645)
2,5,9.870306e-09,(x0 + 0.06994139) * 0.0005546889,0.06716863691161276,(x0 + 0.06994139)*0.0005546889,PySRFunction(X=>(x0 + 0.06994139)*0.0005546889)
3,7,1.558272e-09,(x3 * 2.0288044e-6) + (x0 * 0.0005087482),0.9229766704975534,x0*0.0005087482 + x3*2.0288044e-6,PySRFunction(X=>x0*0.0005087482 + x3*2.0288044e-6)
4,9,1.523848e-10,((x3 * 0.0037141792) + (x0 + 0.06994139)) * 0.0005546889,1.1624619466228654,(x0 + x3*0.0037141792 + 0.06994139)*0.0005546889,PySRFunction(X=>(x0 + x3*0.0037141792 + 0.06994139)*0.0005546889)
5,11,1.516203e-10,0.0005546889 * (0.06834557 + (x0 + ((x1 + x3) * 0.0037141792))),0.002514765744315575,0.0005546889*(x0 + (x1 + x3)*0.0037141792 + 0.06834557),PySRFunction(X=>0.0005546889*(x0 + (x1 + x3)*0.0037141792 + 0.06834557))
6,13,1.0179032e-10,(((x3 * 0.0037139046) + x0) + 0.057296343) * ((x0 * 0.00016268583) + 0.00056181155),0.1992321790351997,(x0*0.00016268583 + 0.00056181155)*(x0 + x3*0.0037139046 + 0.057296343),PySRFunction(X=>(x0*0.00016268583 + 0.00056181155)*(x0 + x3*0.0037139046 + 0.057296343))
7,15,1.014159e-10,((x0 * 0.00016268583) + 0.00056181155) * (x0 + (0.045654323 + ((x3 + 2.8790994) * 0.0037139046))),0.0018425637941776208,(x0*0.00016268583 + 0.00056181155)*(x0 + (x3 + 2.8790994)*0.0037139046 + 0.045654323),PySRFunction(X=>(x0*0.00016268583 + 0.00056181155)*(x0 + (x3 + 2.8790994)*0.0037139046 + 0.045654323))
8,17,9.941003e-11,(x0 + (0.052605253 + (((x0 * -0.00048908545) + 0.003711504) * x3))) * ((x0 * 0.00020376722) + 0.0005652642),0.009988434796860055,(x0*0.00020376722 + 0.0005652642)*(x0 + x3*(0.003711504 + x0*(-0.00048908545)) + 0.052605253),PySRFunction(X=>(x0*0.00020376722 + 0.0005652642)*(x0 + x3*(0.003711504 + x0*(-0.00048908545)) + 0.052605253))
9,19,9.9153505e-11,(x0 + (((x0 * x3) * -0.00048908545) + ((x3 * 0.003711504) + 0.052605253))) * ((x0 * 0.00020376722) + 0.0005641116),0.0012919045922247917,(x0*0.00020376722 + 0.0005641116)*(x0*x3*(-0.00048908545) + x0 + x3*0.003711504 + 0.052605253),PySRFunction(X=>(x0*0.00020376722 + 0.0005641116)*(x0*x3*(-0.00048908545) + x0 + x3*0.003711504 + 0.052605253))
10,21,9.914146e-11,(((x3 * (x0 * -0.00048908545)) + (x0 + 0.052605253)) + ((x3 * 0.0037039358) + 0.00020376722)) * ((x0 * 0.00020376722) + 0.0005652642),6.074284344448766e-05,(x0*0.00020376722 + 0.0005652642)*(x3*x0*(-0.00048908545) + x0 + x3*0.0037039358 + 0.00020376722 + 0.052605253),PySRFunction(X=>(x0*0.00020376722 + 0.0005652642)*(x3*x0*(-0.00048908545) + x0 + x3*0.0037039358 + 0.00020376722 + 0.052605253))
11,23,9.886807e-11,((x0 + ((x0 * x3) * -0.00048908545)) + (((x3 * 0.003711504) + 0.052605253) + (x3 * -2.7189722e-5))) * ((x0 * 0.00020376722) + 0.0005652642),0.0013806919986226707,(x0*0.00020376722 + 0.0005652642)*(x0*x3*(-0.00048908545) + x0 + x3*(-2.7189722e-5) + x3*0.003711504 + 0.052605253),PySRFunction(X=>(x0*0.00020376722 + 0.0005652642)*(x0*x3*(-0.00048908545) + x0 + x3*(-2.7189722e-5) + x3*0.003711504 + 0.052605253))
12,25,9.886799e-11,(x0 + (((x3 * -0.00048908545) * x0) + (((x3 * 0.003711504) + ((x3 + 0.003711504) * -2.7415714e-5)) + 0.052605253))) * ((x0 * 0.00020376722) + 0.0005652642),4.045797210406617e-07,(x0*0.00020376722 + 0.0005652642)*(x3*(-0.00048908545)*x0 + x0 + x3*0.003711504 + (x3 + 0.003711504)*(-2.7415714e-5) + 0.052605253),PySRFunction(X=>(x0*0.00020376722 + 0.0005652642)*(x3*(-0.00048908545)*x0 + x0 + x3*0.003711504 + (x3 + 0.003711504)*(-2.7415714e-5) + 0.052605253))
13,27,9.885546e-11,((x0 + (x3 * (-0.00048908545 * x0))) + (((x3 * 0.003711504) + (((x3 * -0.00048908545) + 0.003711504) * 0.056055058)) + 0.052605253)) * ((x0 * 0.00020376722) + 0.0005652642),6.337134020666103e-05,(x0*0.00020376722 + 0.0005652642)*(x3*(-0.00048908545)*x0 + x0 + x3*0.003711504 + (0.003711504 + x3*(-0.00048908545))*0.056055058 + 0.052605253),PySRFunction(X=>(x0*0.00020376722 + 0.0005652642)*(x3*(-0.00048908545)*x0 + x0 + x3*0.003711504 + (0.003711504 + x3*(-0.00048908545))*0.056055058 + 0.052605253))
