,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8317075e-09,2.5988976e-7,0.0,2.59889760000000e-7,PySRFunction(X=>2.59889760000000E-7)
1,3,1.1246304e-10,x1 * 1.0361338e-5,1.3951896182912573,x1*1.0361338e-5,PySRFunction(X=>x1*1.0361338e-5)
2,5,7.191291e-11,1.0471567e-5 * (x0 + x1),0.2235844153929437,1.0471567e-5*(x0 + x1),PySRFunction(X=>1.0471567e-5*(x0 + x1))
3,7,9.893694e-12,(1.0361338e-5 * x1) + (x0 * 4.683995e-5),0.9917791095270828,x0*4.683995e-5 + 1.0361338e-5*x1,PySRFunction(X=>x0*4.683995e-5 + 1.0361338e-5*x1)
4,9,4.0306252e-12,((x0 * 4.9276914e-5) + (x1 * 1.0370708e-5)) + 2.4830092e-6,0.44898804204479514,x0*4.9276914e-5 + x1*1.0370708e-5 + 2.4830092e-6,PySRFunction(X=>x0*4.9276914e-5 + x1*1.0370708e-5 + 2.4830092e-6)
5,11,4.0302392e-12,(((x0 * 1.0124482) + (x1 * 0.21436419)) * 4.8348993e-5) + 2.4610515e-6,4.788568336354401e-05,(x0*1.0124482 + x1*0.21436419)*4.8348993e-5 + 2.4610515e-6,PySRFunction(X=>(x0*1.0124482 + x1*0.21436419)*4.8348993e-5 + 2.4610515e-6)
6,13,3.8765787e-12,((x0 + (((x0 * 0.01761656) + 0.21436419) * x1)) * 4.8550333e-5) + 2.4491349e-6,0.019436371373212157,(x0 + x1*(x0*0.01761656 + 0.21436419))*4.8550333e-5 + 2.4491349e-6,PySRFunction(X=>(x0 + x1*(x0*0.01761656 + 0.21436419))*4.8550333e-5 + 2.4491349e-6)
7,15,2.8844381e-12,(((x1 * 0.23077925) + x0) * ((x1 * (x0 * 2.424601e-6)) + 4.462491e-5)) + 2.6514238e-6,0.1478114356649739,(x0 + x1*0.23077925)*(x1*x0*2.424601e-6 + 4.462491e-5) + 2.6514238e-6,PySRFunction(X=>(x0 + x1*0.23077925)*(x1*x0*2.424601e-6 + 4.462491e-5) + 2.6514238e-6)
8,17,2.5536892e-12,((((x1 + 1.7444401) * (x0 * 2.5046013e-6)) + 4.4857265e-5) * (x0 + (x1 * 0.23077925))) + 2.5046013e-6,0.06089552810926471,(x0 + x1*0.23077925)*((x1 + 1.7444401)*x0*2.5046013e-6 + 4.4857265e-5) + 2.5046013e-6,PySRFunction(X=>(x0 + x1*0.23077925)*((x1 + 1.7444401)*x0*2.5046013e-6 + 4.4857265e-5) + 2.5046013e-6)
9,19,2.5323701e-12,(((x1 * 0.23077925) + x0) * ((x0 * ((x0 + (x1 + 1.5406888)) * 2.5698696e-6)) + 4.462491e-5)) + 2.5698696e-6,0.004191698052179471,(x0 + x1*0.23077925)*(x0*(x0 + x1 + 1.5406888)*2.5698696e-6 + 4.462491e-5) + 2.5698696e-6,PySRFunction(X=>(x0 + x1*0.23077925)*(x0*(x0 + x1 + 1.5406888)*2.5698696e-6 + 4.462491e-5) + 2.5698696e-6)
10,21,2.1928319e-12,(((((x1 * x0) + -1.4211237) * ((x1 * -2.1703224e-6) * x0)) + 4.4058972e-5) * (x0 + (x1 * 0.2390208))) + 2.7046817e-6,0.07198092456281369,(x0 + x1*0.2390208)*((x0*x1 - 1.4211237)*x1*(-2.1703224e-6)*x0 + 4.4058972e-5) + 2.7046817e-6,PySRFunction(X=>(x0 + x1*0.2390208)*((x0*x1 - 1.4211237)*x1*(-2.1703224e-6)*x0 + 4.4058972e-5) + 2.7046817e-6)
11,23,2.0737951e-12,(((((x1 * x0) * -1.8786143e-6) * (x4 + ((x0 + -0.06373897) * x1))) + 4.4506316e-5) * (x0 + (x1 * 0.23545471))) + 2.5654801e-6,0.02790675159198212,(x0 + x1*0.23545471)*(x1*x0*(-1.8786143e-6)*(x1*(x0 - 0.06373897) + x4) + 4.4506316e-5) + 2.5654801e-6,PySRFunction(X=>(x0 + x1*0.23545471)*(x1*x0*(-1.8786143e-6)*(x1*(x0 - 0.06373897) + x4) + 4.4506316e-5) + 2.5654801e-6)
12,25,1.7573895e-12,(((x1 * 0.2371908) + x0) * ((((x0 + (x1 * 0.11205566)) * ((x1 * (x0 * -2.3780347e-5)) + 2.8780501e-5)) * x0) + 4.388369e-5)) + 2.6608823e-6,0.08277542050033408,(x0 + x1*0.2371908)*(x0*(x0 + x1*0.11205566)*(x1*x0*(-2.3780347e-5) + 2.8780501e-5) + 4.388369e-5) + 2.6608823e-6,PySRFunction(X=>(x0 + x1*0.2371908)*(x0*(x0 + x1*0.11205566)*(x1*x0*(-2.3780347e-5) + 2.8780501e-5) + 4.388369e-5) + 2.6608823e-6)
13,27,1.4236152e-12,(((x1 * 0.2464509) + x0) * (((((x0 + x0) + (x1 * 0.2464509)) * x0) * ((x0 * (x1 * -1.7217979e-5)) + 1.822305e-5)) + 4.266852e-5)) + 2.5890022e-6,0.10531495878647379,(x0 + x1*0.2464509)*(x0*(x0*x1*(-1.7217979e-5) + 1.822305e-5)*(x0 + x0 + x1*0.2464509) + 4.266852e-5) + 2.5890022e-6,PySRFunction(X=>(x0 + x1*0.2464509)*(x0*(x0*x1*(-1.7217979e-5) + 1.822305e-5)*(x0 + x0 + x1*0.2464509) + 4.266852e-5) + 2.5890022e-6)
14,29,1.4089776e-12,(((x1 * 0.2464509) + x0) * (((((x0 + x0) + ((x1 + x0) * 0.25701746)) * x0) * ((x0 * (x1 * -1.7217979e-5)) + 1.822305e-5)) + 4.266852e-5)) + 2.5890022e-6,0.005167608381545509,(x0 + x1*0.2464509)*(x0*(x0*x1*(-1.7217979e-5) + 1.822305e-5)*(x0 + x0 + (x0 + x1)*0.25701746) + 4.266852e-5) + 2.5890022e-6,PySRFunction(X=>(x0 + x1*0.2464509)*(x0*(x0*x1*(-1.7217979e-5) + 1.822305e-5)*(x0 + x0 + (x0 + x1)*0.25701746) + 4.266852e-5) + 2.5890022e-6)
15,31,1.3199968e-12,(((x1 * 0.2464509) + x0) * (((((x0 * (x1 * -1.5715903e-5)) + 1.791335e-5) * x0) * ((x0 * 1.9367529) + (((x1 + 0.6152126) * 0.25701746) + x0))) + 4.222577e-5)) + 2.6542657e-6,0.032617511318698486,(x0 + x1*0.2464509)*(x0*(x0*x1*(-1.5715903e-5) + 1.791335e-5)*(x0 + x0*1.9367529 + (x1 + 0.6152126)*0.25701746) + 4.222577e-5) + 2.6542657e-6,PySRFunction(X=>(x0 + x1*0.2464509)*(x0*(x0*x1*(-1.5715903e-5) + 1.791335e-5)*(x0 + x0*1.9367529 + (x1 + 0.6152126)*0.25701746) + 4.222577e-5) + 2.6542657e-6)
16,33,1.3199618e-12,(((x1 * 0.2464509) + x0) * ((((x0 * (-1.5715903e-5 * x1)) + 1.791335e-5) * (x0 * ((x0 * 1.9367529) + (((x1 + (x2 + 0.30974683)) * 0.25701746) + x0)))) + 4.222577e-5)) + 2.6542657e-6,1.325778366449547e-05,(x0 + x1*0.2464509)*(x0*(x0*(-1.5715903e-5)*x1 + 1.791335e-5)*(x0 + x0*1.9367529 + (x1 + x2 + 0.30974683)*0.25701746) + 4.222577e-5) + 2.6542657e-6,PySRFunction(X=>(x0 + x1*0.2464509)*(x0*(x0*(-1.5715903e-5)*x1 + 1.791335e-5)*(x0 + x0*1.9367529 + (x1 + x2 + 0.30974683)*0.25701746) + 4.222577e-5) + 2.6542657e-6)
