ID,loss,complexity,MSE,expanded_form,substituted_form
0,1.831688e-12,15,3.6514702594252767e-07,8.306785e-6*x0**3 + 4.475442397805e-5*x0**2 + 8.306785e-6*x0*x1 + 5.09970269463437e-5*x0 + 1.34733145e-5*x1 + 4.21974199467327e-7,8.306785e-6*dx*x + 1.34733145e-5*dx + 8.306785e-6*x**3 + 4.475442397805e-5*x**2 + 5.09970269463437e-5*x + 4.21974199467327e-7
1,2.0799252e-12,15,4.146330814722559e-07,3.1783714387152e-5*x0**2 + 2.8542256e-5*x0*x1*x2 + 5.06926270588362e-5*x0 + 4.49715981247632e-5*x1*x2 + 9.67016899134691e-7,2.8542256e-5*A*dx*x + 4.49715981247632e-5*A*dx + 3.1783714387152e-5*x**2 + 5.06926270588362e-5*x + 9.67016899134691e-7
2,1.7607724e-12,19,3.5101012345008804e-07,1.56271544197406e-6*x0**2*x1 + 1.56271544197406e-6*x0**2*x3 + 4.51260885045891e-7*x0*x1**2 + 4.51260885045891e-7*x0*x1*x3 + 2.4697838e-6*x0*x3 + 7.1319243e-7*x1*x3 + 1.2664043e-6,4.51260885045891e-7*dx**2*x + 4.51260885045891e-7*dx*w*x + 7.1319243e-7*dx*w + 1.56271544197406e-6*dx*x**2 + 1.56271544197406e-6*w*x**2 + 2.4697838e-6*w*x + 1.2664043e-6
3,1.3386225e-12,29,2.6685439796725556e-07,3.728487594618e-6*x0**3*x1 + 1.26856253945947e-6*x0**2*x1**2 + 1.40652295858928e-6*x0**2*x1 + 2.46613014695475e-5*x0**2 + 5.6226901939128e-8*x0*x1**3 + 3.54603125868766e-7*x0*x1**2 + 6.98716782096624e-6*x0*x1 + 4.80191641678024e-5*x0 - 5.41191746703476e-9*x1**3 - 4.58834258519974e-8*x1**2 + 1.35620780863869e-5*x1 + 1.68889873339733e-6,5.6226901939128e-8*dx**3*x - 5.41191746703476e-9*dx**3 + 1.26856253945947e-6*dx**2*x**2 + 3.54603125868766e-7*dx**2*x - 4.58834258519974e-8*dx**2 + 3.728487594618e-6*dx*x**3 + 1.40652295858928e-6*dx*x**2 + 6.98716782096624e-6*dx*x + 1.35620780863869e-5*dx + 2.46613014695475e-5*x**2 + 4.80191641678024e-5*x + 1.68889873339733e-6
4,1.8103327e-12,15,3.6088982344321967e-07,5.15868303307754e-5*x0**2 + 8.24178953012922e-6*x0*x1 + 5.15868303307754e-5*x0 + 1.34803695e-5*x1,8.24178953012922e-6*dx*x + 1.34803695e-5*dx + 5.15868303307754e-5*x**2 + 5.15868303307754e-5*x
5,1.827056e-12,17,3.6422363846215677e-07,5.4842540506494e-5*x0**2 + 8.152514e-6*x0*x1 + 5.20934765834634e-5*x0 + 1.34725780491922e-5*x1,8.152514e-6*dx*x + 1.34725780491922e-5*dx + 5.4842540506494e-5*x**2 + 5.20934765834634e-5*x
6,1.8128192e-12,15,3.613855045598531e-07,5.0268304916316e-5*x0**2 + 8.25787516028148e-6*x0*x1 + 5.20578235712052e-5*x0 + 1.3476042e-5*x1,8.25787516028148e-6*dx*x + 1.3476042e-5*dx + 5.0268304916316e-5*x**2 + 5.20578235712052e-5*x
7,2.1222323e-12,13,4.230672870197339e-07,3.3221506e-5*x0**2 + 8.82654651632138e-6*x0*x1 + 5.07736136275642e-5*x0 + 1.34899261486046e-5*x1 + 9.644605e-7,8.82654651632138e-6*dx*x + 1.34899261486046e-5*dx + 3.3221506e-5*x**2 + 5.07736136275642e-5*x + 9.644605e-7
8,1.8422067e-12,15,3.6724390999457655e-07,4.84192950881824e-5*x0**2 + 8.3028720048464e-6*x0*x1 + 5.16099959023969e-5*x0 + 1.3482928e-5*x1,8.3028720048464e-6*dx*x + 1.3482928e-5*dx + 4.84192950881824e-5*x**2 + 5.16099959023969e-5*x
9,1.5620594e-12,25,3.113965348440723e-07,-3.69432169152639e-6*x0**4*x3 - 6.08074579251324e-6*x0**3*x3 + 1.8762538503412e-6*x0**2*x3 + 8.187124e-6*x0*x1 + 3.08825913355562e-6*x0*x3 + 1.34757674e-5*x1 + 7.3433523e-7,8.187124e-6*dx*x + 1.34757674e-5*dx - 3.69432169152639e-6*w*x**4 - 6.08074579251324e-6*w*x**3 + 1.8762538503412e-6*w*x**2 + 3.08825913355562e-6*w*x + 7.3433523e-7
