,complexity,loss,equation,score,sympy_format,lambda_format
0,1,2.0587137e-08,-6.74268e-8,0.0,-6.74268000000000e-8,PySRFunction(X=>-6.74268000000000E-8)
1,3,1.1905968e-09,1.1604742e-5 * x1,1.4251058846384803,1.1604742e-5*x1,PySRFunction(X=>1.1604742e-5*x1)
2,5,1.0429808e-09,(x1 + x0) * 1.16489355e-5,0.06618596330053297,(x0 + x1)*1.16489355e-5,PySRFunction(X=>(x0 + x1)*1.16489355e-5)
3,7,2.5317412e-10,(x0 * 0.00014135917) + (x1 * 1.1582911e-5),0.7078802865192239,x0*0.00014135917 + x1*1.1582911e-5,PySRFunction(X=>x0*0.00014135917 + x1*1.1582911e-5)
4,9,2.0161763e-10,(x0 * 0.0001476349) + ((x1 * 1.1615034e-5) + 7.4120103e-6),0.11385224529260556,x0*0.0001476349 + x1*1.1615034e-5 + 7.4120103e-6,PySRFunction(X=>x0*0.0001476349 + x1*1.1615034e-5 + 7.4120103e-6)
5,11,9.6543995e-11,(((x1 * 7.1187333e-6) + 0.00014211134) * x0) + (x1 * 1.18911785e-5),0.3681870857918421,x0*(x1*7.1187333e-6 + 0.00014211134) + x1*1.18911785e-5,PySRFunction(X=>x0*(x1*7.1187333e-6 + 0.00014211134) + x1*1.18911785e-5)
6,13,4.5827984e-11,((((x1 * 7.0009e-6) + 0.00014873376) * x0) + (x1 * 1.1896901e-5)) + 7.341752e-6,0.37255195114350426,x0*(x1*7.0009e-6 + 0.00014873376) + x1*1.1896901e-5 + 7.341752e-6,PySRFunction(X=>x0*(x1*7.0009e-6 + 0.00014873376) + x1*1.1896901e-5 + 7.341752e-6)
7,15,6.6870394e-12,(((x1 * 7.0357873e-6) + ((x0 * 0.00017939019) + 0.00016541552)) * x0) + (x1 * 1.1896529e-5),0.9623618369079945,x0*(x0*0.00017939019 + x1*7.0357873e-6 + 0.00016541552) + x1*1.1896529e-5,PySRFunction(X=>x0*(x0*0.00017939019 + x1*7.0357873e-6 + 0.00016541552) + x1*1.1896529e-5)
8,17,6.1462467e-12,(((((x0 * 0.00020228214) + (x1 * 6.968217e-6)) + 0.00016629545) * x0) + -1.4015684e-6) + (x1 * 1.1896702e-5),0.04216481612633896,x0*(x0*0.00020228214 + x1*6.968217e-6 + 0.00016629545) + x1*1.1896702e-5 - 1.4015684e-6,PySRFunction(X=>x0*(x0*0.00020228214 + x1*6.968217e-6 + 0.00016629545) + x1*1.1896702e-5 - 1.4015684e-6)
9,19,6.1224914e-12,(((x0 * (7.922445e-5 + ((x0 * 9.368675e-5) + (x1 * 3.300791e-6)))) + (x1 * 5.664909e-6)) * 2.10193) + -1.1161709e-6,0.0019362488214391296,(x0*(x0*9.368675e-5 + x1*3.300791e-6 + 7.922445e-5) + x1*5.664909e-6)*2.10193 - 1.1161709e-6,PySRFunction(X=>(x0*(x0*9.368675e-5 + x1*3.300791e-6 + 7.922445e-5) + x1*5.664909e-6)*2.10193 - 1.1161709e-6)
10,21,5.349425e-12,(x0 * ((x1 * ((x0 * (x0 * -2.0604177e-5)) + 8.0171985e-6)) + ((x0 * 0.00017861484) + 0.00016480006))) + (x1 * 1.1894216e-5),0.06749001334593219,x0*(x0*0.00017861484 + x1*(x0*x0*(-2.0604177e-5) + 8.0171985e-6) + 0.00016480006) + x1*1.1894216e-5,PySRFunction(X=>x0*(x0*0.00017861484 + x1*(x0*x0*(-2.0604177e-5) + 8.0171985e-6) + 0.00016480006) + x1*1.1894216e-5)
11,23,4.806616e-12,(x1 * 1.187902e-5) + (((((x1 * ((x0 * (x0 * -2.0659398e-5)) + 7.962439e-6)) + 0.00016688951) + (x0 * 0.00019598671)) * x0) + -1.1979124e-6),0.053497888139315754,x0*(x0*0.00019598671 + x1*(x0*x0*(-2.0659398e-5) + 7.962439e-6) + 0.00016688951) + x1*1.187902e-5 - 1.1979124e-6,PySRFunction(X=>x0*(x0*0.00019598671 + x1*(x0*x0*(-2.0659398e-5) + 7.962439e-6) + 0.00016688951) + x1*1.187902e-5 - 1.1979124e-6)
12,25,4.651497e-12,(((((x0 * 0.00019743905) + ((x1 + 1.4957465) * (((x0 * x0) * -2.0473399e-5) + 8.063248e-6))) + 0.00015674606) * x0) + -1.23483e-6) + (x1 * 1.1880482e-5),0.016402099472357386,x0*(x0*0.00019743905 + (x1 + 1.4957465)*(x0*x0*(-2.0473399e-5) + 8.063248e-6) + 0.00015674606) + x1*1.1880482e-5 - 1.23483e-6,PySRFunction(X=>x0*(x0*0.00019743905 + (x1 + 1.4957465)*(x0*x0*(-2.0473399e-5) + 8.063248e-6) + 0.00015674606) + x1*1.1880482e-5 - 1.23483e-6)
13,27,4.5645853e-12,(((x0 * 0.00018950271) + (((((x1 + 3.032605) * x0) * x0) * -1.9959325e-5) + ((x1 * 7.985589e-6) + 0.0001694954))) * x0) + ((x1 * 1.1869378e-5) + -1.1234148e-6),0.009430718363049366,x0*((x1 + 3.032605)*x0*x0*(-1.9959325e-5) + x0*0.00018950271 + x1*7.985589e-6 + 0.0001694954) + x1*1.1869378e-5 - 1.1234148e-6,PySRFunction(X=>x0*((x1 + 3.032605)*x0*x0*(-1.9959325e-5) + x0*0.00018950271 + x1*7.985589e-6 + 0.0001694954) + x1*1.1869378e-5 - 1.1234148e-6)
14,29,4.5287645e-12,(x1 * 1.1873281e-5) + ((x0 * (((x1 * 7.896908e-6) + ((x0 * (x0 + x0)) * ((x1 + 6.0210404) * -1.0403613e-5))) + ((x0 * 0.0001876259) + 0.00017452562))) + -1.3875186e-6),0.003939250779206181,x0*(x0*(x0 + x0)*(x1 + 6.0210404)*(-1.0403613e-5) + x0*0.0001876259 + x1*7.896908e-6 + 0.00017452562) + x1*1.1873281e-5 - 1.3875186e-6,PySRFunction(X=>x0*(x0*(x0 + x0)*(x1 + 6.0210404)*(-1.0403613e-5) + x0*0.0001876259 + x1*7.896908e-6 + 0.00017452562) + x1*1.1873281e-5 - 1.3875186e-6)
15,31,4.5027606e-12,(((((x0 * 0.0001964312) + ((x1 * 7.911052e-6) + 0.00017291919)) + ((x0 * (x0 + x0)) * (((x1 + x0) + 4.5004783) * -1.0017333e-5))) * x0) + -1.4772463e-6) + (x1 * 1.1881987e-5),0.0028792448196644452,x0*(x0*(x0 + x0)*(x0 + x1 + 4.5004783)*(-1.0017333e-5) + x0*0.0001964312 + x1*7.911052e-6 + 0.00017291919) + x1*1.1881987e-5 - 1.4772463e-6,PySRFunction(X=>x0*(x0*(x0 + x0)*(x0 + x1 + 4.5004783)*(-1.0017333e-5) + x0*0.0001964312 + x1*7.911052e-6 + 0.00017291919) + x1*1.1881987e-5 - 1.4772463e-6)
16,33,4.0202854e-12,(x0 * (((((((x0 + x0) * ((x1 + (x0 * 17.04892)) + 6.4005623)) * -1.2640224e-5) * x0) + (x0 * 0.00021760483)) + (x1 * 8.238862e-6)) + 0.00017513543)) + ((x1 * 1.1894261e-5) + -1.315083e-6),0.05666889010670473,x0*((x0 + x0)*(x0*17.04892 + x1 + 6.4005623)*(-1.2640224e-5)*x0 + x0*0.00021760483 + x1*8.238862e-6 + 0.00017513543) + x1*1.1894261e-5 - 1.315083e-6,PySRFunction(X=>x0*((x0 + x0)*(x0*17.04892 + x1 + 6.4005623)*(-1.2640224e-5)*x0 + x0*0.00021760483 + x1*8.238862e-6 + 0.00017513543) + x1*1.1894261e-5 - 1.315083e-6)
17,35,3.761674e-12,(((((x0 * (x0 + x0)) * (((((x0 * 11.831228) + 3.0534496) * 3.8579736) + x1) * -8.3697105e-6)) + (((x1 * 7.810101e-6) + (x0 * 0.00025047403)) + 0.00017607819)) * x0) + (x1 * 1.1886036e-5)) + -1.7455448e-6,0.03324441202290729,x0*(x0*(x0 + x0)*(x1 + (x0*11.831228 + 3.0534496)*3.8579736)*(-8.3697105e-6) + x0*0.00025047403 + x1*7.810101e-6 + 0.00017607819) + x1*1.1886036e-5 - 1.7455448e-6,PySRFunction(X=>x0*(x0*(x0 + x0)*(x1 + (x0*11.831228 + 3.0534496)*3.8579736)*(-8.3697105e-6) + x0*0.00025047403 + x1*7.810101e-6 + 0.00017607819) + x1*1.1886036e-5 - 1.7455448e-6)
18,37,3.670919e-12,((((((x0 + x0) * ((x0 * ((((x0 * 12.695081) + (x4 + 1.9729915)) * 2.7995186) + x1)) * -1.1124037e-5)) + (x1 * 8.1480275e-6)) + (x0 * 0.00025103148)) + 0.00017775514) * x0) + ((x1 * 1.1883913e-5) + -1.6059851e-6),0.012211015825584363,x0*((x0 + x0)*x0*(x1 + (x0*12.695081 + x4 + 1.9729915)*2.7995186)*(-1.1124037e-5) + x0*0.00025103148 + x1*8.1480275e-6 + 0.00017775514) + x1*1.1883913e-5 - 1.6059851e-6,PySRFunction(X=>x0*((x0 + x0)*x0*(x1 + (x0*12.695081 + x4 + 1.9729915)*2.7995186)*(-1.1124037e-5) + x0*0.00025103148 + x1*8.1480275e-6 + 0.00017775514) + x1*1.1883913e-5 - 1.6059851e-6)
