,complexity,loss,equation,score,sympy_format,lambda_format
0,1,8.7745615e-09,-1.3341684e-6,0.0,-1.33416840000000e-6,PySRFunction(X=>-0.00000133416840000000)
1,3,4.5939805e-10,x1 * 1.1846192e-5,1.4748475149982225,x1*1.1846192e-5,PySRFunction(X=>x1*1.1846192e-5)
2,5,3.6409417e-10,(x0 + x1) * 1.1915003e-5,0.11625225130521576,(x0 + x1)*1.1915003e-5,PySRFunction(X=>(x0 + x1)*1.1915003e-5)
3,7,9.5276696e-11,(x0 * 8.449582e-5) + (x1 * 1.1857599e-5),0.6703136476325209,x0*8.449582e-5 + x1*1.1857599e-5,PySRFunction(X=>x0*8.449582e-5 + x1*1.1857599e-5)
4,9,9.525584e-11,((-0.018384276 + x1) * 1.1857599e-5) + (8.358191e-5 * x0),0.00010946162015759973,8.358191e-5*x0 + (x1 - 0.018384276)*1.1857599e-5,PySRFunction(X=>8.358191e-5*x0 + (x1 - 0.018384276)*1.1857599e-5)
5,11,3.8729082e-11,(x0 + (((x0 + 2.7329607) * x1) * x4)) * 8.6942215e-5,0.4499877668868256,(x0 + x1*x4*(x0 + 2.7329607))*8.6942215e-5,PySRFunction(X=>(x0 + x1*x4*(x0 + 2.7329607))*8.6942215e-5)
6,13,3.6464474e-11,(x0 + ((x1 * ((x0 * 1.241283) + 2.7328737)) * x4)) * 8.68744e-5,0.03012615957416502,(x0 + x1*x4*(x0*1.241283 + 2.7328737))*8.68744e-5,PySRFunction(X=>(x0 + x1*x4*(x0*1.241283 + 2.7328737))*8.68744e-5)
7,15,3.6435664e-11,(x0 + ((-0.008898357 + x1) * (((x0 * 1.241283) + 2.7328737) * x4))) * 8.6888555e-5,0.00039519817506885593,(x0 + x4*(x1 - 0.008898357)*(x0*1.241283 + 2.7328737))*8.6888555e-5,PySRFunction(X=>(x0 + x4*(x1 - 0.008898357)*(x0*1.241283 + 2.7328737))*8.6888555e-5)
8,17,3.5187787e-11,(x0 + (((x0 + 2.795172) * x4) * x1)) * ((x0 + (x5 * x2)) * 9.011293e-6),0.0174245065094861,(x0 + x1*x4*(x0 + 2.795172))*(x0 + x2*x5)*9.011293e-6,PySRFunction(X=>(x0 + x1*x4*(x0 + 2.795172))*(x0 + x2*x5)*9.011293e-6)
9,19,3.4839243e-11,((x0 + (x1 * ((x0 + 2.8002803) * x4))) * (((x5 * x2) + x0) * 9.002626e-6)) + -5.197322e-7,0.004977319161435841,(x0 + x1*x4*(x0 + 2.8002803))*(x0 + x2*x5)*9.002626e-6 - 5.197322e-7,PySRFunction(X=>(x0 + x1*x4*(x0 + 2.8002803))*(x0 + x2*x5)*9.002626e-6 - 5.197322e-7)
10,21,3.335374e-11,(x0 + ((x5 + (x1 * -0.0571754)) * x2)) * ((x0 + ((x4 * (x0 + 2.848686)) * x1)) * 8.843718e-6),0.02178725692363634,(x0 + x2*(x1*(-0.0571754) + x5))*(x0 + x1*x4*(x0 + 2.848686))*8.843718e-6,PySRFunction(X=>(x0 + x2*(x1*(-0.0571754) + x5))*(x0 + x1*x4*(x0 + 2.848686))*8.843718e-6)
11,23,3.275967e-11,(((x3 * (x6 * x0)) + ((x5 + (x1 * -0.06993092)) * x2)) * ((x1 * (x4 * 2.768299)) + x0)) * 9.098423e-6,0.00898586216397435,(x0*x3*x6 + x2*(x1*(-0.06993092) + x5))*(x0 + x1*x4*2.768299)*9.098423e-6,PySRFunction(X=>(x0*x3*x6 + x2*(x1*(-0.06993092) + x5))*(x0 + x1*x4*2.768299)*9.098423e-6)
12,25,3.2172116e-11,((((x1 * -0.04892731) + x5) + (x0 * ((x1 + x6) * x3))) * (((x0 + 2.8488626) * (x1 * x4)) + x0)) * 2.6474854e-6,0.009049035509472024,(x0*x3*(x1 + x6) + x1*(-0.04892731) + x5)*(x0 + x1*x4*(x0 + 2.8488626))*2.6474854e-6,PySRFunction(X=>(x0*x3*(x1 + x6) + x1*(-0.04892731) + x5)*(x0 + x1*x4*(x0 + 2.8488626))*2.6474854e-6)
13,27,3.188036e-11,(((x0 + 2.8488626) * (x1 * x4)) + x0) * ((x5 + ((x1 * -0.04892731) + ((x0 * ((x1 + x6) + x1)) * x3))) * 2.6474854e-6),0.004554984225280514,(x0 + x1*x4*(x0 + 2.8488626))*(x0*x3*(x1 + x1 + x6) + x1*(-0.04892731) + x5)*2.6474854e-6,PySRFunction(X=>(x0 + x1*x4*(x0 + 2.8488626))*(x0*x3*(x1 + x1 + x6) + x1*(-0.04892731) + x5)*2.6474854e-6)
14,29,3.1730885e-11,((((x0 * 0.9476158) + 2.8488626) * (x1 * x4)) + x0) * (((x5 + (x1 * -0.04892731)) + (x0 * (((x6 + x1) + x1) * x3))) * 2.6474854e-6),0.002349824706581561,(x0 + x1*x4*(x0*0.9476158 + 2.8488626))*(x0*x3*(x1 + x1 + x6) + x1*(-0.04892731) + x5)*2.6474854e-6,PySRFunction(X=>(x0 + x1*x4*(x0*0.9476158 + 2.8488626))*(x0*x3*(x1 + x1 + x6) + x1*(-0.04892731) + x5)*2.6474854e-6)
15,31,3.1605298e-11,(x0 + ((x4 * x1) * (x0 + 2.848686))) * (((x5 + ((x0 * x3) * ((((x1 * x0) * x5) * x0) + x6))) + (x1 * -0.0571754)) * 2.643248e-6),0.0019828660118735393,(x0 + x1*x4*(x0 + 2.848686))*(x0*x3*(x0*x0*x1*x5 + x6) + x1*(-0.0571754) + x5)*2.643248e-6,PySRFunction(X=>(x0 + x1*x4*(x0 + 2.848686))*(x0*x3*(x0*x0*x1*x5 + x6) + x1*(-0.0571754) + x5)*2.643248e-6)
16,33,3.1383545e-11,(((x0 + (x4 * (x1 * (x0 + 2.848686)))) * ((x5 + (x0 * (x3 * ((((x1 * x0) * x5) * x0) + x6)))) + (x1 * -0.0571754))) + 0.13658935) * 2.6446749e-6,0.003520526899389344,((x0 + x1*x4*(x0 + 2.848686))*(x0*x3*(x0*x0*x1*x5 + x6) + x1*(-0.0571754) + x5) + 0.13658935)*2.6446749e-6,PySRFunction(X=>((x0 + x1*x4*(x0 + 2.848686))*(x0*x3*(x0*x0*x1*x5 + x6) + x1*(-0.0571754) + x5) + 0.13658935)*2.6446749e-6)
