,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8317075e-09,2.5563372e-7,0.0,2.55633720000000e-7,PySRFunction(X=>2.55633720000000E-7)
1,3,1.1246304e-10,x1 * 1.0361198e-5,1.3951896182912573,x1*1.0361198e-5,PySRFunction(X=>x1*1.0361198e-5)
2,5,7.19126e-11,(x1 + x0) * 1.0464944e-5,0.22358657078248478,(x0 + x1)*1.0464944e-5,PySRFunction(X=>(x0 + x1)*1.0464944e-5)
3,7,9.894053e-12,(x0 * 4.6715017e-5) + (x1 * 1.0359089e-5),0.991758811597108,x0*4.6715017e-5 + x1*1.0359089e-5,PySRFunction(X=>x0*4.6715017e-5 + x1*1.0359089e-5)
4,9,4.0329853e-12,((x0 * 4.9372848e-5) + (x1 * 1.0372948e-5)) + 2.4887972e-6,0.448713499308901,x0*4.9372848e-5 + x1*1.0372948e-5 + 2.4887972e-6,PySRFunction(X=>x0*4.9372848e-5 + x1*1.0372948e-5 + 2.4887972e-6)
5,11,3.953759e-12,(x0 * 4.909097e-5) + (x1 + ((x1 * -0.9999896) + 2.6052257e-6)),0.009920049500087529,x0*4.909097e-5 + x1*(-0.9999896) + x1 + 2.6052257e-6,PySRFunction(X=>x0*4.909097e-5 + x1*(-0.9999896) + x1 + 2.6052257e-6)
6,13,3.9293603e-12,(x0 * 4.9776154e-5) + (x1 + (-2.15596e-6 + ((x1 * -0.9999896) + 4.993122e-6))),0.0030950664299278893,x0*4.9776154e-5 + x1*(-0.9999896) + x1 - 2.15596e-6 + 4.993122e-6,PySRFunction(X=>x0*4.9776154e-5 + x1*(-0.9999896) + x1 - 2.15596e-6 + 4.993122e-6)
7,15,3.8063706e-12,(((x0 * 7.7108484e-7) + 1.0361934e-5) * (x1 + ((x0 + x0) * 2.4186475))) + 2.4573615e-6,0.015900251196020402,(x1 + (x0 + x0)*2.4186475)*(x0*7.7108484e-7 + 1.0361934e-5) + 2.4573615e-6,PySRFunction(X=>(x1 + (x0 + x0)*2.4186475)*(x0*7.7108484e-7 + 1.0361934e-5) + 2.4573615e-6)
8,17,2.8829313e-12,((x1 + ((x0 + x0) * 2.1597054)) * ((x0 * (x1 * 5.836251e-7)) + 1.0297226e-5)) + 2.7330452e-6,0.13893427383763737,(x1 + (x0 + x0)*2.1597054)*(x0*x1*5.836251e-7 + 1.0297226e-5) + 2.7330452e-6,PySRFunction(X=>(x1 + (x0 + x0)*2.1597054)*(x0*x1*5.836251e-7 + 1.0297226e-5) + 2.7330452e-6)
9,19,2.5504557e-12,(((x0 * ((x1 + 1.4995502) * 6.193277e-7)) + 1.0326255e-5) * (((x0 + x0) * 2.1597054) + x1)) + 2.5643196e-6,0.061267769970607636,(x1 + (x0 + x0)*2.1597054)*(x0*(x1 + 1.4995502)*6.193277e-7 + 1.0326255e-5) + 2.5643196e-6,PySRFunction(X=>(x1 + (x0 + x0)*2.1597054)*(x0*(x1 + 1.4995502)*6.193277e-7 + 1.0326255e-5) + 2.5643196e-6)
