ID,loss,complexity,MSE,expanded_form,substituted_form
0,1.28346e-12,27,2.558577134768496e-07,-1.08916975452316e-6*x0**2*x1**3 + 1.24768305500047e-5*x0**2*x1 + 4.4135753e-8*x0*x1**4 - 5.05590895350327e-7*x0*x1**2 + 4.7513902e-5*x0 + 1.0492908e-5*x1 + 2.8706982e-6,4.4135753e-8*dx**4*x - 1.08916975452316e-6*dx**3*x**2 - 5.05590895350327e-7*dx**2*x + 1.24768305500047e-5*dx*x**2 + 1.0492908e-5*dx + 4.7513902e-5*x + 2.8706982e-6
1,1.4038086e-12,31,2.7984929036998666e-07,-4.72581634497104e-8*x0**2*x1**5 + 1.0500088e-5*x0**2*x1 + 2.94346425882704e-8*x0*x1**4 + 4.530658e-5*x0 + 1.0500088e-5*x1 + 2.77507959761504e-6,-4.72581634497104e-8*dx**5*x**2 + 2.94346425882704e-8*dx**4*x + 1.0500088e-5*dx*x**2 + 1.0500088e-5*dx + 4.530658e-5*x + 2.77507959761504e-6
2,3.1329845e-12,21,6.245604969467615e-07,7.6903219447176e-7*x0*x1**2 + 4.1509184e-5*x0 + 1.0377296e-5*x1 + 2.63714362893888e-6,7.6903219447176e-7*dx**2*x + 1.0377296e-5*dx + 4.1509184e-5*x + 2.63714362893888e-6
3,1.1839567e-12,31,2.3602182652194654e-07,-7.26473936729072e-8*x0**2*x1**5 + 8.99077315240895e-7*x0**2*x1**3 + 1.71062757378408e-9*x0*x1**6 - 2.11705660541598e-8*x0*x1**4 + 4.7871385e-5*x0 + 1.0629878e-5*x1 + 2.7554934e-6,1.71062757378408e-9*dx**6*x - 7.26473936729072e-8*dx**5*x**2 - 2.11705660541598e-8*dx**4*x + 8.99077315240895e-7*dx**3*x**2 + 1.0629878e-5*dx + 4.7871385e-5*x + 2.7554934e-6
4,1.4128902e-12,31,2.816595579403102e-07,-4.34902618338701e-8*x0**2*x1**5 + 3.84163647820226e-6*x0**2*x1 + 2.65066649531218e-8*x0*x1**4 + 4.48586627049776e-5*x0 + 1.0645639e-5*x1 + 2.7559038e-6,-4.34902618338701e-8*dx**5*x**2 + 2.65066649531218e-8*dx**4*x + 3.84163647820226e-6*dx*x**2 + 1.0645639e-5*dx + 4.48586627049776e-5*x + 2.7559038e-6
5,1.6488209e-12,29,3.2869246645844325e-07,-4.37043633551399e-6*x0**3*x1**2 + 3.02459228e-5*x0**3 - 1.0926090838785e-6*x0**2*x1**3 - 3.07107250691044e-7*x0**2*x1**2 + 1.08884449787586e-5*x0**2*x1 + 2.12535808386948e-6*x0**2 + 8.31741069689661e-7*x0*x1**2 + 2.33783259692929e-7*x0*x1 + 4.217612e-5*x0 + 1.054403e-5*x1 + 2.9636840039891e-6,-1.0926090838785e-6*dx**3*x**2 - 4.37043633551399e-6*dx**2*x**3 - 3.07107250691044e-7*dx**2*x**2 + 8.31741069689661e-7*dx**2*x + 1.08884449787586e-5*dx*x**2 + 2.33783259692929e-7*dx*x + 1.054403e-5*dx + 3.02459228e-5*x**3 + 2.12535808386948e-6*x**2 + 4.217612e-5*x + 2.9636840039891e-6
6,1.3951761e-12,27,2.7812830366188256e-07,-8.6715465e-7*x0**2*x1**3 - 8.6715465e-7*x0**2*x1**2 + 1.31822664663282e-5*x0**2*x1 + 4.5063135e-8*x0*x1**4 + 4.5063135e-8*x0*x1**3 - 6.8503842235998e-7*x0*x1**2 + 4.785206e-5*x0 + 1.0442722e-5*x1 + 2.9231212e-6,4.5063135e-8*dx**4*x - 8.6715465e-7*dx**3*x**2 + 4.5063135e-8*dx**3*x - 8.6715465e-7*dx**2*x**2 - 6.8503842235998e-7*dx**2*x + 1.31822664663282e-5*dx*x**2 + 1.0442722e-5*dx + 4.785206e-5*x + 2.9231212e-6
7,2.1346414e-12,29,4.2554078409683934e-07,2.90754532404524e-8*x0*x1**4 + 6.53365267683905e-8*x0*x1**3 + 4.55286581845226e-5*x0 + 1.0423918e-5*x1 + 2.79336151779488e-6,2.90754532404524e-8*dx**4*x + 6.53365267683905e-8*dx**3*x + 1.0423918e-5*dx + 4.55286581845226e-5*x + 2.79336151779488e-6
8,1.2778647e-12,31,2.527042266723509e-07,-6.6888906535836e-8*x0**2*x1**5 + 7.37542969470957e-7*x0**2*x1**3 + 4.5930467e-8*x0*x1**4 - 5.06447104232729e-7*x0*x1**2 + 4.702771e-5*x0 + 1.05999999999717e-5*x1 + 2.8158452e-6,-6.6888906535836e-8*dx**5*x**2 + 4.5930467e-8*dx**4*x + 7.37542969470957e-7*dx**3*x**2 - 5.06447104232729e-7*dx**2*x + 1.05999999999717e-5*dx + 4.702771e-5*x + 2.8158452e-6
9,1.4329625e-12,25,2.856610984042108e-07,-4.10082693193069e-5*x0**4*x1 - 1.42383180179261e-5*x0**3*x1**2 - 2.29589169056505e-6*x0**3*x1 + 3.81552256029164e-5*x0**3 - 1.07965133930806e-6*x0**2*x1**3 - 2.5685272443594e-7*x0**2*x1**2 + 1.32477240614557e-5*x0**2*x1 + 2.13616099551238e-6*x0**2 + 1.00453740446918e-6*x0*x1**2 + 2.38982863950393e-7*x0*x1 + 4.4708442e-5*x0 + 1.05212863880618e-5*x1 + 2.50304980409362e-6,-1.07965133930806e-6*dx**3*x**2 - 1.42383180179261e-5*dx**2*x**3 - 2.5685272443594e-7*dx**2*x**2 + 1.00453740446918e-6*dx**2*x - 4.10082693193069e-5*dx*x**4 - 2.29589169056505e-6*dx*x**3 + 1.32477240614557e-5*dx*x**2 + 2.38982863950393e-7*dx*x + 1.05212863880618e-5*dx + 3.81552256029164e-5*x**3 + 2.13616099551238e-6*x**2 + 4.4708442e-5*x + 2.50304980409362e-6
