,complexity,loss,equation,score,sympy_format,lambda_format
0,1,2.8796532e-09,1.9317444e-7,0.0,1.93174440000000e-7,PySRFunction(X=>1.93174440000000E-7)
1,3,1.295629e-10,1.3105196e-5 * x1,1.5506293358541752,1.3105196e-5*x1,PySRFunction(X=>1.3105196e-5*x1)
2,5,8.1990324e-11,(x1 + x0) * 1.3196165e-5,0.2287826186013001,(x0 + x1)*1.3196165e-5,PySRFunction(X=>(x0 + x1)*1.3196165e-5)
3,7,3.382292e-11,(x0 * 4.545994e-5) + (x1 * 1.3091054e-5),0.44273128055709526,x0*4.545994e-5 + x1*1.3091054e-5,PySRFunction(X=>x0*4.545994e-5 + x1*1.3091054e-5)
4,9,1.990983e-11,(((x1 + 3.2437682) * x0) + x1) * 1.35983855e-5,0.2649625497853827,(x0*(x1 + 3.2437682) + x1)*1.35983855e-5,PySRFunction(X=>(x0*(x1 + 3.2437682) + x1)*1.35983855e-5)
5,11,2.9850085e-12,((x0 * 3.728321) + x1) * ((x0 * 8.710577e-6) + 1.3489377e-5),0.9488054926025246,(x0*8.710577e-6 + 1.3489377e-5)*(x0*3.728321 + x1),PySRFunction(X=>(x0*8.710577e-6 + 1.3489377e-5)*(x0*3.728321 + x1))
6,13,2.0158473e-12,((x0 * 8.433492e-6) + 1.34862985e-5) * (x1 + ((x0 + 3.7782617) * x0)),0.19628149555946114,(x0*8.433492e-6 + 1.34862985e-5)*(x0*(x0 + 3.7782617) + x1),PySRFunction(X=>(x0*8.433492e-6 + 1.34862985e-5)*(x0*(x0 + 3.7782617) + x1))
7,15,1.831768e-12,(((x0 * 8.211738e-6) + 1.3469132e-5) * ((x0 * (x0 + 3.7782617)) + x1)) + 4.810603e-7,0.04787899130731835,(x0*8.211738e-6 + 1.3469132e-5)*(x0*(x0 + 3.7782617) + x1) + 4.810603e-7,PySRFunction(X=>(x0*8.211738e-6 + 1.3469132e-5)*(x0*(x0 + 3.7782617) + x1) + 4.810603e-7)
8,17,1.7835825e-12,((x1 + (x0 * 3.760377)) * (((x1 * -5.042899e-8) + (x0 * 8.469009e-6)) + 1.347906e-5)) + 1.8530139e-6,0.0133288192860227,(x0*3.760377 + x1)*(x0*8.469009e-6 + x1*(-5.042899e-8) + 1.347906e-5) + 1.8530139e-6,PySRFunction(X=>(x0*3.760377 + x1)*(x0*8.469009e-6 + x1*(-5.042899e-8) + 1.347906e-5) + 1.8530139e-6)
9,19,1.7824879e-12,1.8530139e-6 + ((x1 + (x0 * 3.760377)) * ((((x0 + x1) * -5.042899e-8) + (x0 * 8.469009e-6)) + 1.347906e-5)),0.00030694852080785564,(x0*3.760377 + x1)*(x0*8.469009e-6 + (x0 + x1)*(-5.042899e-8) + 1.347906e-5) + 1.8530139e-6,PySRFunction(X=>(x0*3.760377 + x1)*(x0*8.469009e-6 + (x0 + x1)*(-5.042899e-8) + 1.347906e-5) + 1.8530139e-6)
10,21,1.5370846e-12,((9.3701365e-6 * x0) + 1.3455928e-5) * (x1 + ((4.3821898 + (x0 * ((x0 * (x1 + 5.001031)) * -1.9004167))) * x0)),0.07406128986630842,(9.3701365e-6*x0 + 1.3455928e-5)*(x0*(x0*x0*(x1 + 5.001031)*(-1.9004167) + 4.3821898) + x1),PySRFunction(X=>(9.3701365e-6*x0 + 1.3455928e-5)*(x0*(x0*x0*(x1 + 5.001031)*(-1.9004167) + 4.3821898) + x1))
11,23,1.3184588e-12,((x0 * 9.3701365e-6) + 1.3455928e-5) * (x1 + (((x0 * (x0 * ((x1 + 5.001031) * -1.9004167))) + 4.3821898) * (x0 + 0.010399328))),0.07671201331937938,(x1 + (x0 + 0.010399328)*(x0*x0*(x1 + 5.001031)*(-1.9004167) + 4.3821898))*(x0*9.3701365e-6 + 1.3455928e-5),PySRFunction(X=>(x1 + (x0 + 0.010399328)*(x0*x0*(x1 + 5.001031)*(-1.9004167) + 4.3821898))*(x0*9.3701365e-6 + 1.3455928e-5))
12,25,1.3105771e-12,((x0 * 9.3701365e-6) + 1.3455928e-5) * (x1 + ((((x0 * x0) * ((x1 + (x0 + 5.072951)) * -1.9004167)) + 4.3821898) * (x0 + 0.010399328))),0.00299795206783385,(x1 + (x0 + 0.010399328)*(x0*x0*(x0 + x1 + 5.072951)*(-1.9004167) + 4.3821898))*(x0*9.3701365e-6 + 1.3455928e-5),PySRFunction(X=>(x1 + (x0 + 0.010399328)*(x0*x0*(x0 + x1 + 5.072951)*(-1.9004167) + 4.3821898))*(x0*9.3701365e-6 + 1.3455928e-5))
