,complexity,loss,equation,score,sympy_format,lambda_format
0,1,6.008585e-08,0.0007711337,0.0,0.000771133700000000,PySRFunction(X=>0.000771133700000000)
1,3,1.3740935e-08,x0 * 1.1950585e-5,0.737697519459667,x0*1.1950585e-5,PySRFunction(X=>x0*1.1950585e-5)
2,5,4.7515964e-09,(x0 * 8.659138e-6) + 0.00024345463,0.5309493440880259,x0*8.659138e-6 + 0.00024345463,PySRFunction(X=>x0*8.659138e-6 + 0.00024345463)
3,7,1.5574303e-10,((x0 * -9.427303e-8) + 1.9439878e-5) * x0,1.7090142596566102,x0*(1.9439878e-5 + x0*(-9.427303e-8)),PySRFunction(X=>x0*(1.9439878e-5 + x0*(-9.427303e-8)))
4,9,9.424125e-11,(x0 * ((x0 * -8.606714e-8) + 1.8397917e-5)) + 2.9075221e-5,0.2511747108201218,x0*(1.8397917e-5 + x0*(-8.606714e-8)) + 2.9075221e-5,PySRFunction(X=>x0*(1.8397917e-5 + x0*(-8.606714e-8)) + 2.9075221e-5)
5,11,6.237465e-11,x0 + ((((x0 * -8.6591065e-8) + -0.99998164) * x0) + 3.382278e-5),0.2063495204943034,x0*(x0*(-8.6591065e-8) - 0.99998164) + x0 + 3.382278e-5,PySRFunction(X=>x0*(x0*(-8.6591065e-8) - 0.99998164) + x0 + 3.382278e-5)
6,13,1.2843934e-12,(((x0 * 2.2416498e-5) * (x0 * (x0 + -337.99228))) + x0) * 2.1837528e-5,1.9414361990997928,(x0*2.2416498e-5*x0*(x0 - 337.99228) + x0)*2.1837528e-5,PySRFunction(X=>(x0*2.2416498e-5*x0*(x0 - 337.99228) + x0)*2.1837528e-5)
7,15,4.3377078e-13,((x0 + -0.15146051) + ((x0 + -332.41663) * ((x0 * x0) * 2.3077237e-5))) * 2.204825e-5,0.5427627928607692,((x0 - 332.41663)*x0*x0*2.3077237e-5 + x0 - 0.15146051)*2.204825e-5,PySRFunction(X=>((x0 - 332.41663)*x0*x0*2.3077237e-5 + x0 - 0.15146051)*2.204825e-5)
8,17,2.349082e-13,((((x0 * ((x0 + -118.47608) * 5.7126577e-5)) * (x0 + -209.12328)) + x0) + -0.53698385) * 9.182912e-6,0.3066607191836186,(x0*(x0 - 118.47608)*5.7126577e-5*(x0 - 209.12328) + x0 - 0.53698385)*9.182912e-6,PySRFunction(X=>(x0*(x0 - 118.47608)*5.7126577e-5*(x0 - 209.12328) + x0 - 0.53698385)*9.182912e-6)
9,19,2.0996148e-13,((((((x0 + -56.766308) * (x0 + -0.16624556)) * 3.7608148e-5) * (x0 + -268.8975)) + x0) + -0.28180262) * 1.409849e-5,0.0561353571031542,(x0 + (x0 - 56.766308)*(x0 - 0.16624556)*3.7608148e-5*(x0 - 268.8975) - 0.28180262)*1.409849e-5,PySRFunction(X=>(x0 + (x0 - 56.766308)*(x0 - 0.16624556)*3.7608148e-5*(x0 - 268.8975) - 0.28180262)*1.409849e-5)
