,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.042401478,-0.6630083,0.0,-0.663008300000000,PySRFunction(X=>-0.663008300000000)
1,3,0.00904253,x0 * -0.010259645,0.772622108807874,x0*(-0.010259645),PySRFunction(X=>x0*(-0.010259645))
2,5,0.0021480657,(x0 * -0.0074571883) + -0.20548226,0.7186856198670751,x0*(-0.0074571883) - 0.20548226,PySRFunction(X=>x0*(-0.0074571883) - 0.20548226)
3,7,0.00032037759,((x0 * 7.497192e-5) + -0.016215814) * x0,0.9514113864126886,x0*(x0*7.497192e-5 - 0.016215814),PySRFunction(X=>x0*(x0*7.497192e-5 - 0.016215814))
4,9,1.9150133e-05,(((x0 * 5.8288922e-5) + -0.013959353) * x0) + -0.06845884,1.4085953040777732,x0*(x0*5.8288922e-5 - 0.013959353) - 0.06845884,PySRFunction(X=>x0*(x0*5.8288922e-5 - 0.013959353) - 0.06845884)
5,11,1.9119105e-05,(x0 * (((x0 + -0.1746926) * 5.834526e-5) + -0.013956502)) + -0.06816697,0.0008107819340152104,x0*((x0 - 0.1746926)*5.834526e-5 - 0.013956502) - 0.06816697,PySRFunction(X=>x0*((x0 - 0.1746926)*5.834526e-5 - 0.013956502) - 0.06816697)
6,13,2.9403967e-07,(((x0 * ((x0 * -2.2872128e-7) + 9.556733e-5)) + -0.015618755) * x0) + -0.052294444,2.087364342838693,x0*(x0*(9.556733e-5 + x0*(-2.2872128e-7)) - 0.015618755) - 0.052294444,PySRFunction(X=>x0*(x0*(9.556733e-5 + x0*(-2.2872128e-7)) - 0.015618755) - 0.052294444)
7,15,2.1524923e-07,(((((x0 * (x0 * -0.0024679347)) + x0) * 9.782416e-5) + -0.015729064) * x0) + -0.051137194,0.15595906207165072,x0*((x0*x0*(-0.0024679347) + x0)*9.782416e-5 - 0.015729064) - 0.051137194,PySRFunction(X=>x0*((x0*x0*(-0.0024679347) + x0)*9.782416e-5 - 0.015729064) - 0.051137194)
8,17,2.1449023e-07,(((((((x0 * x0) + 1.6195819) * -0.0024679347) + x0) * 9.782416e-5) + -0.015729064) * x0) + -0.051137194,0.0017661882602388072,x0*((x0 + (x0*x0 + 1.6195819)*(-0.0024679347))*9.782416e-5 - 0.015729064) - 0.051137194,PySRFunction(X=>x0*((x0 + (x0*x0 + 1.6195819)*(-0.0024679347))*9.782416e-5 - 0.015729064) - 0.051137194)
9,21,2.1448434e-07,(((((((-1.60609 + (x0 * (x0 + -0.014683503))) * -0.0024679347) + -0.010980163) + x0) * 9.782416e-5) + -0.015729064) * x0) + -0.051137194,6.865208816903396e-06,x0*((x0 + (x0*(x0 - 0.014683503) - 1.60609)*(-0.0024679347) - 0.010980163)*9.782416e-5 - 0.015729064) - 0.051137194,PySRFunction(X=>x0*((x0 + (x0*(x0 - 0.014683503) - 1.60609)*(-0.0024679347) - 0.010980163)*9.782416e-5 - 0.015729064) - 0.051137194)
10,25,2.1446378e-07,((((((-0.0024679347 * ((((x0 + 0.44075426) * -0.014683503) + (x0 * x0)) + -1.60609)) + -0.010980163) + x0) * 9.782416e-5) + -0.015729064) * x0) + -0.051137194,2.396560219886378e-05,x0*((x0 - 0.0024679347*(x0*x0 + (x0 + 0.44075426)*(-0.014683503) - 1.60609) - 0.010980163)*9.782416e-5 - 0.015729064) - 0.051137194,PySRFunction(X=>x0*((x0 - 0.0024679347*(x0*x0 + (x0 + 0.44075426)*(-0.014683503) - 1.60609) - 0.010980163)*9.782416e-5 - 0.015729064) - 0.051137194)
11,27,2.1351563e-07,(((((x0 * ((x0 + (((x0 * ((x0 + x0) * -0.0024766612)) + x0) * -0.015630076)) * -0.0024693678)) + x0) * 9.7475575e-5) + -0.015719803) * x0) + -0.051217288,0.0022154139405713698,x0*((x0*(x0 + (x0*(x0 + x0)*(-0.0024766612) + x0)*(-0.015630076))*(-0.0024693678) + x0)*9.7475575e-5 - 0.015719803) - 0.051217288,PySRFunction(X=>x0*((x0*(x0 + (x0*(x0 + x0)*(-0.0024766612) + x0)*(-0.015630076))*(-0.0024693678) + x0)*9.7475575e-5 - 0.015719803) - 0.051217288)
12,29,2.1348976e-07,((((((x0 * (x0 + ((((x0 + (x0 + -0.015630076)) * (x0 * -0.0024766612)) + x0) * -0.015630076))) * -0.0024693678) + x0) * 9.7475575e-5) + -0.015719803) * x0) + -0.051217288,6.058471540996204e-05,x0*((x0*(x0 + ((x0 + x0 - 0.015630076)*x0*(-0.0024766612) + x0)*(-0.015630076))*(-0.0024693678) + x0)*9.7475575e-5 - 0.015719803) - 0.051217288,PySRFunction(X=>x0*((x0*(x0 + ((x0 + x0 - 0.015630076)*x0*(-0.0024766612) + x0)*(-0.015630076))*(-0.0024693678) + x0)*9.7475575e-5 - 0.015719803) - 0.051217288)
