,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893826e-07,2.6680622e-9,0.0,2.66806220000000e-9,PySRFunction(X=>2.66806220000000E-9)
1,3,9.1726555e-08,x1 * 5.0246445e-6,0.36130418603998116,x1*5.0246445e-6,PySRFunction(X=>x1*5.0246445e-6)
2,5,9.126104e-08,(x0 + x1) * 5.035346e-6,0.002543975750058443,(x0 + x1)*5.035346e-6,PySRFunction(X=>(x0 + x1)*5.035346e-6)
3,7,1.5393248e-08,(x1 + (x3 * x0)) * 4.6909086e-6,0.88989749986409,(x0*x3 + x1)*4.6909086e-6,PySRFunction(X=>(x0*x3 + x1)*4.6909086e-6)
4,9,1.0610564e-08,(x1 + (x3 * (x0 + 0.04977384))) * 4.8025895e-6,0.18603943155288538,(x1 + x3*(x0 + 0.04977384))*4.8025895e-6,PySRFunction(X=>(x1 + x3*(x0 + 0.04977384))*4.8025895e-6)
5,11,1.0264658e-08,(x1 + ((x3 * (x0 + 0.04970398)) * 0.90928626)) * 5.0311032e-6,0.016571687896414493,(x1 + x3*(x0 + 0.04970398)*0.90928626)*5.0311032e-6,PySRFunction(X=>(x1 + x3*(x0 + 0.04970398)*0.90928626)*5.0311032e-6)
6,13,5.0290003e-09,(((x7 * 1.0927065e-5) + 1.2949722e-5) * x1) + ((x0 * x3) * 4.3701466e-6),0.356742757987553,x0*x3*4.3701466e-6 + x1*(x7*1.0927065e-5 + 1.2949722e-5),PySRFunction(X=>x0*x3*4.3701466e-6 + x1*(x7*1.0927065e-5 + 1.2949722e-5))
7,15,7.619741e-10,(((x7 * 1.11961e-5) + 1.3161648e-5) * x1) + ((x3 * (x0 + 0.04846427)) * 4.5908923e-6),0.9435319651091459,x1*(x7*1.11961e-5 + 1.3161648e-5) + x3*(x0 + 0.04846427)*4.5908923e-6,PySRFunction(X=>x1*(x7*1.11961e-5 + 1.3161648e-5) + x3*(x0 + 0.04846427)*4.5908923e-6)
8,17,4.2398682e-10,(x1 * ((x7 * 1.1217507e-5) + 1.3165549e-5)) + ((x0 + 0.05032377) * ((x3 + -27.360779) * 4.9764726e-6)),0.29310509788226297,x1*(x7*1.1217507e-5 + 1.3165549e-5) + (x0 + 0.05032377)*(x3 - 27.360779)*4.9764726e-6,PySRFunction(X=>x1*(x7*1.1217507e-5 + 1.3165549e-5) + (x0 + 0.05032377)*(x3 - 27.360779)*4.9764726e-6)
9,19,4.2349038e-10,(x1 * (((x6 + x7) * 1.1217507e-5) + 1.3165549e-5)) + ((x0 + 0.05032377) * ((x3 + -27.360779) * 4.9764726e-6)),0.0005857857376972903,x1*((x6 + x7)*1.1217507e-5 + 1.3165549e-5) + (x0 + 0.05032377)*(x3 - 27.360779)*4.9764726e-6,PySRFunction(X=>x1*((x6 + x7)*1.1217507e-5 + 1.3165549e-5) + (x0 + 0.05032377)*(x3 - 27.360779)*4.9764726e-6)
10,21,3.816053e-10,(x1 * ((x7 * 1.1270425e-5) + 1.3228303e-5)) + (((x0 + 0.050323784) * (x3 + ((x1 * -0.13439515) + -27.200096))) * 4.950796e-6),0.052071985000593256,x1*(x7*1.1270425e-5 + 1.3228303e-5) + (x0 + 0.050323784)*(x1*(-0.13439515) + x3 - 27.200096)*4.950796e-6,PySRFunction(X=>x1*(x7*1.1270425e-5 + 1.3228303e-5) + (x0 + 0.050323784)*(x1*(-0.13439515) + x3 - 27.200096)*4.950796e-6)
11,23,3.78754e-10,(x1 * ((x7 * 1.1270425e-5) + 1.3228303e-5)) + (((x0 + 0.050323784) * (((x1 * -0.13439515) + -27.200096) + (x0 + x3))) * 4.950796e-6),0.0037499552713268613,x1*(x7*1.1270425e-5 + 1.3228303e-5) + (x0 + 0.050323784)*(x0 + x1*(-0.13439515) + x3 - 27.200096)*4.950796e-6,PySRFunction(X=>x1*(x7*1.1270425e-5 + 1.3228303e-5) + (x0 + 0.050323784)*(x0 + x1*(-0.13439515) + x3 - 27.200096)*4.950796e-6)
12,25,3.7029405e-10,(x1 * ((1.1270425e-5 * x7) + 1.3228303e-5)) + (((((x1 * -0.13439515) + (x4 * -1.0408221)) + (x3 + -26.577587)) * 4.950796e-6) * (x0 + 0.050323784)),0.01129474904318623,x1*(1.1270425e-5*x7 + 1.3228303e-5) + (x1*(-0.13439515) + x3 + x4*(-1.0408221) - 26.577587)*4.950796e-6*(x0 + 0.050323784),PySRFunction(X=>x1*(1.1270425e-5*x7 + 1.3228303e-5) + (x1*(-0.13439515) + x3 + x4*(-1.0408221) - 26.577587)*4.950796e-6*(x0 + 0.050323784))
13,27,3.6022255e-10,(((1.112794e-5 * x7) + 1.3108811e-5) * x1) + (((((x6 ^ x4) ^ ((x2 * x7) + x2)) * -1.1657702) + x3) * ((x0 + 0.04846427) * 4.686284e-6)),0.013787692423207858,x1*(1.112794e-5*x7 + 1.3108811e-5) + (x3 + (x6**x4)**(x2*x7 + x2)*(-1.1657702))*(x0 + 0.04846427)*4.686284e-6,PySRFunction(X=>x1*(1.112794e-5*x7 + 1.3108811e-5) + (x3 + (x6**x4)**(x2*x7 + x2)*(-1.1657702))*(x0 + 0.04846427)*4.686284e-6)
