,complexity,loss,equation,score,sympy_format,lambda_format
0,1,4.52567e-08,9.088361e-8,0.0,9.08836100000000e-8,PySRFunction(X=>9.08836100000000E-8)
1,3,2.6657064e-08,4.0082537e-6 * x1,0.26464827216467374,4.0082537e-6*x1,PySRFunction(X=>4.0082537e-6*x1)
2,5,2.6562011e-08,(x1 + x0) * 4.0193277e-6,0.0017860720253910598,(x0 + x1)*4.0193277e-6,PySRFunction(X=>(x0 + x1)*4.0193277e-6)
3,7,8.037597e-09,(x1 + (x3 * x0)) * 3.964147e-6,0.5976759395916313,(x0*x3 + x1)*3.964147e-6,PySRFunction(X=>(x0*x3 + x1)*3.964147e-6)
4,9,7.0025985e-09,(x1 + ((x0 + 0.05096389) * x3)) * 4.0541827e-6,0.06892443173105085,(x1 + x3*(x0 + 0.05096389))*4.0541827e-6,PySRFunction(X=>(x1 + x3*(x0 + 0.05096389))*4.0541827e-6)
5,11,6.9406796e-09,(x1 + ((x3 + -1.7998593) * (x0 + 0.05096389))) * 4.0541827e-6,0.004440799830819304,(x1 + (x0 + 0.05096389)*(x3 - 1.7998593))*4.0541827e-6,PySRFunction(X=>(x1 + (x0 + 0.05096389)*(x3 - 1.7998593))*4.0541827e-6)
6,13,1.8821713e-09,((x1 * (x2 + -0.59869033)) * -1.100646e-5) + ((x0 * x3) * 3.9412066e-6),0.6524868187920125,x0*x3*3.9412066e-6 + x1*(x2 - 0.59869033)*(-1.100646e-5),PySRFunction(X=>x0*x3*3.9412066e-6 + x1*(x2 - 0.59869033)*(-1.100646e-5))
7,15,1.1774147e-09,(x6 * ((x7 * -2.8875728) * x0)) + (x1 * ((x2 * -1.2318718e-5) + 6.79597e-6)),0.23455247727078005,x6*x7*(-2.8875728)*x0 + x1*(6.79597e-6 + x2*(-1.2318718e-5)),PySRFunction(X=>x6*x7*(-2.8875728)*x0 + x1*(6.79597e-6 + x2*(-1.2318718e-5)))
8,17,1.0237132e-10,(((x2 + -0.5644612) * x1) * -1.19393e-5) + ((x0 + 0.049892504) * ((x7 * x6) * -3.0558727)),1.22123489320088,(x2 - 0.5644612)*x1*(-1.19393e-5) + (x0 + 0.049892504)*x7*x6*(-3.0558727),PySRFunction(X=>(x2 - 0.5644612)*x1*(-1.19393e-5) + (x0 + 0.049892504)*x7*x6*(-3.0558727))
9,19,9.85272e-11,(((x2 + -0.5644612) * (x1 + x0)) * -1.19393e-5) + ((x0 + 0.049892504) * ((x7 * x6) * -3.0558727)),0.01913697153070128,(x0 + 0.049892504)*x7*x6*(-3.0558727) + (x2 - 0.5644612)*(x0 + x1)*(-1.19393e-5),PySRFunction(X=>(x0 + 0.049892504)*x7*x6*(-3.0558727) + (x2 - 0.5644612)*(x0 + x1)*(-1.19393e-5))
