,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8014487e-07,-4.7172304e-7,0.0,-4.71723040000000e-7,PySRFunction(X=>-4.71723040000000E-7)
1,3,4.540626e-08,x1 * 7.575875e-6,0.6890556897571699,x1*7.575875e-6,PySRFunction(X=>x1*7.575875e-6)
2,5,4.4726608e-08,(x1 + x0) * 7.596022e-6,0.007540699604824229,(x0 + x1)*7.596022e-6,PySRFunction(X=>(x0 + x1)*7.596022e-6)
3,7,2.73243e-09,(x0 * 0.0009472291) + (x1 * 7.5752455e-6),1.3976886293103963,x0*0.0009472291 + x1*7.5752455e-6,PySRFunction(X=>x0*0.0009472291 + x1*7.5752455e-6)
4,9,3.8648576e-10,(x0 * 0.0009988928) + ((x1 * 7.587544e-6) + 4.9854236e-5),0.9779257891372496,x0*0.0009988928 + x1*7.587544e-6 + 4.9854236e-5,PySRFunction(X=>x0*0.0009988928 + x1*7.587544e-6 + 4.9854236e-5)
5,11,2.285421e-10,(x0 * ((x0 * 0.0009581422) + 0.0010868303)) + (x1 * 7.5721186e-6),0.26268729272096086,x0*(x0*0.0009581422 + 0.0010868303) + x1*7.5721186e-6,PySRFunction(X=>x0*(x0*0.0009581422 + 0.0010868303) + x1*7.5721186e-6)
6,13,2.1668122e-11,((((x0 * x6) + 0.001059434) * x0) + (x1 * 7.5752455e-6)) + 2.4229712e-5,1.1779391451186307,x0*(x0*x6 + 0.001059434) + x1*7.5752455e-6 + 2.4229712e-5,PySRFunction(X=>x0*(x0*x6 + 0.001059434) + x1*7.5752455e-6 + 2.4229712e-5)
7,15,2.162879e-11,(((x3 * 4.641019e-6) + (x0 * x6)) * x0) + ((x1 * 7.575875e-6) + 2.4279334e-5),0.0009084253126273623,x0*(x0*x6 + x3*4.641019e-6) + x1*7.575875e-6 + 2.4279334e-5,PySRFunction(X=>x0*(x0*x6 + x3*4.641019e-6) + x1*7.575875e-6 + 2.4279334e-5)
8,17,2.0935089e-11,((x1 + ((x1 + x0) * (x1 * -0.0015100322))) * 7.579752e-6) + ((0.0010009384 * x0) + 7.6656914e-5),0.016299323430669494,0.0010009384*x0 + ((x0 + x1)*x1*(-0.0015100322) + x1)*7.579752e-6 + 7.6656914e-5,PySRFunction(X=>0.0010009384*x0 + ((x0 + x1)*x1*(-0.0015100322) + x1)*7.579752e-6 + 7.6656914e-5)
9,19,1.3933608e-12,((x1 * 7.55172e-6) + ((x0 * ((x1 * -0.14652547) + x3)) * ((x0 * 2.6399755e-6) + 4.6451005e-6))) + 2.391673e-5,1.3548539900615162,x0*(x1*(-0.14652547) + x3)*(x0*2.6399755e-6 + 4.6451005e-6) + x1*7.55172e-6 + 2.391673e-5,PySRFunction(X=>x0*(x1*(-0.14652547) + x3)*(x0*2.6399755e-6 + 4.6451005e-6) + x1*7.55172e-6 + 2.391673e-5)
