,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.40954605,x0,0.0,x0,PySRFunction(X=>x0)
1,3,0.2873588,x1 / x3,0.17715887101225483,x1/x3,PySRFunction(X=>x1/x3)
2,5,0.13626164,x1 / (x3 / 2.833003),0.3730773740357951,x1/((x3/2.833003)),PySRFunction(X=>x1/((x3/2.833003)))
3,7,0.048634537,(x1 / (x3 / 2.833003)) + x0,0.5151214723519847,x0 + x1/((x3/2.833003)),PySRFunction(X=>x0 + x1/((x3/2.833003)))
4,9,0.04012564,(x0 + ((x1 * 2.0289516) / x3)) * 1.3975046,0.09615919245213367,(x0 + x1*2.0289516/x3)*1.3975046,PySRFunction(X=>(x0 + x1*2.0289516/x3)*1.3975046)
5,11,0.015399819,(x1 * (2.8400936 / x3)) + ((x0 * x7) / -0.32846183),0.47882988768749024,x0*x7/(-0.32846183) + x1*2.8400936/x3,PySRFunction(X=>x0*x7/(-0.32846183) + x1*2.8400936/x3)
6,13,0.00833678,((x7 / -0.33243477) * x0) + (x1 * ((3.3694942 / x3) + -0.0022991407)),0.30683935270628615,x0*x7/(-0.33243477) + x1*(-0.0022991407 + 3.3694942/x3),PySRFunction(X=>x0*x7/(-0.33243477) + x1*(-0.0022991407 + 3.3694942/x3))
7,15,0.0016568261,(((x0 + 0.049364135) * x7) / -0.31263044) + (x1 * ((3.3694942 / x3) + -0.0022684394)),0.8078866332283684,x1*(-0.0022684394 + 3.3694942/x3) + x7*(x0 + 0.049364135)/(-0.31263044),PySRFunction(X=>x1*(-0.0022684394 + 3.3694942/x3) + x7*(x0 + 0.049364135)/(-0.31263044))
8,17,0.0016485794,((x1 + x0) * ((3.3727741 / x3) + -0.0022587844)) + (x7 * ((x0 / -0.31581467) + -0.16003858)),0.0024949184331076266,x7*(x0/(-0.31581467) - 0.16003858) + (-0.0022587844 + 3.3727741/x3)*(x0 + x1),PySRFunction(X=>x7*(x0/(-0.31581467) - 0.16003858) + (-0.0022587844 + 3.3727741/x3)*(x0 + x1))
9,19,0.0010332773,(x1 * ((3.41502 / (x3 + (x0 / x5))) + -0.0023690043)) + ((x7 / -0.31230167) * (x0 + 0.050246887)),0.23358917591098438,x1*(-0.0023690043 + 3.41502/(x0/x5 + x3)) + x7*(x0 + 0.050246887)/(-0.31230167),PySRFunction(X=>x1*(-0.0023690043 + 3.41502/(x0/x5 + x3)) + x7*(x0 + 0.050246887)/(-0.31230167))
10,21,0.00085557124,((x0 + 0.049364135) * (x7 / -0.31263044)) + (x1 * ((3.4205427 / ((x0 / (x2 * 0.14452063)) + x3)) + -0.0024117972)),0.0943607558616768,x1*(-0.0024117972 + 3.4205427/(x0/((x2*0.14452063)) + x3)) + x7*(x0 + 0.049364135)/(-0.31263044),PySRFunction(X=>x1*(-0.0024117972 + 3.4205427/(x0/((x2*0.14452063)) + x3)) + x7*(x0 + 0.049364135)/(-0.31263044))
11,23,0.0008293168,(((3.4156265 / ((x0 / (x2 * 0.12886322)) + x3)) + -0.002401857) * (x1 + x0)) + (x7 * ((x0 / -0.31547138) + -0.15872219)),0.01558356675206356,x7*(x0/(-0.31547138) - 0.15872219) + (-0.002401857 + 3.4156265/(x0/((x2*0.12886322)) + x3))*(x0 + x1),PySRFunction(X=>x7*(x0/(-0.31547138) - 0.15872219) + (-0.002401857 + 3.4156265/(x0/((x2*0.12886322)) + x3))*(x0 + x1))
12,25,0.00072627433,(x1 * ((3.419649 / ((x0 / -0.05919184) + x3)) + -0.0024116747)) + ((x7 / (((x0 / 0.066885404) / x3) + -0.309531)) * (x0 + 0.042427376)),0.06633721041767932,x1*(-0.0024116747 + 3.419649/(x0/(-0.05919184) + x3)) + x7*(x0 + 0.042427376)/(x0/(0.066885404*x3) - 0.309531),PySRFunction(X=>x1*(-0.0024116747 + 3.419649/(x0/(-0.05919184) + x3)) + x7*(x0 + 0.042427376)/(x0/(0.066885404*x3) - 0.309531))
13,27,0.0004034395,((((3.4186947 / ((x0 / -0.05009675) + x3)) + -0.0023845127) * x1) + ((x7 / (((x0 / 0.040363975) / x3) + -0.31207103)) * (x0 + 0.05876531))) + -0.04117028,0.2939506350197624,x1*(-0.0023845127 + 3.4186947/(x0/(-0.05009675) + x3)) + x7*(x0 + 0.05876531)/(x0/(0.040363975*x3) - 0.31207103) - 0.04117028,PySRFunction(X=>x1*(-0.0023845127 + 3.4186947/(x0/(-0.05009675) + x3)) + x7*(x0 + 0.05876531)/(x0/(0.040363975*x3) - 0.31207103) - 0.04117028)
14,29,0.00022331685,((x1 * ((3.4234161 / ((x0 / (x2 * 0.14017983)) + x3)) + -0.0024284376)) + (((x0 + 0.05978578) * x7) / (((x0 / 0.038535185) / x3) + -0.31263044))) + -0.0442541,0.29571746170154106,x1*(-0.0024284376 + 3.4234161/(x0/((x2*0.14017983)) + x3)) + x7*(x0 + 0.05978578)/(x0/(0.038535185*x3) - 0.31263044) - 0.0442541,PySRFunction(X=>x1*(-0.0024284376 + 3.4234161/(x0/((x2*0.14017983)) + x3)) + x7*(x0 + 0.05978578)/(x0/(0.038535185*x3) - 0.31263044) - 0.0442541)
15,31,0.00022062364,((x1 * ((3.4234161 / ((x0 / (x2 * 0.13806272)) + x3)) + -0.0024284376)) + -0.0442541) + (((x0 + 0.05978578) * x7) / (((x0 * 26.912655) / (x3 + x4)) + -0.31316206)),0.006066675830172701,x1*(-0.0024284376 + 3.4234161/(x0/((x2*0.13806272)) + x3)) + x7*(x0 + 0.05978578)/(x0*26.912655/(x3 + x4) - 0.31316206) - 0.0442541,PySRFunction(X=>x1*(-0.0024284376 + 3.4234161/(x0/((x2*0.13806272)) + x3)) + x7*(x0 + 0.05978578)/(x0*26.912655/(x3 + x4) - 0.31316206) - 0.0442541)
16,33,0.00018476532,((((x2 * 0.11444277) + (x7 / (((x0 / 0.0353382) / x3) + -0.31388482))) * (x0 + 0.063196324)) + -0.051677734) + (x1 * ((3.4205427 / ((x0 / (x2 * 0.14452063)) + x3)) + -0.0024117972)),0.08868589205173552,x1*(-0.0024117972 + 3.4205427/(x0/((x2*0.14452063)) + x3)) + (x0 + 0.063196324)*(x2*0.11444277 + x7/(x0/(0.0353382*x3) - 0.31388482)) - 0.051677734,PySRFunction(X=>x1*(-0.0024117972 + 3.4205427/(x0/((x2*0.14452063)) + x3)) + (x0 + 0.063196324)*(x2*0.11444277 + x7/(x0/(0.0353382*x3) - 0.31388482)) - 0.051677734)
