,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893826e-07,4.5483016e-8,0.0,4.54830160000000e-8,PySRFunction(X=>4.54830160000000E-8)
1,3,1.0167316e-07,x1 * 0.0013922385,0.30982847013678255,x1*0.0013922385,PySRFunction(X=>x1*0.0013922385)
2,5,6.019792e-08,(x0 + x1) * 0.0011799197,0.26206277726469535,(x0 + x1)*0.0011799197,PySRFunction(X=>(x0 + x1)*0.0011799197)
3,7,1.1477838e-08,x6 * ((x0 + x1) * 2.2598372),0.8286098772967047,x6*(x0 + x1)*2.2598372,PySRFunction(X=>x6*(x0 + x1)*2.2598372)
4,9,6.5855343e-09,(x6 * ((x0 + x1) + 0.04941185)) * 2.3231766,0.2777712873868055,x6*(x0 + x1 + 0.04941185)*2.3231766,PySRFunction(X=>x6*(x0 + x1 + 0.04941185)*2.3231766)
5,11,5.6700804e-09,(x6 * (((x1 * 1.1275254) + x0) + 0.04738358)) * 2.1884189,0.07483608666125739,x6*(x0 + x1*1.1275254 + 0.04738358)*2.1884189,PySRFunction(X=>x6*(x0 + x1*1.1275254 + 0.04738358)*2.1884189)
6,13,2.186198e-09,((x1 + ((x7 * (x0 + 0.049628932)) / -0.7779343)) * x6) * 2.4747257,0.4765196677427557,(x1 + x7*(x0 + 0.049628932)/(-0.7779343))*x6*2.4747257,PySRFunction(X=>(x1 + x7*(x0 + 0.049628932)/(-0.7779343))*x6*2.4747257)
7,15,1.4260828e-09,((x6 + x6) + 0.00031991047) * (x1 + (((x0 + 0.05060015) * x7) / -0.7535034)),0.21361628861262036,(x1 + x7*(x0 + 0.05060015)/(-0.7535034))*(x6 + x6 + 0.00031991047),PySRFunction(X=>(x1 + x7*(x0 + 0.05060015)/(-0.7535034))*(x6 + x6 + 0.00031991047))
8,17,4.0338807e-10,((((x7 / -0.7290243) * (x0 + 0.049576353)) + ((x7 + 1.7786921) * x1)) * x6) * 2.2605588,0.6313938061730413,(x1*(x7 + 1.7786921) + x7*(x0 + 0.049576353)/(-0.7290243))*x6*2.2605588,PySRFunction(X=>(x1*(x7 + 1.7786921) + x7*(x0 + 0.049576353)/(-0.7290243))*x6*2.2605588)
9,19,3.3835817e-10,((((x0 + 0.0496473) * (x5 + x7)) / -0.7658246) + ((x7 + 1.7748334) * x1)) * (x6 * 2.2659137),0.08789702123906735,(x1*(x7 + 1.7748334) + (x0 + 0.0496473)*(x5 + x7)/(-0.7658246))*x6*2.2659137,PySRFunction(X=>(x1*(x7 + 1.7748334) + (x0 + 0.0496473)*(x5 + x7)/(-0.7658246))*x6*2.2659137)
10,21,2.9229577e-10,((((x0 + 0.058106463) * x7) / -0.69797605) + (x1 * (x7 + 1.7769952))) * (((x1 * -0.36236605) + 2.267306) * x6),0.07316940420072243,x6*(2.267306 + x1*(-0.36236605))*(x1*(x7 + 1.7769952) + x7*(x0 + 0.058106463)/(-0.69797605)),PySRFunction(X=>x6*(2.267306 + x1*(-0.36236605))*(x1*(x7 + 1.7769952) + x7*(x0 + 0.058106463)/(-0.69797605)))
11,23,1.9984896e-10,(((x1 * -0.37903923) + 2.2663703) * ((x1 * (x7 + 1.7751553)) + (((x7 + x5) / -0.765172) * (x0 + 0.057386763)))) * x6,0.19010215966908214,x6*(2.2663703 + x1*(-0.37903923))*(x1*(x7 + 1.7751553) + (x0 + 0.057386763)*(x5 + x7)/(-0.765172)),PySRFunction(X=>x6*(2.2663703 + x1*(-0.37903923))*(x1*(x7 + 1.7751553) + (x0 + 0.057386763)*(x5 + x7)/(-0.765172)))
12,25,1.7341155e-10,(x6 + -6.2597765e-6) * (((x1 * (x7 + 1.7771155)) + (((x7 + x5) / -0.76320916) * (x0 + 0.057805795))) * ((x1 * -0.4085015) + 2.2673256)),0.07094710505808224,(2.2673256 + x1*(-0.4085015))*(x6 - 6.2597765e-6)*(x1*(x7 + 1.7771155) + (x0 + 0.057805795)*(x5 + x7)/(-0.76320916)),PySRFunction(X=>(2.2673256 + x1*(-0.4085015))*(x6 - 6.2597765e-6)*(x1*(x7 + 1.7771155) + (x0 + 0.057805795)*(x5 + x7)/(-0.76320916)))
13,27,1.5744889e-10,(((((x1 * -0.40853053) + 2.2672207) * x6) + -1.8312892e-5) * ((x1 * (x7 + 1.7769414)) + (((x7 + x5) / -0.7632782) * (x0 + 0.05493954)))) + 6.4279384e-6,0.048283386729807365,(x1*(x7 + 1.7769414) + (x0 + 0.05493954)*(x5 + x7)/(-0.7632782))*(x6*(2.2672207 + x1*(-0.40853053)) - 1.8312892e-5) + 6.4279384e-6,PySRFunction(X=>(x1*(x7 + 1.7769414) + (x0 + 0.05493954)*(x5 + x7)/(-0.7632782))*(x6*(2.2672207 + x1*(-0.40853053)) - 1.8312892e-5) + 6.4279384e-6)
14,29,1.2775699e-10,(((x1 + (x1 / (x3 * x7))) * (x7 + 1.7770382)) + (((x0 + 0.057319514) * (x5 + x7)) / -0.7634738)) * (x6 * ((x1 * -0.36238295) + 2.267236)),0.10448547691774485,x6*(2.267236 + x1*(-0.36238295))*((x0 + 0.057319514)*(x5 + x7)/(-0.7634738) + (x1 + x1/((x3*x7)))*(x7 + 1.7770382)),PySRFunction(X=>x6*(2.267236 + x1*(-0.36238295))*((x0 + 0.057319514)*(x5 + x7)/(-0.7634738) + (x1 + x1/((x3*x7)))*(x7 + 1.7770382)))
15,31,1.1762318e-10,((((x1 * -0.36243525) + 2.2672207) * (((x1 + (x1 / (x3 * x7))) * (x7 + 1.7769414)) + (((x0 + 0.05493952) * (x7 + x5)) / -0.7632782))) * x6) + 4.7982e-6,0.04132190947246401,x6*(2.2672207 + x1*(-0.36243525))*((x0 + 0.05493952)*(x5 + x7)/(-0.7632782) + (x1 + x1/((x3*x7)))*(x7 + 1.7769414)) + 4.7982e-6,PySRFunction(X=>x6*(2.2672207 + x1*(-0.36243525))*((x0 + 0.05493952)*(x5 + x7)/(-0.7632782) + (x1 + x1/((x3*x7)))*(x7 + 1.7769414)) + 4.7982e-6)
16,33,1.0826021e-10,(x6 * (((x7 + 1.7748334) * ((x1 / ((x2 + (x0 / -1.531787)) * x3)) + x1)) + (((x0 + 0.05739817) * (x7 + x5)) / -0.76312757))) * ((x1 * -0.36896372) + 2.2671313),0.041474221871550504,x6*(2.2671313 + x1*(-0.36896372))*((x0 + 0.05739817)*(x5 + x7)/(-0.76312757) + (x1 + x1/((x3*(x0/(-1.531787) + x2))))*(x7 + 1.7748334)),PySRFunction(X=>x6*(2.2671313 + x1*(-0.36896372))*((x0 + 0.05739817)*(x5 + x7)/(-0.76312757) + (x1 + x1/((x3*(x0/(-1.531787) + x2))))*(x7 + 1.7748334)))
17,35,9.2672356e-11,((x1 * -0.487261) + 2.2672207) * ((x6 * ((((x1 / ((x2 + (x0 / -1.5317901)) * x3)) + x1) * (x7 + 1.7751553)) + (((x0 + 0.05493952) * (x5 + x7)) / -0.7632782))) + 3.5934936e-6),0.07773373116011217,(2.2672207 + x1*(-0.487261))*(x6*((x0 + 0.05493952)*(x5 + x7)/(-0.7632782) + (x1 + x1/((x3*(x0/(-1.5317901) + x2))))*(x7 + 1.7751553)) + 3.5934936e-6),PySRFunction(X=>(2.2672207 + x1*(-0.487261))*(x6*((x0 + 0.05493952)*(x5 + x7)/(-0.7632782) + (x1 + x1/((x3*(x0/(-1.5317901) + x2))))*(x7 + 1.7751553)) + 3.5934936e-6))
18,37,9.046537e-11,((x1 * -0.487261) + 2.2672207) * ((((((x1 / ((x3 * ((x0 / -1.5317901) + x2)) + 1.6047096)) + x1) * (x7 + 1.7751553)) + (((x0 + 0.05493952) * (x7 + x5)) / -0.7632782)) * x6) + 3.478119e-6),0.012051546639548431,(2.2672207 + x1*(-0.487261))*(x6*((x0 + 0.05493952)*(x5 + x7)/(-0.7632782) + (x1 + x1/(x3*(x0/(-1.5317901) + x2) + 1.6047096))*(x7 + 1.7751553)) + 3.478119e-6),PySRFunction(X=>(2.2672207 + x1*(-0.487261))*(x6*((x0 + 0.05493952)*(x5 + x7)/(-0.7632782) + (x1 + x1/(x3*(x0/(-1.5317901) + x2) + 1.6047096))*(x7 + 1.7751553)) + 3.478119e-6))
