,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.49725935,-3.9783783e-5,0.0,-3.97837830000000e-5,PySRFunction(X=>-0.0000397837830000000)
1,3,0.17310847,x1 * 0.0091760205,0.5275966643687118,x1*0.0091760205,PySRFunction(X=>x1*0.0091760205)
2,5,0.0019170054,x1 * (3.3182187 / x3),2.2515770556388657,x1*3.3182187/x3,PySRFunction(X=>x1*3.3182187/x3)
3,7,0.0010641371,(x1 * (x0 + 3.368017)) / x3,0.2943000224794607,x1*(x0 + 3.368017)/x3,PySRFunction(X=>x1*(x0 + 3.368017)/x3)
4,9,0.0006838843,(x1 * 3.3532858) / ((x0 * -29.842405) + x3),0.22106538185810912,x1*3.3532858/(x0*(-29.842405) + x3),PySRFunction(X=>x1*3.3532858/(x0*(-29.842405) + x3))
5,11,0.00065328635,((x1 + x0) * 3.3529475) / ((x0 * -29.842424) + x3),0.02288660178134084,(x0 + x1)*3.3529475/(x0*(-29.842424) + x3),PySRFunction(X=>(x0 + x1)*3.3529475/(x0*(-29.842424) + x3))
6,13,0.00047349982,(x1 / ((((x1 * x7) + -29.811277) * x0) + x3)) * 3.3526258,0.16093200761351945,x1*3.3526258/(x0*(x1*x7 - 29.811277) + x3),PySRFunction(X=>x1*3.3526258/(x0*(x1*x7 - 29.811277) + x3))
7,15,0.00046304546,((x1 / ((((x1 * x7) + -29.53632) * x0) + x3)) + x6) * 3.3507378,0.011163148733377867,(x1/(x0*(x1*x7 - 29.53632) + x3) + x6)*3.3507378,PySRFunction(X=>(x1/(x0*(x1*x7 - 29.53632) + x3) + x6)*3.3507378)
8,17,0.00045575,((x1 / (((((x1 * 1.2279191) * x7) + -29.53632) * x0) + x3)) + x6) * 3.3507378,0.007940410726348606,(x1/(x0*(x1*1.2279191*x7 - 29.53632) + x3) + x6)*3.3507378,PySRFunction(X=>(x1/(x0*(x1*1.2279191*x7 - 29.53632) + x3) + x6)*3.3507378)
9,19,0.0003569475,(((x3 * 0.00029932146) + ((-0.30096734 / x7) * (x1 / x3))) * x0) + ((x1 / x3) * 3.36462),0.12217785070843593,x0*(-0.30096734*x1/(x3*x7) + x3*0.00029932146) + x1*3.36462/x3,PySRFunction(X=>x0*(-0.30096734*x1/(x3*x7) + x3*0.00029932146) + x1*3.36462/x3)
10,21,0.00032305758,((x1 * 3.3617165) / x3) + (x0 * (((((-0.30517843 / x7) * x1) / x3) + (x0 * 0.23648643)) + 0.09592364)),0.04987906927645737,x0*(x0*0.23648643 - 0.30517843*x1/(x3*x7) + 0.09592364) + x1*3.3617165/x3,PySRFunction(X=>x0*(x0*0.23648643 - 0.30517843*x1/(x3*x7) + 0.09592364) + x1*3.3617165/x3)
11,23,0.0002025566,((x0 * ((x0 * 0.53280723) + ((((-0.29705223 / x7) / x3) * x1) + 0.12305777))) + -0.018456604) + ((x1 / x3) * 3.3633184),0.23340560996206292,x0*(x0*0.53280723 - 0.29705223*x1/(x3*x7) + 0.12305777) + x1*3.3633184/x3 - 0.018456604,PySRFunction(X=>x0*(x0*0.53280723 - 0.29705223*x1/(x3*x7) + 0.12305777) + x1*3.3633184/x3 - 0.018456604)
12,25,0.00010946922,(((x3 * 0.00041812184) + ((x0 * 0.4554448) + (((x1 / x7) * -0.30233383) / x3))) * x0) + (((3.3634596 / x3) * x1) + -0.016906722),0.3076879699067853,x0*(x0*0.4554448 + x1*(-0.30233383)/(x7*x3) + x3*0.00041812184) + 3.3634596*x1/x3 - 0.016906722,PySRFunction(X=>x0*(x0*0.4554448 + x1*(-0.30233383)/(x7*x3) + x3*0.00041812184) + 3.3634596*x1/x3 - 0.016906722)
13,27,7.505008e-05,(((x1 / x3) * 3.3659422) + -0.016984629) + (((x0 * 0.50960845) + ((x3 * 0.00029932146) + ((x1 * ((-0.30096734 / x7) / x3)) + 0.049070332))) * x0),0.18874389490817872,x0*(x0*0.50960845 + x1*(-0.30096734)/(x7*x3) + x3*0.00029932146 + 0.049070332) + x1*3.3659422/x3 - 0.016984629,PySRFunction(X=>x0*(x0*0.50960845 + x1*(-0.30096734)/(x7*x3) + x3*0.00029932146 + 0.049070332) + x1*3.3659422/x3 - 0.016984629)
14,29,6.992864e-05,((((x5 + x1) / x3) * 3.3659422) + -0.016984629) + (((x0 * 0.50960845) + (((((x1 * -0.30096734) / x7) / x3) + 0.049070332) + (x3 * 0.00029932146))) * x0),0.03534016526385993,x0*(x0*0.50960845 + x1*(-0.30096734)/(x7*x3) + x3*0.00029932146 + 0.049070332) - 0.016984629 + (x1 + x5)*3.3659422/x3,PySRFunction(X=>x0*(x0*0.50960845 + x1*(-0.30096734)/(x7*x3) + x3*0.00029932146 + 0.049070332) - 0.016984629 + (x1 + x5)*3.3659422/x3)
15,31,5.8690268e-05,(((((x0 * 0.53639925) + (x3 * 0.00041675547)) + (((x1 / ((x0 / -0.023506815) + x3)) / x7) * -0.3170051)) * x0) + (((x1 + x0) * 3.3504772) / x3)) + -0.019142404,0.08760068629087245,x0*(x0*0.53639925 + x1*(-0.3170051)/((x0/(-0.023506815) + x3)*x7) + x3*0.00041675547) - 0.019142404 + (x0 + x1)*3.3504772/x3,PySRFunction(X=>x0*(x0*0.53639925 + x1*(-0.3170051)/((x0/(-0.023506815) + x3)*x7) + x3*0.00041675547) - 0.019142404 + (x0 + x1)*3.3504772/x3)
16,33,5.427827e-05,(((((x0 * 0.53639925) + ((((x1 + -0.5076813) / ((x0 / -0.023506815) + x3)) / x7) * -0.3170051)) + (x3 * 0.00041675547)) * x0) + (((x1 + x0) * 3.3504772) / x3)) + -0.019142404,0.039074979121345575,x0*(x0*0.53639925 + x3*0.00041675547 + (x1 - 0.5076813)*(-0.3170051)/((x0/(-0.023506815) + x3)*x7)) - 0.019142404 + (x0 + x1)*3.3504772/x3,PySRFunction(X=>x0*(x0*0.53639925 + x3*0.00041675547 + (x1 - 0.5076813)*(-0.3170051)/((x0/(-0.023506815) + x3)*x7)) - 0.019142404 + (x0 + x1)*3.3504772/x3)
17,35,4.915165e-05,((x0 * 0.05317934) + ((x1 * (3.3646138 / (x3 + 0.4426222))) + -0.01795839)) + (x0 * ((((x1 / x7) * -0.3151472) / (x3 + (x0 / -0.018073775))) + ((x3 * 0.00029155967) + (x0 * 0.5080188)))),0.04960677297557558,x0*(x0*0.5080188 + x1*(-0.3151472)/(x7*(x0/(-0.018073775) + x3)) + x3*0.00029155967) + x0*0.05317934 + x1*3.3646138/(x3 + 0.4426222) - 0.01795839,PySRFunction(X=>x0*(x0*0.5080188 + x1*(-0.3151472)/(x7*(x0/(-0.018073775) + x3)) + x3*0.00029155967) + x0*0.05317934 + x1*3.3646138/(x3 + 0.4426222) - 0.01795839)
18,37,4.540261e-05,(((x1 / (x3 + 0.5152715)) + ((x0 * 0.013826155) + x6)) * 3.3698726) + ((x0 * ((((x1 / x7) * -0.31579503) / ((x0 / -0.01955953) + x3)) + ((x0 * 0.5091475) + (x3 * 0.00031355524)))) + -0.01955953),0.03967041217498355,x0*(x0*0.5091475 + x1*(-0.31579503)/(x7*(x0/(-0.01955953) + x3)) + x3*0.00031355524) + (x0*0.013826155 + x1/(x3 + 0.5152715) + x6)*3.3698726 - 0.01955953,PySRFunction(X=>x0*(x0*0.5091475 + x1*(-0.31579503)/(x7*(x0/(-0.01955953) + x3)) + x3*0.00031355524) + (x0*0.013826155 + x1/(x3 + 0.5152715) + x6)*3.3698726 - 0.01955953)
19,39,4.3393255e-05,((x0 * ((x0 * 0.51095897) + ((((x1 / x7) * -0.31254008) / (x3 + (x0 / -0.019509945))) + (x3 * 0.0003094011)))) + (((x6 + x6) + ((x1 / (x3 + 0.44276643)) + (x0 * 0.01323297))) * 3.362431)) + -0.021472726,0.02263278904998283,x0*(x0*0.51095897 + x1*(-0.31254008)/(x7*(x0/(-0.019509945) + x3)) + x3*0.0003094011) + (x0*0.01323297 + x1/(x3 + 0.44276643) + x6 + x6)*3.362431 - 0.021472726,PySRFunction(X=>x0*(x0*0.51095897 + x1*(-0.31254008)/(x7*(x0/(-0.019509945) + x3)) + x3*0.0003094011) + (x0*0.01323297 + x1/(x3 + 0.44276643) + x6 + x6)*3.362431 - 0.021472726)
