,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893829e-07,1.827967e-7,0.0,1.82796700000000e-7,PySRFunction(X=>1.82796700000000E-7)
1,3,4.725319e-08,x1 * 0.0017743111,0.6929501444597314,x1*0.0017743111,PySRFunction(X=>x1*0.0017743111)
2,5,4.923782e-10,(x1 * x6) * 3.336463,2.2820141617445433,x1*x6*3.336463,PySRFunction(X=>x1*x6*3.336463)
3,7,4.9092697e-10,((x6 + -3.0307956e-6) * x1) * 3.3504279,0.001475870460120152,(x6 - 3.0307956e-6)*x1*3.3504279,PySRFunction(X=>(x6 - 3.0307956e-6)*x1*3.3504279)
4,9,2.7281669e-10,(x6 * (x1 + (x0 * 0.03371429))) * 3.336207,0.2937476375056941,x6*(x0*0.03371429 + x1)*3.336207,PySRFunction(X=>x6*(x0*0.03371429 + x1)*3.336207)
5,11,2.4456617e-10,x6 * ((((x0 * x7) * x5) + x1) * 3.3362093),0.05465709910138766,x6*(x0*x5*x7 + x1)*3.3362093,PySRFunction(X=>x6*(x0*x5*x7 + x1)*3.3362093)
6,13,2.3729801e-10,(x6 * ((x1 + (x0 * (x7 * x5))) * 3.335548)) + 2.701641e-6,0.015084564424856105,x6*(x0*x5*x7 + x1)*3.335548 + 2.701641e-6,PySRFunction(X=>x6*(x0*x5*x7 + x1)*3.335548 + 2.701641e-6)
7,15,1.7783726e-10,(x6 * (x1 * 3.350383)) + ((x0 * 0.12388984) * (x6 + (x1 * 0.0025351672))),0.14422395748377312,x0*0.12388984*(x1*0.0025351672 + x6) + x6*x1*3.350383,PySRFunction(X=>x0*0.12388984*(x1*0.0025351672 + x6) + x6*x1*3.350383)
8,17,1.233433e-10,(x6 * (x1 * 3.3503962)) + ((((x1 + x0) * 0.0013535314) + x6) * (x0 * 0.13811272)),0.18294866895689227,(x6 + (x0 + x1)*0.0013535314)*x0*0.13811272 + x6*x1*3.3503962,PySRFunction(X=>(x6 + (x0 + x1)*0.0013535314)*x0*0.13811272 + x6*x1*3.3503962)
9,19,6.990095e-11,((x6 * x1) * 3.3634856) + ((((x6 + ((x0 + x1) * 0.0018970314)) * x0) * 0.163131) + -1.000392e-5),0.2839461422622404,(x6 + (x0 + x1)*0.0018970314)*x0*0.163131 + x6*x1*3.3634856 - 1.000392e-5,PySRFunction(X=>(x6 + (x0 + x1)*0.0018970314)*x0*0.163131 + x6*x1*3.3634856 - 1.000392e-5)
10,21,6.858077e-11,(((x1 * x6) * 3.3503745) + (((x0 + 0.03635997) * (((x0 + x1) * 0.0022101658) + x6)) * 0.13812155)) + -1.2810899e-5,0.009533532628266577,x1*x6*3.3503745 + (x0 + 0.03635997)*(x6 + (x0 + x1)*0.0022101658)*0.13812155 - 1.2810899e-5,PySRFunction(X=>x1*x6*3.3503745 + (x0 + 0.03635997)*(x6 + (x0 + x1)*0.0022101658)*0.13812155 - 1.2810899e-5)
11,23,4.3321836e-11,(((x0 * ((x7 + -0.33522204) * (x6 + ((x1 + x0) * 0.0022031614)))) * -0.16867232) + -9.955634e-6) + (x1 * (x6 * 3.36677)),0.2296776856143924,x0*(x7 - 0.33522204)*(x6 + (x0 + x1)*0.0022031614)*(-0.16867232) + x1*x6*3.36677 - 9.955634e-6,PySRFunction(X=>x0*(x7 - 0.33522204)*(x6 + (x0 + x1)*0.0022031614)*(-0.16867232) + x1*x6*3.36677 - 9.955634e-6)
12,25,4.2761433e-11,(x1 * (x6 * 3.36677)) + (((x0 * (((x7 * 0.9307403) + -0.36016712) * (x6 + ((x1 + x0) * 0.0022031614)))) * -0.16867232) + -9.955634e-6),0.006510102641110516,x0*(x7*0.9307403 - 0.36016712)*(x6 + (x0 + x1)*0.0022031614)*(-0.16867232) + x1*x6*3.36677 - 9.955634e-6,PySRFunction(X=>x0*(x7*0.9307403 - 0.36016712)*(x6 + (x0 + x1)*0.0022031614)*(-0.16867232) + x1*x6*3.36677 - 9.955634e-6)
13,27,4.2695996e-11,((x1 * x6) * 3.36677) + (-9.955634e-6 + (((x6 + ((x1 + x0) * 0.0022031614)) * -0.16867232) * (x0 * ((x7 * 0.9307403) + (0.97014076 + -1.3358892))))),0.0007657264389428054,(x6 + (x0 + x1)*0.0022031614)*(-0.16867232)*x0*(x7*0.9307403 - 1.3358892 + 0.97014076) + x1*x6*3.36677 - 9.955634e-6,PySRFunction(X=>(x6 + (x0 + x1)*0.0022031614)*(-0.16867232)*x0*(x7*0.9307403 - 1.3358892 + 0.97014076) + x1*x6*3.36677 - 9.955634e-6)
14,29,3.909973e-11,((x0 * ((x7 + -0.36016712) * ((x6 + ((x0 + x1) * 0.0022031604)) * ((x1 * 0.07616663) + (x5 * 3.3503885))))) + (x6 * (x1 * 3.36677))) + -1.038479e-5,0.04399479187470713,x0*(x6 + (x0 + x1)*0.0022031604)*(x7 - 0.36016712)*(x1*0.07616663 + x5*3.3503885) + x6*x1*3.36677 - 1.038479e-5,PySRFunction(X=>x0*(x6 + (x0 + x1)*0.0022031604)*(x7 - 0.36016712)*(x1*0.07616663 + x5*3.3503885) + x6*x1*3.36677 - 1.038479e-5)
15,31,3.895719e-11,(((x6 * (x1 * 3.36677)) + -1.0417317e-5) / 1.0016837) + (x0 * (((x7 + -0.36016712) * (x6 + ((x0 + x1) * 0.0022031604))) * ((x1 * 0.07616663) + (x5 * 3.3503885)))),0.00182610534006222,x0*(x6 + (x0 + x1)*0.0022031604)*(x7 - 0.36016712)*(x1*0.07616663 + x5*3.3503885) + (x6*x1*3.36677 - 1.0417317e-5)/1.0016837,PySRFunction(X=>x0*(x6 + (x0 + x1)*0.0022031604)*(x7 - 0.36016712)*(x1*0.07616663 + x5*3.3503885) + (x6*x1*3.36677 - 1.0417317e-5)/1.0016837)
16,33,3.6942716e-11,(x6 * (x1 * 3.365009)) + ((((x2 + ((x7 * (x7 / (x1 + 0.36792576))) + 3.3480988)) * ((x5 * (x6 + ((x0 + x1) * 0.0021462878))) * x0)) * -0.7281061) + -1.154288e-5),0.026547427106838235,(x2 + x7*x7/(x1 + 0.36792576) + 3.3480988)*x5*(x6 + (x0 + x1)*0.0021462878)*x0*(-0.7281061) + x6*x1*3.365009 - 1.154288e-5,PySRFunction(X=>(x2 + x7*x7/(x1 + 0.36792576) + 3.3480988)*x5*(x6 + (x0 + x1)*0.0021462878)*x0*(-0.7281061) + x6*x1*3.365009 - 1.154288e-5)
17,35,3.6842356e-11,((((x2 + ((x5 + 3.3480988) + ((x7 * x7) / (x1 + 0.36792576)))) * x0) * ((x5 * (x6 + ((x0 + x1) * 0.0021462878))) * -0.7281061)) + -1.154288e-5) + (x6 * (x1 * 3.365009)),0.0013601675673708831,(x2 + x5 + x7*x7/(x1 + 0.36792576) + 3.3480988)*x0*x5*(x6 + (x0 + x1)*0.0021462878)*(-0.7281061) + x6*x1*3.365009 - 1.154288e-5,PySRFunction(X=>(x2 + x5 + x7*x7/(x1 + 0.36792576) + 3.3480988)*x0*x5*(x6 + (x0 + x1)*0.0021462878)*(-0.7281061) + x6*x1*3.365009 - 1.154288e-5)
18,37,3.5103667e-11,(((x6 * x1) * 3.365009) + (((x2 + ((x0 * x4) + (((x7 * x7) / (x1 + 0.36792576)) + 3.3480988))) * x0) * (x5 * ((x6 + ((x0 + x1) * 0.002146293)) * -0.7281061)))) + -1.1317524e-5,0.02417128180935761,(x0*x4 + x2 + x7*x7/(x1 + 0.36792576) + 3.3480988)*x0*x5*(x6 + (x0 + x1)*0.002146293)*(-0.7281061) + x6*x1*3.365009 - 1.1317524e-5,PySRFunction(X=>(x0*x4 + x2 + x7*x7/(x1 + 0.36792576) + 3.3480988)*x0*x5*(x6 + (x0 + x1)*0.002146293)*(-0.7281061) + x6*x1*3.365009 - 1.1317524e-5)
19,39,3.449411e-11,(x6 * (x1 * 3.3650088)) + ((((x2 + (x0 * (x1 + x4))) + (((x7 * x7) / (x1 + 0.36799073)) + 3.3480942)) * ((x5 * ((x6 + ((x0 + x1) * 0.0021955112)) * -0.72807163)) * x0)) + -1.1377843e-5),0.008758506562426464,(x0*(x1 + x4) + x2 + x7*x7/(x1 + 0.36799073) + 3.3480942)*x5*(x6 + (x0 + x1)*0.0021955112)*(-0.72807163)*x0 + x6*x1*3.3650088 - 1.1377843e-5,PySRFunction(X=>(x0*(x1 + x4) + x2 + x7*x7/(x1 + 0.36799073) + 3.3480942)*x5*(x6 + (x0 + x1)*0.0021955112)*(-0.72807163)*x0 + x6*x1*3.3650088 - 1.1377843e-5)
