,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893826e-07,4.4907775e-11,0.0,4.49077750000000e-11,PySRFunction(X=>4.49077750000000E-11)
1,3,5.775833e-09,x1 * 6.8956406e-6,1.743868903297818,x1*6.8956406e-6,PySRFunction(X=>x1*6.8956406e-6)
2,5,5.731843e-09,(x0 + x1) * 6.886325e-6,0.00382268446503504,(x0 + x1)*6.886325e-6,PySRFunction(X=>(x0 + x1)*6.886325e-6)
3,7,4.9237886e-10,(x1 * (x6 / x3)) / 0.29969802,1.2272719688343507,x1*x6/(0.29969802*x3),PySRFunction(X=>x1*x6/(0.29969802*x3))
4,9,4.7033055e-10,((x1 + x0) * (x6 / x3)) / 0.30025473,0.022906357717567456,x6*(x0 + x1)/(0.30025473*x3),PySRFunction(X=>x6*(x0 + x1)/(0.30025473*x3))
5,11,4.0639211e-10,(x0 * 4.969933e-5) + ((x1 * (x6 / x3)) / 0.3037049),0.07305863183632992,x0*4.969933e-5 + x1*x6/(0.3037049*x3),PySRFunction(X=>x0*4.969933e-5 + x1*x6/(0.3037049*x3))
6,13,3.0258365e-10,(x6 * ((x1 / x3) / 0.30719364)) + (x0 * (x6 * 0.12864985)),0.14748035676814622,x0*x6*0.12864985 + x1*x6/(0.30719364*x3),PySRFunction(X=>x0*x6*0.12864985 + x1*x6/(0.30719364*x3))
7,15,2.8322197e-10,(x3 * (x0 * 2.8740646e-7)) + (((x1 * -0.5687225) / (-0.17461403 / x6)) / x3),0.033063415837625974,x3*x0*2.8740646e-7 + x1*(-0.5687225)/(-0.17461403/x6*x3),PySRFunction(X=>x3*x0*2.8740646e-7 + x1*(-0.5687225)/(-0.17461403/x6*x3))
8,19,2.2546702e-10,((((x3 * 0.045808047) + (x0 * 16.592745)) * x0) + x1) * ((-0.5687227 / (-0.17461324 / x6)) / x3),0.05701426025476319,(x0*(x0*16.592745 + x3*0.045808047) + x1)*(-0.5687227)/(-0.17461324/x6*x3),PySRFunction(X=>(x0*(x0*16.592745 + x3*0.045808047) + x1)*(-0.5687227)/(-0.17461324/x6*x3))
9,21,1.8532081e-10,((-0.47518712 / (-0.14610785 / x6)) * ((x1 + -1.0321206) + (x0 * ((x3 * 0.05220062) + (x0 * 31.679295))))) / x3,0.09804273205909744,-0.47518712*(x0*(x0*31.679295 + x3*0.05220062) + x1 - 1.0321206)/(x3*((-0.14610785/x6))),PySRFunction(X=>-0.47518712*(x0*(x0*31.679295 + x3*0.05220062) + x1 - 1.0321206)/(x3*((-0.14610785/x6))))
10,23,1.777101e-10,(-0.47518712 / (-0.14610785 / x6)) * (((x1 + (0.28562102 / x7)) + (x0 * ((x3 * 0.05220062) + (x0 * 31.679295)))) / x3),0.020967430222584287,-0.47518712*(x0*(x0*31.679295 + x3*0.05220062) + x1 + 0.28562102/x7)/(x3*((-0.14610785/x6))),PySRFunction(X=>-0.47518712*(x0*(x0*31.679295 + x3*0.05220062) + x1 + 0.28562102/x7)/(x3*((-0.14610785/x6))))
11,25,1.6222008e-10,(-0.42882344 / (-0.13208973 / x6)) * ((((((x3 * 0.05865904) + (((x3 * 0.05546563) + 29.168882) * x0)) * x0) + x1) + -1.3496373) / x3),0.04559981955612696,-0.42882344*(x0*(x0*(x3*0.05546563 + 29.168882) + x3*0.05865904) + x1 - 1.3496373)/(x3*((-0.13208973/x6))),PySRFunction(X=>-0.42882344*(x0*(x0*(x3*0.05546563 + 29.168882) + x3*0.05865904) + x1 - 1.3496373)/(x3*((-0.13208973/x6))))
12,27,1.6063362e-10,((-0.42882344 / (-0.13208973 / x6)) * (((((x3 * 0.05865904) + ((((x1 + x3) * 0.05546563) + 30.065838) * x0)) * x0) + x1) + -1.3496373)) / x3,0.004913906110159007,-0.42882344*(x0*(x0*((x1 + x3)*0.05546563 + 30.065838) + x3*0.05865904) + x1 - 1.3496373)/(x3*((-0.13208973/x6))),PySRFunction(X=>-0.42882344*(x0*(x0*((x1 + x3)*0.05546563 + 30.065838) + x3*0.05865904) + x1 - 1.3496373)/(x3*((-0.13208973/x6))))
13,29,1.3291872e-10,((-0.39379722 / (-0.122199684 / x6)) / x3) * (x1 + ((((x0 * ((x3 * 0.11518282) + 23.062534)) + (((x1 * -1.3692442) + x3) * 0.06869122)) * x0) + -1.1192808)),0.09469415299585811,-0.39379722*(x0*(x0*(x3*0.11518282 + 23.062534) + (x1*(-1.3692442) + x3)*0.06869122) + x1 - 1.1192808)/(x3*((-0.122199684/x6))),PySRFunction(X=>-0.39379722*(x0*(x0*(x3*0.11518282 + 23.062534) + (x1*(-1.3692442) + x3)*0.06869122) + x1 - 1.1192808)/(x3*((-0.122199684/x6))))
14,31,1.2317124e-10,((-0.39379722 / (-0.122199684 / x6)) * ((x1 + (((x0 * ((x3 * 0.11722791) + 23.062534)) + (((x7 * (x1 + x1)) + x3) * 0.06869122)) * x0)) + -1.1088231)) / x3,0.03808111564911371,-0.39379722*(x0*(x0*(x3*0.11722791 + 23.062534) + (x3 + x7*(x1 + x1))*0.06869122) + x1 - 1.1088231)/(x3*((-0.122199684/x6))),PySRFunction(X=>-0.39379722*(x0*(x0*(x3*0.11722791 + 23.062534) + (x3 + x7*(x1 + x1))*0.06869122) + x1 - 1.1088231)/(x3*((-0.122199684/x6))))
15,33,1.1993484e-10,(-0.39379722 / (-0.122199684 / x6)) * (((x0 * (((((x7 * x1) * 1.8181283) + x3) * 0.06869122) + (-1.2156448 + (x0 * ((x3 * 0.11518282) + 23.062534))))) + (x1 + -1.2325191)) / x3),0.01331349349254974,-0.39379722*(x0*(x0*(x3*0.11518282 + 23.062534) + (x7*x1*1.8181283 + x3)*0.06869122 - 1.2156448) + x1 - 1.2325191)/(x3*((-0.122199684/x6))),PySRFunction(X=>-0.39379722*(x0*(x0*(x3*0.11518282 + 23.062534) + (x7*x1*1.8181283 + x3)*0.06869122 - 1.2156448) + x1 - 1.2325191)/(x3*((-0.122199684/x6))))
16,35,1.1226604e-10,(((-0.3938614 / (-0.12199046 / x6)) * ((x1 + ((((23.062534 + (x3 * 0.1779774)) * x0) + (0.06872943 * (x3 + (1.300074 * (x7 * (x1 + x1)))))) * x0)) + -1.1088262)) / x3) + -3.6098063e-6,0.033038591783708535,-3.6098063e-6 - 0.3938614*(x0*(x0*(x3*0.1779774 + 23.062534) + 0.06872943*(x3 + 1.300074*x7*(x1 + x1))) + x1 - 1.1088262)/(x3*((-0.12199046/x6))),PySRFunction(X=>-3.6098063e-6 - 0.3938614*(x0*(x0*(x3*0.1779774 + 23.062534) + 0.06872943*(x3 + 1.300074*x7*(x1 + x1))) + x1 - 1.1088262)/(x3*((-0.12199046/x6))))
17,37,1.1129525e-10,(((-0.3938614 / (-0.12199046 / x6)) * (x1 + ((((((0.1779774 * x3) + 23.062534) * x0) + ((x3 + ((x7 * (x1 + x1)) * 1.300074)) * 0.06872943)) * x0) + -1.1088262))) / (-0.51773757 + x3)) + -3.6098063e-6,0.00434241590714315,-3.6098063e-6 - 0.3938614*(x0*(x0*(0.1779774*x3 + 23.062534) + (x3 + x7*(x1 + x1)*1.300074)*0.06872943) + x1 - 1.1088262)/(((-0.12199046/x6))*(x3 - 0.51773757)),PySRFunction(X=>-3.6098063e-6 - 0.3938614*(x0*(x0*(0.1779774*x3 + 23.062534) + (x3 + x7*(x1 + x1)*1.300074)*0.06872943) + x1 - 1.1088262)/(((-0.12199046/x6))*(x3 - 0.51773757)))
18,39,1.10906506e-10,((-0.3938614 / (-0.12199046 / x6)) * (((x1 + (((((x3 * 0.1779774) + 23.062534) * x0) + ((x3 + (((x7 * (x1 + x1)) + -1.1152449) * 1.300074)) * 0.06872943)) * x0)) + -1.1088262) / (x3 + -0.51773757))) + -3.6098063e-6,0.0017495109112502685,-3.6098063e-6 - 0.3938614*(x0*(x0*(x3*0.1779774 + 23.062534) + (x3 + (x7*(x1 + x1) - 1.1152449)*1.300074)*0.06872943) + x1 - 1.1088262)/(((-0.12199046/x6))*(x3 - 0.51773757)),PySRFunction(X=>-3.6098063e-6 - 0.3938614*(x0*(x0*(x3*0.1779774 + 23.062534) + (x3 + (x7*(x1 + x1) - 1.1152449)*1.300074)*0.06872943) + x1 - 1.1088262)/(((-0.12199046/x6))*(x3 - 0.51773757)))
