,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893826e-07,1.4178586e-9,0.0,1.41785860000000e-9,PySRFunction(X=>1.41785860000000E-9)
1,3,9.172651e-08,x1 * 5.0205117e-6,0.3613044313343294,x1*5.0205117e-6,PySRFunction(X=>x1*5.0205117e-6)
2,5,8.693817e-08,(x1 * -3.294423e-6) / x7,0.026807128008668035,x1*(-3.294423e-6)/x7,PySRFunction(X=>x1*(-3.294423e-6)/x7)
3,7,6.0198026e-08,(x0 + (x1 / x3)) * 0.0011814795,0.18377880763016435,(x0 + x1/x3)*0.0011814795,PySRFunction(X=>(x0 + x1/x3)*0.0011814795)
4,9,1.147781e-08,(x6 * ((x1 / x3) + x0)) / 0.44279242,0.8286119774684146,x6*(x0 + x1/x3)/0.44279242,PySRFunction(X=>x6*(x0 + x1/x3)/0.44279242)
5,11,6.5852217e-09,(((x1 / x3) + x0) + 0.04971969) * (x6 / 0.43099573),0.2777938020440837,x6*(x0 + x1/x3 + 0.04971969)/0.43099573,PySRFunction(X=>x6*(x0 + x1/x3 + 0.04971969)/0.43099573)
6,13,5.6377485e-09,(x6 * (((x0 + 0.050985888) * 0.8714617) + (x1 / x3))) / 0.40206566,0.07767160918727556,x6*(x1/x3 + (x0 + 0.050985888)*0.8714617)/0.40206566,PySRFunction(X=>x6*(x1/x3 + (x0 + 0.050985888)*0.8714617)/0.40206566)
7,15,2.1837665e-09,(x6 / 0.40317628) * (((x7 / -0.78402895) * (x0 + 0.050694898)) + (x1 / x3)),0.4742168227161911,x6*(x1/x3 + x7*(x0 + 0.050694898)/(-0.78402895))/0.40317628,PySRFunction(X=>x6*(x1/x3 + x7*(x0 + 0.050694898)/(-0.78402895))/0.40317628)
8,17,1.1444782e-09,(x7 * ((x1 / x3) + ((x7 * (x0 + 0.0518205)) / -0.76187265))) * (x6 + -0.0036756117),0.3230511628187578,x7*(x6 - 0.0036756117)*(x1/x3 + x7*(x0 + 0.0518205)/(-0.76187265)),PySRFunction(X=>x7*(x6 - 0.0036756117)*(x1/x3 + x7*(x0 + 0.0518205)/(-0.76187265)))
9,19,1.0631369e-09,(x7 * ((x1 / (x3 + x4)) + ((x7 * (x0 + 0.0518205)) / -0.76187265))) * (x6 + -0.0036756117),0.036862467544523665,x7*(x6 - 0.0036756117)*(x1/(x3 + x4) + x7*(x0 + 0.0518205)/(-0.76187265)),PySRFunction(X=>x7*(x6 - 0.0036756117)*(x1/(x3 + x4) + x7*(x0 + 0.0518205)/(-0.76187265)))
10,21,7.727608e-10,(x6 + 0.00023010743) * ((((x0 + 0.050168663) * (x7 / -0.7332247)) + (x1 / ((-5.8730245 / x2) + x3))) / 0.5457922),0.1595047997645146,(x6 + 0.00023010743)*(x1/(x3 - 5.8730245/x2) + x7*(x0 + 0.050168663)/(-0.7332247))/0.5457922,PySRFunction(X=>(x6 + 0.00023010743)*(x1/(x3 - 5.8730245/x2) + x7*(x0 + 0.050168663)/(-0.7332247))/0.5457922)
11,23,6.429346e-10,((((x1 / ((-3.6408288 / x2) + x3)) + (((x0 + 0.049516797) * x7) / -0.74201965)) * (x6 + -0.0027108323)) * x7) * 1.4881917,0.09196327432015278,(x1/(x3 - 3.6408288/x2) + x7*(x0 + 0.049516797)/(-0.74201965))*(x6 - 0.0027108323)*x7*1.4881917,PySRFunction(X=>(x1/(x3 - 3.6408288/x2) + x7*(x0 + 0.049516797)/(-0.74201965))*(x6 - 0.0027108323)*x7*1.4881917)
12,25,6.059275e-10,(((x7 / -0.742026) * (x0 + 0.04911118)) + (x1 / (x3 + ((-4.3590827 / x2) + -5.0481396)))) * ((x7 * (x6 + -0.002693766)) * 1.4839346),0.0296413331926189,(x1/(x3 - 5.0481396 - 4.3590827/x2) + x7*(x0 + 0.04911118)/(-0.742026))*x7*(x6 - 0.002693766)*1.4839346,PySRFunction(X=>(x1/(x3 - 5.0481396 - 4.3590827/x2) + x7*(x0 + 0.04911118)/(-0.742026))*x7*(x6 - 0.002693766)*1.4839346)
13,29,6.0470123e-10,(((((x0 * (x6 * x3)) + x0) + 0.06386016) + (((((x0 * (1.7704445 / x5)) + x1) * (x7 + 1.1400245)) + x1) / x3)) * x6) / 0.5888785,0.0005064601512420035,x6*(x0*x3*x6 + x0 + 0.06386016 + (x1 + (x7 + 1.1400245)*(x0*1.7704445/x5 + x1))/x3)/0.5888785,PySRFunction(X=>x6*(x0*x3*x6 + x0 + 0.06386016 + (x1 + (x7 + 1.1400245)*(x0*1.7704445/x5 + x1))/x3)/0.5888785)
