,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.40954605,x0,0.0,x0,PySRFunction(X=>x0)
1,3,0.3089414,x1 * 0.0069753127,0.1409488681414883,x1*0.0069753127,PySRFunction(X=>x1*0.0069753127)
2,5,0.22122897,x0 - (x1 * -0.006983975),0.1669766931885688,x0 - (-0.006983975)*x1,PySRFunction(X=>x0 - (-0.006983975)*x1)
3,7,0.18438023,x1 * ((x6 * -40.160713) + 0.04153526),0.09109906786474713,x1*(0.04153526 + x6*(-40.160713)),PySRFunction(X=>x1*(0.04153526 + x6*(-40.160713)))
4,9,0.094639674,x0 - (x1 * ((x6 * 36.275322) + -0.037516184)),0.3334616588807806,x0 - x1*(x6*36.275322 - 0.037516184),PySRFunction(X=>x0 - x1*(x6*36.275322 - 0.037516184))
5,11,0.087975055,(x0 - (x1 * ((x6 * 30.820612) + -0.03155574))) * 1.3010317,0.036511733323423536,(x0 - x1*(x6*30.820612 - 0.03155574))*1.3010317,PySRFunction(X=>(x0 - x1*(x6*30.820612 - 0.03155574))*1.3010317)
6,13,0.048754495,x0 - (((((x7 + 1.6090767) * x7) * -0.12657918) + -0.08560714) * x1),0.29512795503181544,x0 - x1*((x7 + 1.6090767)*x7*(-0.12657918) - 0.08560714),PySRFunction(X=>x0 - x1*((x7 + 1.6090767)*x7*(-0.12657918) - 0.08560714))
7,15,0.040219318,(x0 * 1.4333982) - (((((x7 + 1.6090767) * x7) * -0.12657918) + -0.08560714) * x1),0.09622498542931615,x0*1.4333982 - x1*((x7 + 1.6090767)*x7*(-0.12657918) - 0.08560714),PySRFunction(X=>x0*1.4333982 - x1*((x7 + 1.6090767)*x7*(-0.12657918) - 0.08560714))
8,17,0.015612685,(x1 * 0.08527553) + ((((x1 * (x7 + 1.6249425)) * -0.04082575) + x0) * (x7 * -3.03021)),0.47313185130086116,x1*0.08527553 + (x0 + x1*(x7 + 1.6249425)*(-0.04082575))*x7*(-3.03021),PySRFunction(X=>x1*0.08527553 + (x0 + x1*(x7 + 1.6249425)*(-0.04082575))*x7*(-3.03021))
9,19,0.008922115,(x1 * 0.08692992) + (((x0 * -3.210099) + (((x1 * (1.612689 + x7)) - 1.2967458) * 0.12825096)) * x7),0.27977534937570436,x1*0.08692992 + x7*(x0*(-3.210099) + (x1*(x7 + 1.612689) - 1*1.2967458)*0.12825096),PySRFunction(X=>x1*0.08692992 + x7*(x0*(-3.210099) + (x1*(x7 + 1.612689) - 1*1.2967458)*0.12825096))
10,21,0.008715033,(x1 * 0.08692992) + (((x0 * (-3.210099 - x0)) + (0.12825096 * (((x7 + 1.612689) * x1) - 0.8967172))) * x7),0.011741780284990143,x1*0.08692992 + x7*(x0*(-x0 - 3.210099) + 0.12825096*(x1*(x7 + 1.612689) - 1*0.8967172)),PySRFunction(X=>x1*0.08692992 + x7*(x0*(-x0 - 3.210099) + 0.12825096*(x1*(x7 + 1.612689) - 1*0.8967172)))
11,23,0.008632032,((x0 + x1) * 0.08692992) + (((x0 * (-3.210099 - x0)) + (0.12825096 * (((x7 + 1.612689) * x1) - 0.8967172))) * x7),0.004784765227243404,x7*(x0*(-x0 - 3.210099) + 0.12825096*(x1*(x7 + 1.612689) - 1*0.8967172)) + (x0 + x1)*0.08692992,PySRFunction(X=>x7*(x0*(-x0 - 3.210099) + 0.12825096*(x1*(x7 + 1.612689) - 1*0.8967172)) + (x0 + x1)*0.08692992)
12,25,0.004908754,((x7 * ((x0 * (-2.3199637 - x2)) + (((x7 + 1.7935886) * (x1 - 1.7830143)) * 0.05631179))) + (x1 * 0.04783709)) * (1.4653809 - x2),0.28222989665202297,(1.4653809 - x2)*(x1*0.04783709 + x7*(x0*(-x2 - 2.3199637) + (x7 + 1.7935886)*(x1 - 1*1.7830143)*0.05631179)),PySRFunction(X=>(1.4653809 - x2)*(x1*0.04783709 + x7*(x0*(-x2 - 2.3199637) + (x7 + 1.7935886)*(x1 - 1*1.7830143)*0.05631179)))
13,27,0.0037254351,((x7 * ((x0 * (-2.3791816 - x2)) + ((((x7 + 1.7415144) * x1) - 1.7965186) * 0.07016129))) + (x1 * 0.05588923)) * (1.3672798 - (x4 * -0.13027057)),0.13791824570085956,(1.3672798 - (-0.13027057)*x4)*(x1*0.05588923 + x7*(x0*(-x2 - 2.3791816) + (x1*(x7 + 1.7415144) - 1*1.7965186)*0.07016129)),PySRFunction(X=>(1.3672798 - (-0.13027057)*x4)*(x1*0.05588923 + x7*(x0*(-x2 - 2.3791816) + (x1*(x7 + 1.7415144) - 1*1.7965186)*0.07016129)))
14,29,0.0036109837,((x7 * ((x0 * (-2.3680596 - x2)) + ((((x7 + 1.7331396) * x1) - 1.7949975) * 0.07137228))) + (x1 * 0.056365684)) * (1.351168 - ((x4 + x0) * -0.12558234)),0.015601711039673694,(1.351168 - (-0.12558234)*(x0 + x4))*(x1*0.056365684 + x7*(x0*(-x2 - 2.3680596) + (x1*(x7 + 1.7331396) - 1*1.7949975)*0.07137228)),PySRFunction(X=>(1.351168 - (-0.12558234)*(x0 + x4))*(x1*0.056365684 + x7*(x0*(-x2 - 2.3680596) + (x1*(x7 + 1.7331396) - 1*1.7949975)*0.07137228)))
15,31,0.0033428078,((1.7744497 - x2) + 0.05260821) * ((x1 * 0.041487522) + ((((-0.8764156 - (x2 + x0)) * x0) + ((((x1 * (x7 + 1.7297683)) - 0.993722) * 0.05260821) - x0)) * x7)),0.0385845578922226,(x1*0.041487522 + x7*(x0*(-(x0 + x2) - 0.8764156) - x0 + (x1*(x7 + 1.7297683) - 1*0.993722)*0.05260821))*(-x2 + 0.05260821 + 1.7744497),PySRFunction(X=>(x1*0.041487522 + x7*(x0*(-(x0 + x2) - 0.8764156) - x0 + (x1*(x7 + 1.7297683) - 1*0.993722)*0.05260821))*(-x2 + 0.05260821 + 1.7744497))
16,35,0.0032111157,((x1 * 0.04080261) + (x7 * ((((((x7 + 1.7458497) * x1) - 1.0146434) * 0.050699703) - x0) + (x0 * (-0.95312333 - (x2 + x0)))))) * (1.870214 - ((x4 - (-0.08310248 - x7)) * -0.17984572)),0.010048166417187983,(1.870214 - (-0.17984572)*(x4 - (-x7 - 0.08310248)))*(x1*0.04080261 + x7*(x0*(-(x0 + x2) - 0.95312333) - x0 + (x1*(x7 + 1.7458497) - 1*1.0146434)*0.050699703)),PySRFunction(X=>(1.870214 - (-0.17984572)*(x4 - (-x7 - 0.08310248)))*(x1*0.04080261 + x7*(x0*(-(x0 + x2) - 0.95312333) - x0 + (x1*(x7 + 1.7458497) - 1*1.0146434)*0.050699703)))
