,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893826e-07,1.6709686e-9,0.0,1.67096860000000e-9,PySRFunction(X=>1.67096860000000E-9)
1,3,1.0167316e-07,x1 * 0.0013920611,0.30982847013678255,x1*0.0013920611,PySRFunction(X=>x1*0.0013920611)
2,5,6.019916e-08,(x1 + x0) * 0.0011766246,0.26205247801159004,(x0 + x1)*0.0011766246,PySRFunction(X=>(x0 + x1)*0.0011766246)
3,7,1.1477803e-08,((x1 + x0) * x6) * 2.2587476,0.8286217012295172,(x0 + x1)*x6*2.2587476,PySRFunction(X=>(x0 + x1)*x6*2.2587476)
4,9,6.585207e-09,((x5 - x1) - x0) * (x6 * -2.3204956),0.2777946132445594,(-x0 - x1 + x5)*x6*(-2.3204956),PySRFunction(X=>(-x0 - x1 + x5)*x6*(-2.3204956))
5,11,4.8824496e-09,(-0.03422373 - (x1 - (x7 * x0))) * (x6 * -2.6872914),0.1495893543230628,(-(-x0*x7 + x1) - 0.03422373)*x6*(-2.6872914),PySRFunction(X=>(-(-x0*x7 + x1) - 0.03422373)*x6*(-2.6872914))
6,13,2.4456914e-09,(((-0.044288583 - x1) - ((x7 * x0) * -1.3009574)) * x6) * -2.449782,0.34565959849845385,(-(-1.3009574)*x0*x7 - x1 - 0.044288583)*x6*(-2.449782),PySRFunction(X=>(-(-1.3009574)*x0*x7 - x1 - 0.044288583)*x6*(-2.449782))
7,15,1.7889832e-09,((x6 * -2.1381001) - 0.00023922582) * ((x5 - x1) - ((x7 * x0) * -1.3084981)),0.15634022518822502,(x6*(-2.1381001) - 1*0.00023922582)*(-(-1.3084981)*x0*x7 - x1 + x5),PySRFunction(X=>(x6*(-2.1381001) - 1*0.00023922582)*(-(-1.3084981)*x0*x7 - x1 + x5))
8,17,5.965774e-10,(x6 * ((-0.028302955 - x1) - ((x0 + (x1 * -0.62892747)) * (x7 * -0.82869166)))) * -3.8204525,0.5490968513539715,x6*(-x1 - (-0.82869166)*x7*(x0 + x1*(-0.62892747)) - 0.028302955)*(-3.8204525),PySRFunction(X=>x6*(-x1 - (-0.82869166)*x7*(x0 + x1*(-0.62892747)) - 0.028302955)*(-3.8204525))
9,19,3.7288267e-10,(x6 * ((x6 - x1) - (x7 * (((x0 + (x1 * -0.6292306)) + 0.05138578) * -0.83330965)))) * -3.8212087,0.23497258875808846,x6*(-x1 + x6 - (-0.83330965)*x7*(x0 + x1*(-0.6292306) + 0.05138578))*(-3.8212087),PySRFunction(X=>x6*(-x1 + x6 - (-0.83330965)*x7*(x0 + x1*(-0.6292306) + 0.05138578))*(-3.8212087))
10,21,2.536509e-10,((x1 + -3.8217788) * x6) * ((-0.02140892 - x1) - ((((x0 + (x1 * -0.6197389)) * -0.83061725) + -0.02140892) * x7)),0.19265245015834767,x6*(x1 - 3.8217788)*(-x1 - x7*((x0 + x1*(-0.6197389))*(-0.83061725) - 0.02140892) - 0.02140892),PySRFunction(X=>x6*(x1 - 3.8217788)*(-x1 - x7*((x0 + x1*(-0.6197389))*(-0.83061725) - 0.02140892) - 0.02140892))
11,23,2.3220703e-10,((x1 + -3.8201013) * x6) * ((-0.021724284 - x1) - ((x3 * 3.6184643e-5) + ((((x1 * -0.6184386) + x0) * -0.83052975) * x7))),0.044164783886391126,x6*(x1 - 3.8201013)*(-x1 - (x3*3.6184643e-5 + (x0 + x1*(-0.6184386))*(-0.83052975)*x7) - 0.021724284),PySRFunction(X=>x6*(x1 - 3.8201013)*(-x1 - (x3*3.6184643e-5 + (x0 + x1*(-0.6184386))*(-0.83052975)*x7) - 0.021724284))
12,25,2.2100546e-10,((-0.020534063 - x1) - ((x3 * 3.539417e-5) + ((x7 * (x0 + (x1 * -0.62875104))) * -0.83036596))) * (((x1 * 0.8061534) + -3.8217518) * x6),0.02472096866751737,x6*(x1*0.8061534 - 3.8217518)*(-x1 - (x3*3.539417e-5 + x7*(x0 + x1*(-0.62875104))*(-0.83036596)) - 0.020534063),PySRFunction(X=>x6*(x1*0.8061534 - 3.8217518)*(-x1 - (x3*3.539417e-5 + x7*(x0 + x1*(-0.62875104))*(-0.83036596)) - 0.020534063))
