Hz_file,Eqn_num,MSE,predicting_eqn
9,0,6.917881895926907e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
45,0,3.44223698298251e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
54,0,1.2503433631886736e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
63,0,4.951592904132788e-06,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
72,0,1.685721157603509e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
81,0,3.5279409390503315e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
90,0,7.840719135959647e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
99,0,0.0001597414451503569,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
9,1,0.0001259402503950377,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
45,1,7.946955150221138e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
54,1,5.5881440600097486e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
63,1,4.416264309574058e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
72,1,4.6420497155872025e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
81,1,6.944587790546547e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
90,1,0.00011851619493710716,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
99,1,0.00021921395230412404,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
9,2,0.00017055550193349756,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
45,2,9.037429528662217e-05,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
54,2,3.958773028197555e-05,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
63,2,1.1570795272007683e-05,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
72,2,3.824444352233166e-05,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
81,2,0.00011266923002356507,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
90,2,0.00019426810600570236,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
99,2,0.00040631502141008104,-0.0032134003*dx*w*x + 1.6497204*dx*x + 3.368118660252*dx + 8.29012598198137e-5*p**2*w*x**2 + 0.000169253699085926*p**2*w*x + 0.088773360151062*p**2*x**3 + 0.181242355285213*p**2*x**2 - 0.0158227372608252
