Hz_file,Eqn_num,MSE,predicting_eqn
9,0,5.119975706910795e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
36,0,5.543279496608682e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
45,0,3.185083759210796e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
54,0,1.243783931699312e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
63,0,5.676125208997802e-06,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
72,0,1.892741601596551e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
81,0,3.7976958264154723e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
90,0,8.108514878988832e-05,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
99,0,0.0001433114643023195,1.1937383*dx*p_val*x**2 + 2.3874766*dx*p_val*x + 1.035643*dx*x**2 + 2.071286*dx*x + 3.3564444*dx - 0.100718481781239*p*p_val*x**2 - 0.08737961295819*p*x**2 - 0.24831903*p_val*x + 0.51501876*x**2 - 0.017753009
9,1,0.00012002902900582349,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
36,1,9.542019359779112e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
45,1,7.644774549829994e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
54,1,5.513824181532523e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
63,1,4.4450571118374553e-05,-0.27247575*c*dx*p_val**2*x**2 - 0.27247575*c*dx*p_val*x**2 - 0.5000468424582*c*dx*p_val*x + 1.8342674*c*p_val**2*x**2 + 1.8342674*c*p_val*x**2 + 3.36624313023824*c*p_val*x - 0.27247575*dx**2*p_val*x - 0.27247575*dx**2*x - 0.5000468424582*dx**2 + 1.8342674*dx*p_val*x + 1.8342674*dx*x + 3.36624313023824*dx + 0.024737203
