folder_name,a_val_norm,dv/dt_norm,timeshift,allow_div,average_MSE,std_dev_MSE
allow_division,0,0,0,1,4.3517451465798145e-10,1.6858434005434667e-10
allow_division-aval-dvdt,1,1,0,1,0.0006223383830054453,0.0003401828227288384
allow_division-normalised-aval,1,0,0,1,0.0010253221870345332,0.0010832292327401627
allow_division-normalised-dvdt,0,1,0,1,1.5032912946671672e-10,4.10845300131051e-11
allow_division-time-shift-2,0,0,1,1,4.353512603020517e-11,1.7912966095307752e-11
allow_division-time-shift-aval,1,0,1,1,6.043276771837485e-05,1.272968232810366e-06
allow_division-time-shift-dvdt,0,1,1,1,3.799146484586533e-11,1.6704218706500483e-11
normalised_aval,1,0,0,0,0.002783346873888122,0.0009853509935198316
normalised_dv_dt,0,1,0,0,2.438376698348133e-10,6.485980173134845e-11
normalised_dv_dt_aval,1,1,0,0,0.0004966138511136546,8.488103951180752e-05
time-shift,0,0,1,0,1.6079789108106976e-10,4.256049395034963e-11
time-shift-normalised_dv_dt_aval,1,1,1,0,8.736079972864033e-05,3.090927075854754e-05
time-shift-normalised-aval,1,0,1,0,0.0018213049743786376,0.0008954913785229995
time-shift-normalised-dv-dt,0,1,1,0,7.546358551717214e-11,2.3599080675707787e-11
allow_division-time-shift-aval-dvdt,1,1,1,1,6.07082478661054e-05,1.0533745747447775e-05
none,0,0,0,0,4.059676512626189e-10,5.60636148854004e-11
