,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893826e-07,9.992124e-10,0.0,9.99212400000000e-10,PySRFunction(X=>9.99212400000000E-10)
1,3,1.0167315e-07,x1 * 0.0013923884,0.309828519313972,x1*0.0013923884,PySRFunction(X=>x1*0.0013923884)
2,5,6.0205466e-08,(x0 + x1) * 0.0011893644,0.2620000554313575,(x0 + x1)*0.0011893644,PySRFunction(X=>(x0 + x1)*0.0011893644)
3,7,1.1477822e-08,(x0 + x1) * (x6 * 2.2580884),0.8286732469487139,(x0 + x1)*x6*2.2580884,PySRFunction(X=>(x0 + x1)*x6*2.2580884)
4,9,6.5898695e-09,x6 * (((x1 + x0) + 0.04974605) * 2.3092155),0.2774415530253916,x6*(x0 + x1 + 0.04974605)*2.3092155,PySRFunction(X=>x6*(x0 + x1 + 0.04974605)*2.3092155)
5,11,5.6373977e-09,x6 * ((((x1 * 1.1473774) + x0) + 0.04834872) * 2.159938),0.07805549363212078,x6*(x0 + x1*1.1473774 + 0.04834872)*2.159938,PySRFunction(X=>x6*(x0 + x1*1.1473774 + 0.04834872)*2.159938)
6,13,2.2274798e-09,(x1 + (((x0 + 0.049720068) * x7) * -1.3072851)) * (x6 * 2.4388363),0.4642758732316898,(x1 + (x0 + 0.049720068)*x7*(-1.3072851))*x6*2.4388363,PySRFunction(X=>(x1 + (x0 + 0.049720068)*x7*(-1.3072851))*x6*2.4388363)
7,15,1.3643048e-09,(((x7 * (x0 + 0.04803414)) * -1.2911224) + x1) * ((x6 + 0.00012762063) * 2.113254),0.24511290849551898,(x1 + x7*(x0 + 0.04803414)*(-1.2911224))*(x6 + 0.00012762063)*2.113254,PySRFunction(X=>(x1 + x7*(x0 + 0.04803414)*(-1.2911224))*(x6 + 0.00012762063)*2.113254)
8,17,3.662078e-10,(x1 + (((x0 + ((x1 + -0.0762281) * -0.64618486)) * x7) * -0.81084126)) * (x6 * 3.8873224),0.6575996710003394,(x1 + (x0 + (x1 - 0.0762281)*(-0.64618486))*x7*(-0.81084126))*x6*3.8873224,PySRFunction(X=>(x1 + (x0 + (x1 - 0.0762281)*(-0.64618486))*x7*(-0.81084126))*x6*3.8873224)
9,19,2.8711905e-10,x6 * ((x1 + (x7 * ((x0 + (((x7 * x1) * 0.50812876) + 0.049500775)) * -0.9780845))) * 3.2592309),0.12165199686847067,x6*(x1 + x7*(x0 + x7*x1*0.50812876 + 0.049500775)*(-0.9780845))*3.2592309,PySRFunction(X=>x6*(x1 + x7*(x0 + x7*x1*0.50812876 + 0.049500775)*(-0.9780845))*3.2592309)
10,21,2.8038777e-10,((x6 * 3.2339497) + 1.9975256e-5) * (x1 + (((x0 + ((x7 * (x1 * 0.50812876)) + 0.049500775)) * -0.9780845) * x7)),0.011861700083024864,(x1 + (x0 + x7*x1*0.50812876 + 0.049500775)*(-0.9780845)*x7)*(x6*3.2339497 + 1.9975256e-5),PySRFunction(X=>(x1 + (x0 + x7*x1*0.50812876 + 0.049500775)*(-0.9780845)*x7)*(x6*3.2339497 + 1.9975256e-5))
11,23,2.2698972e-10,(x6 * ((x7 * (((x0 + ((((x1 * -0.36915335) + x7) * x1) * 0.49131596)) + 0.058142353) * -0.9770167)) + x1)) * 3.2344215,0.10563440391720152,x6*(x1 + x7*(x0 + (x1*(-0.36915335) + x7)*x1*0.49131596 + 0.058142353)*(-0.9770167))*3.2344215,PySRFunction(X=>x6*(x1 + x7*(x0 + (x1*(-0.36915335) + x7)*x1*0.49131596 + 0.058142353)*(-0.9770167))*3.2344215)
12,25,1.7305689e-10,x6 * ((((x7 * ((x0 + 0.058142353) + (((((x1 + x0) * -0.36627376) + x7) * x1) * 0.5147554))) * -0.9770167) + x1) * 3.2344215),0.13564217287061642,x6*(x1 + x7*(x0 + (x7 + (x0 + x1)*(-0.36627376))*x1*0.5147554 + 0.058142353)*(-0.9770167))*3.2344215,PySRFunction(X=>x6*(x1 + x7*(x0 + (x7 + (x0 + x1)*(-0.36627376))*x1*0.5147554 + 0.058142353)*(-0.9770167))*3.2344215)
13,27,1.6002796e-10,(((((x0 + ((((x1 + x0) * -0.369156) + x7) * (x1 * 0.51471806))) + 0.05790573) * (x7 * -0.9769321)) + x1) * (x6 + 6.663308e-6)) * 3.2254329,0.039135917202137854,(x1 + (x0 + (x7 + (x0 + x1)*(-0.369156))*x1*0.51471806 + 0.05790573)*x7*(-0.9769321))*(x6 + 6.663308e-6)*3.2254329,PySRFunction(X=>(x1 + (x0 + (x7 + (x0 + x1)*(-0.369156))*x1*0.51471806 + 0.05790573)*x7*(-0.9769321))*(x6 + 6.663308e-6)*3.2254329)
