,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.40954605,x0,0.0,x0,PySRFunction(X=>x0)
1,3,0.17310865,x1 * 0.009164388,0.43056495956723295,x1*0.009164388,PySRFunction(X=>x1*0.009164388)
2,5,0.17292416,(x0 + x1) * 0.009158051,0.0005331575854927524,(x0 + x1)*0.009158051,PySRFunction(X=>(x0 + x1)*0.009158051)
3,7,0.05246766,((x6 + -0.0011068216) * -35.448883) * x1,0.5963280685429995,(x6 - 0.0011068216)*(-35.448883)*x1,PySRFunction(X=>(x6 - 0.0011068216)*(-35.448883)*x1)
4,9,0.050817177,(x6 + -0.0011071117) * ((x2 + -35.50978) * x1),0.015981276219484905,x1*(x2 - 35.50978)*(x6 - 0.0011071117),PySRFunction(X=>x1*(x2 - 35.50978)*(x6 - 0.0011071117))
5,11,0.0069397017,((x7 * ((x6 * -127.036285) + 0.22614469)) + 0.09236919) * x1,0.9954878182333305,x1*(x7*(0.22614469 + x6*(-127.036285)) + 0.09236919),PySRFunction(X=>x1*(x7*(0.22614469 + x6*(-127.036285)) + 0.09236919))
6,13,0.006901354,(0.09236919 + (x7 * ((x6 * -127.036285) + 0.22614469))) * (x0 + x1),0.002770583324841192,(x0 + x1)*(x7*(0.22614469 + x6*(-127.036285)) + 0.09236919),PySRFunction(X=>(x0 + x1)*(x7*(0.22614469 + x6*(-127.036285)) + 0.09236919))
7,15,0.0021467318,((x7 * ((x7 * ((x7 * 0.22620149) + 0.5093366)) + 0.3980714)) + 0.11526786) * x1,0.5838855158167761,x1*(x7*(x7*(x7*0.22620149 + 0.5093366) + 0.3980714) + 0.11526786),PySRFunction(X=>x1*(x7*(x7*(x7*0.22620149 + 0.5093366) + 0.3980714) + 0.11526786))
8,17,0.0021345727,((x7 * (((0.5093366 + (0.22620149 * x7)) * x7) + 0.3980714)) + 0.11526786) * (x1 + x0),0.0028400532340910486,(x0 + x1)*(x7*(x7*(0.22620149*x7 + 0.5093366) + 0.3980714) + 0.11526786),PySRFunction(X=>(x0 + x1)*(x7*(x7*(0.22620149*x7 + 0.5093366) + 0.3980714) + 0.11526786))
9,19,0.0020152885,(((x7 * ((((x7 * 0.22620149) + 0.5093366) * x7) + 0.3980714)) + 0.11526786) * x1) + (x0 * 0.0476523),0.02875206240300224,x0*0.0476523 + x1*(x7*(x7*(x7*0.22620149 + 0.5093366) + 0.3980714) + 0.11526786),PySRFunction(X=>x0*0.0476523 + x1*(x7*(x7*(x7*0.22620149 + 0.5093366) + 0.3980714) + 0.11526786))
10,21,0.0018972489,((x7 * ((x7 * ((x7 * 0.23549439) + 0.52976966)) + 0.41253963)) + 0.1185631) * (x1 + (x0 * (x1 * 0.13889869))),0.03017873590669575,(x7*(x7*(x7*0.23549439 + 0.52976966) + 0.41253963) + 0.1185631)*(x0*x1*0.13889869 + x1),PySRFunction(X=>(x7*(x7*(x7*0.23549439 + 0.52976966) + 0.41253963) + 0.1185631)*(x0*x1*0.13889869 + x1))
11,23,0.001490999,(((x0 * x1) * (x7 + 0.63624215)) + x1) * ((((x7 * ((x7 * 0.26356503) + 0.5759743)) + 0.4355657) * x7) + 0.12181414),0.12047926221180945,(x7*(x7*(x7*0.26356503 + 0.5759743) + 0.4355657) + 0.12181414)*(x0*x1*(x7 + 0.63624215) + x1),PySRFunction(X=>(x7*(x7*(x7*0.26356503 + 0.5759743) + 0.4355657) + 0.12181414)*(x0*x1*(x7 + 0.63624215) + x1))
12,25,0.0013517948,((((((x7 * 0.23269835) + 0.5244741) * x7) + 0.40957758) * x7) + 0.11812383) * ((x1 * (x0 * ((x7 * 0.69430095) + 0.5110376))) + x1),0.04900658706886743,(x7*(x7*(x7*0.23269835 + 0.5244741) + 0.40957758) + 0.11812383)*(x0*x1*(x7*0.69430095 + 0.5110376) + x1),PySRFunction(X=>(x7*(x7*(x7*0.23269835 + 0.5244741) + 0.40957758) + 0.11812383)*(x0*x1*(x7*0.69430095 + 0.5110376) + x1))
13,27,0.0012939818,((((((x7 * 0.23269835) + 0.5244741) * x7) + 0.40957758) * x7) + 0.11812383) * ((x7 + (x1 * (x0 * ((x7 * 0.69430095) + 0.5110376)))) + x1),0.021854529944512646,(x7*(x7*(x7*0.23269835 + 0.5244741) + 0.40957758) + 0.11812383)*(x0*x1*(x7*0.69430095 + 0.5110376) + x1 + x7),PySRFunction(X=>(x7*(x7*(x7*0.23269835 + 0.5244741) + 0.40957758) + 0.11812383)*(x0*x1*(x7*0.69430095 + 0.5110376) + x1 + x7))
14,29,0.001291945,((((((x7 * 0.24051063) + 0.5368615) * x7) + 0.41499466) * x7) + 0.11847497) * (x7 + (((x1 * (x0 * (0.5007234 + (x7 * 0.68553066)))) + x1) * 1.0091479)),0.0007876481349755243,(x7 + (x0*x1*(x7*0.68553066 + 0.5007234) + x1)*1.0091479)*(x7*(x7*(x7*0.24051063 + 0.5368615) + 0.41499466) + 0.11847497),PySRFunction(X=>(x7 + (x0*x1*(x7*0.68553066 + 0.5007234) + x1)*1.0091479)*(x7*(x7*(x7*0.24051063 + 0.5368615) + 0.41499466) + 0.11847497))
15,31,0.0012839556,((x7 * ((((x7 * 0.24051063) + 0.5368615) * x7) + 0.41499466)) + 0.11847497) * (x0 + (x7 + (((x1 * (x0 * ((x7 * 0.6563497) + 0.5007234))) + x1) * 1.0091479))),0.00310160478210962,(x7*(x7*(x7*0.24051063 + 0.5368615) + 0.41499466) + 0.11847497)*(x0 + x7 + (x0*x1*(x7*0.6563497 + 0.5007234) + x1)*1.0091479),PySRFunction(X=>(x7*(x7*(x7*0.24051063 + 0.5368615) + 0.41499466) + 0.11847497)*(x0 + x7 + (x0*x1*(x7*0.6563497 + 0.5007234) + x1)*1.0091479))
