,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893826e-07,3.4504695e-9,0.0,3.45046950000000e-9,PySRFunction(X=>3.45046950000000E-9)
1,3,4.725324e-08,x1 * 0.0017735653,0.6929495360041938,x1*0.0017735653,PySRFunction(X=>x1*0.0017735653)
2,5,4.9237825e-10,x1 * (x6 * 3.3365617),2.282014640035098,x1*x6*3.3365617,PySRFunction(X=>x1*x6*3.3365617)
3,7,4.910933e-10,x1 * ((x6 * 3.346308) + -8.595946e-6),0.0013065459099076517,x1*(x6*3.346308 - 8.595946e-6),PySRFunction(X=>x1*(x6*3.346308 - 8.595946e-6))
4,9,3.0273448e-10,(x6 * 3.2578323) * ((x0 * 0.038462635) + x1),0.24188900620450549,x6*3.2578323*(x0*0.038462635 + x1),PySRFunction(X=>x6*3.2578323*(x0*0.038462635 + x1))
5,11,2.806636e-10,(x6 * 3.255897) * (x1 + (x3 * (x0 * 0.00010006424))),0.03784965927589863,x6*3.255897*(x3*x0*0.00010006424 + x1),PySRFunction(X=>x6*3.255897*(x3*x0*0.00010006424 + x1))
6,13,2.6993158e-10,(x6 * 3.255897) * ((x1 + x6) + ((x3 * x0) * 0.00010310723)),0.019494139835421483,x6*3.255897*(x3*x0*0.00010310723 + x1 + x6),PySRFunction(X=>x6*3.255897*(x3*x0*0.00010310723 + x1 + x6))
7,15,2.0641601e-10,(x6 * (((x0 * -0.06714474) * (x7 + (x0 * -1.1836827))) + x1)) * 3.2747064,0.13413746052462433,x6*(x0*(-0.06714474)*(x0*(-1.1836827) + x7) + x1)*3.2747064,PySRFunction(X=>x6*(x0*(-0.06714474)*(x0*(-1.1836827) + x7) + x1)*3.2747064)
8,17,1.906874e-10,((x1 + (((x0 + x0) * ((x0 * -1.0614381) + x7)) * -0.042223085)) * x6) * 3.2410548,0.03962908018505465,(x1 + (x0 + x0)*(x0*(-1.0614381) + x7)*(-0.042223085))*x6*3.2410548,PySRFunction(X=>(x1 + (x0 + x0)*(x0*(-1.0614381) + x7)*(-0.042223085))*x6*3.2410548)
9,19,1.7112399e-10,((x1 + (((x0 + x0) * ((x0 * -1.5219687) + x7)) * -0.04276637)) * (x6 * 3.2411096)) + -6.341007e-6,0.054123528292833234,(x1 + (x0 + x0)*(x0*(-1.5219687) + x7)*(-0.04276637))*x6*3.2411096 - 6.341007e-6,PySRFunction(X=>(x1 + (x0 + x0)*(x0*(-1.5219687) + x7)*(-0.04276637))*x6*3.2411096 - 6.341007e-6)
10,21,1.3816628e-10,(((x7 + (x0 * -1.4207572)) * (x5 * (((x1 * x7) + x0) + x0))) + x1) * (x6 * 3.289166),0.10696524706100484,(x1 + x5*(x0*(-1.4207572) + x7)*(x0 + x0 + x1*x7))*x6*3.289166,PySRFunction(X=>(x1 + x5*(x0*(-1.4207572) + x7)*(x0 + x0 + x1*x7))*x6*3.289166)
11,23,1.0188055e-10,((x6 * (x1 + (((x7 + (x0 * -1.965335)) * -0.04999677) * ((x1 * x7) + (x0 + x0))))) * 3.3073285) + -8.1152975e-6,0.15232841937305908,x6*(x1 + (x0*(-1.965335) + x7)*(-0.04999677)*(x0 + x0 + x1*x7))*3.3073285 - 8.1152975e-6,PySRFunction(X=>x6*(x1 + (x0*(-1.965335) + x7)*(-0.04999677)*(x0 + x0 + x1*x7))*3.3073285 - 8.1152975e-6)
12,25,7.956785e-11,((x6 * (x1 + ((x5 * ((x0 * -2.2902145) + x7)) * ((x0 + x0) + ((x7 * x1) * 1.5937566))))) * 3.346308) + -8.595946e-6,0.12359546590704955,x6*(x1 + x5*(x0*(-2.2902145) + x7)*(x0 + x0 + x7*x1*1.5937566))*3.346308 - 8.595946e-6,PySRFunction(X=>x6*(x1 + x5*(x0*(-2.2902145) + x7)*(x0 + x0 + x7*x1*1.5937566))*3.346308 - 8.595946e-6)
13,29,7.5797396e-11,((((((x0 + ((x0 + 0.041363735) + ((x7 + (x1 * -2.097968)) * x1))) * ((x0 * -1.8373686) + x7)) * x5) + x1) * x6) * 3.3168614) + -4.9585974e-6,0.012136544573602614,(x1 + x5*(x0*(-1.8373686) + x7)*(x0 + x0 + x1*(x1*(-2.097968) + x7) + 0.041363735))*x6*3.3168614 - 4.9585974e-6,PySRFunction(X=>(x1 + x5*(x0*(-1.8373686) + x7)*(x0 + x0 + x1*(x1*(-2.097968) + x7) + 0.041363735))*x6*3.3168614 - 4.9585974e-6)
14,31,7.215794e-11,(x6 * (((x5 * (((x0 * -1.8373677) + x7) * ((x0 + (x0 + ((x7 + (x1 * -2.2913857)) * x1))) + (x7 * -0.087659486)))) + x1) * 3.3168614)) + -5.677345e-6,0.024603305410594082,x6*(x1 + x5*(x0*(-1.8373677) + x7)*(x0 + x0 + x1*(x1*(-2.2913857) + x7) + x7*(-0.087659486)))*3.3168614 - 5.677345e-6,PySRFunction(X=>x6*(x1 + x5*(x0*(-1.8373677) + x7)*(x0 + x0 + x1*(x1*(-2.2913857) + x7) + x7*(-0.087659486)))*3.3168614 - 5.677345e-6)
