,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8893826e-07,4.7558783e-11,0.0,4.75587830000000e-11,PySRFunction(X=>4.75587830000000E-11)
1,3,5.77583e-09,x1 * 6.8952327e-6,1.743869163000685,x1*6.8952327e-6,PySRFunction(X=>x1*6.8952327e-6)
2,5,5.732281e-09,(x1 + x0) * 6.8952327e-6,0.003784218615740093,(x0 + x1)*6.8952327e-6,PySRFunction(X=>(x0 + x1)*6.8952327e-6)
3,7,5.388131e-10,((x3 * -8.447739e-9) + 1.0556658e-5) * x1,1.1822500266228244,x1*(1.0556658e-5 + x3*(-8.447739e-9)),PySRFunction(X=>x1*(1.0556658e-5 + x3*(-8.447739e-9)))
4,9,5.1624227e-10,(x1 + x0) * ((x3 * -8.344298e-9) + 1.051125e-5),0.021396293365956155,(1.051125e-5 + x3*(-8.344298e-9))*(x0 + x1),PySRFunction(X=>(1.051125e-5 + x3*(-8.344298e-9))*(x0 + x1))
5,11,4.504725e-10,(((x3 * -8.302735e-9) + 1.0427776e-5) * x1) + (x0 * 4.2929838e-5),0.06813956944879317,x0*4.2929838e-5 + x1*(1.0427776e-5 + x3*(-8.302735e-9)),PySRFunction(X=>x0*4.2929838e-5 + x1*(1.0427776e-5 + x3*(-8.302735e-9)))
6,13,3.2695532e-10,(((x3 * -8.723827e-9) + 1.0498277e-5) * x1) + ((x3 * 2.8499403e-7) * x0),0.1602367532119353,x3*2.8499403e-7*x0 + x1*(1.0498277e-5 + x3*(-8.723827e-9)),PySRFunction(X=>x3*2.8499403e-7*x0 + x1*(1.0498277e-5 + x3*(-8.723827e-9)))
7,15,3.0319197e-10,(x3 * ((x3 * 7.694849e-10) * x0)) + (((x3 * -9.566104e-9) + 1.0798663e-5) * x1),0.037728678113713374,x3*x3*7.694849e-10*x0 + x1*(1.0798663e-5 + x3*(-9.566104e-9)),PySRFunction(X=>x3*x3*7.694849e-10*x0 + x1*(1.0798663e-5 + x3*(-9.566104e-9)))
8,17,2.9431865e-10,((x3 * (x0 * x3)) * 7.307762e-10) + ((x5 * x1) * ((x3 * 1.83377e-7) + -0.00021383233)),0.014851572653445598,x3*x0*x3*7.307762e-10 + x1*x5*(x3*1.83377e-7 - 0.00021383233),PySRFunction(X=>x3*x0*x3*7.307762e-10 + x1*x5*(x3*1.83377e-7 - 0.00021383233))
9,19,2.412034e-10,((((x3 * 1.7888736e-7) + -0.00021156846) * x5) * x1) + ((x0 + (x3 * 0.0023434667)) * (x0 * 0.00017368842)),0.09951123150116506,(x0 + x3*0.0023434667)*x0*0.00017368842 + x1*x5*(x3*1.7888736e-7 - 0.00021156846),PySRFunction(X=>(x0 + x3*0.0023434667)*x0*0.00017368842 + x1*x5*(x3*1.7888736e-7 - 0.00021156846))
