,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.001205795,x1 * 3.337054,2.6593043045214073,x1*3.337054,PySRFunction(X=>x1*3.337054)
2,5,0.0012057575,x1 * (x6 + 3.336332),1.5550148712503956e-05,x1*(x6 + 3.336332),PySRFunction(X=>x1*(x6 + 3.336332))
3,7,0.00073514925,(x1 * 3.3374543) + (x0 * 0.099834725),0.24739486965072438,x0*0.099834725 + x1*3.3374543,PySRFunction(X=>x0*0.099834725 + x1*3.3374543)
4,9,0.0006804907,(x1 * 3.3380008) + ((x0 * -0.15672232) * x7),0.038629692123400505,x0*(-0.15672232)*x7 + x1*3.3380008,PySRFunction(X=>x0*(-0.15672232)*x7 + x1*3.3380008)
5,11,0.0004973969,(x1 * 3.3382301) + ((x0 + 0.48703155) * (x0 * 0.2903402)),0.15671292831751363,(x0 + 0.48703155)*x0*0.2903402 + x1*3.3382301,PySRFunction(X=>(x0 + 0.48703155)*x0*0.2903402 + x1*3.3382301)
6,13,0.00030239826,(x0 * (((x0 + x1) * 0.35040385) + 0.14940746)) + (x1 * 3.3568096),0.24882170431039427,x0*((x0 + x1)*0.35040385 + 0.14940746) + x1*3.3568096,PySRFunction(X=>x0*((x0 + x1)*0.35040385 + 0.14940746) + x1*3.3568096)
7,15,0.00015421721,((x1 + -0.0047323396) * 3.3606997) + (x0 * (((x0 + x1) + 0.30627832) * 0.51014)),0.3366914135590879,x0*(x0 + x1 + 0.30627832)*0.51014 + (x1 - 0.0047323396)*3.3606997,PySRFunction(X=>x0*(x0 + x1 + 0.30627832)*0.51014 + (x1 - 0.0047323396)*3.3606997)
8,17,8.503452e-05,((x0 * (x0 + ((x7 * -0.46664053) + x1))) * 0.5241795) + ((x1 + -0.0049973256) * 3.363766),0.297652385754235,x0*(x0 + x1 + x7*(-0.46664053))*0.5241795 + (x1 - 0.0049973256)*3.363766,PySRFunction(X=>x0*(x0 + x1 + x7*(-0.46664053))*0.5241795 + (x1 - 0.0049973256)*3.363766)
9,19,7.79799e-05,(x1 * 3.3607001) + ((((((x7 * -0.45432273) + (x1 * 0.8364829)) + x0) * 0.55453235) * x0) + -0.017965574),0.04330309526019624,(x0 + x1*0.8364829 + x7*(-0.45432273))*0.55453235*x0 + x1*3.3607001 - 0.017965574,PySRFunction(X=>(x0 + x1*0.8364829 + x7*(-0.45432273))*0.55453235*x0 + x1*3.3607001 - 0.017965574)
