,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.0012057951,x1 * 3.3370051,2.6593042630549903,x1*3.3370051,PySRFunction(X=>x1*3.3370051)
2,7,0.0007351896,(x0 * 0.09958525) + (x1 * 3.338093),0.1236915093060333,x0*0.09958525 + x1*3.338093,PySRFunction(X=>x0*0.09958525 + x1*3.338093)
3,9,0.0007093901,(x1 * 3.3338125) + ((x0 * 0.105604135) + 0.005473588),0.017861419171965886,x0*0.105604135 + x1*3.3338125 + 0.005473588,PySRFunction(X=>x0*0.105604135 + x1*3.3338125 + 0.005473588)
4,11,0.00049755827,((x0 + 0.4849654) * (x0 * 0.29350367)) + (x1 * 3.3396304),0.17734645570935578,(x0 + 0.4849654)*x0*0.29350367 + x1*3.3396304,PySRFunction(X=>(x0 + 0.4849654)*x0*0.29350367 + x1*3.3396304)
5,13,0.00030234203,((((x1 + x0) + 0.43727392) * x0) * 0.34110937) + (x1 * 3.350719),0.24907687458746597,(x0 + x1 + 0.43727392)*x0*0.34110937 + x1*3.350719,PySRFunction(X=>(x0 + x1 + 0.43727392)*x0*0.34110937 + x1*3.350719)
6,15,0.0001535312,((x1 * 3.362786) + -0.016626406) + ((x0 * 0.5216237) * ((x1 + x0) + 0.29993966)),0.33882756124545765,x0*0.5216237*(x0 + x1 + 0.29993966) + x1*3.362786 - 0.016626406,PySRFunction(X=>x0*0.5216237*(x0 + x1 + 0.29993966) + x1*3.362786 - 0.016626406)
7,17,0.0001464118,(x1 * 3.396974) + ((((x1 + 0.4651193) * 0.7987784) + x0) * ((x0 * 0.56969124) + -0.049727354)),0.02374030216512806,x1*3.396974 + (x0 + (x1 + 0.4651193)*0.7987784)*(x0*0.56969124 - 0.049727354),PySRFunction(X=>x1*3.396974 + (x0 + (x1 + 0.4651193)*0.7987784)*(x0*0.56969124 - 0.049727354))
8,19,0.00014589449,(x1 + -0.020274516) + ((x1 * 2.3582509) + ((x0 + ((x1 + 0.35708508) * 0.76934624)) * (x0 * 0.5999729))),0.0017697550746417579,(x0 + (x1 + 0.35708508)*0.76934624)*x0*0.5999729 + x1 + x1*2.3582509 - 0.020274516,PySRFunction(X=>(x0 + (x1 + 0.35708508)*0.76934624)*x0*0.5999729 + x1 + x1*2.3582509 - 0.020274516)
9,21,0.00014572596,((((x0 + (6.3211503 * x1)) + x1) + -0.04304057) + (((x1 + -0.6444056) + (x0 * 1.2849166)) * x0)) * 0.4591148,0.0005779087809576268,(x0*(x0*1.2849166 + x1 - 0.6444056) + x0 + x1 + 6.3211503*x1 - 0.04304057)*0.4591148,PySRFunction(X=>(x0*(x0*1.2849166 + x1 - 0.6444056) + x0 + x1 + 6.3211503*x1 - 0.04304057)*0.4591148)
10,23,0.00014562512,((x0 + -0.04304057) + ((x0 * ((x1 + -0.6435779) + (x0 * 1.2849166))) + ((x1 * (x3 + 5.3177667)) + x1))) * 0.4591148,0.0003461116534272998,(x0*(x0*1.2849166 + x1 - 0.6435779) + x0 + x1*(x3 + 5.3177667) + x1 - 0.04304057)*0.4591148,PySRFunction(X=>(x0*(x0*1.2849166 + x1 - 0.6435779) + x0 + x1*(x3 + 5.3177667) + x1 - 0.04304057)*0.4591148)
11,25,0.0001456239,((((((x3 + 5.3177667) * x1) + (((x1 + -0.6444056) + ((0.00082774775 + x0) * 1.2849166)) * x0)) + -0.04304057) + x1) + x0) * 0.4591148,4.1888552964562605e-06,(x0*(x1 + (x0 + 0.00082774775)*1.2849166 - 0.6444056) + x0 + x1*(x3 + 5.3177667) + x1 - 0.04304057)*0.4591148,PySRFunction(X=>(x0*(x1 + (x0 + 0.00082774775)*1.2849166 - 0.6444056) + x0 + x1*(x3 + 5.3177667) + x1 - 0.04304057)*0.4591148)
12,27,0.00014562257,((-0.04304057 + ((x1 * (x3 + 5.3177667)) + x0)) + (x1 + (x0 * (-0.6444056 + ((x0 * 1.2849166) + x1))))) * (0.4591148 + (0.00028095342 * x0)),4.566578952908002e-06,(0.00028095342*x0 + 0.4591148)*(x0*(x0*1.2849166 + x1 - 0.6444056) + x0 + x1*(x3 + 5.3177667) + x1 - 0.04304057),PySRFunction(X=>(0.00028095342*x0 + 0.4591148)*(x0*(x0*1.2849166 + x1 - 0.6444056) + x0 + x1*(x3 + 5.3177667) + x1 - 0.04304057))
13,29,0.00014560953,((x0 * 0.00028095342) + 0.4591148) * (((x1 * (x3 + 5.3177667)) + ((x0 + x1) + -0.04304057)) + (x0 * (((x0 + 0.0006487742) * 1.2849166) + (x1 + -0.6444056)))),4.477528407318513e-05,(x0*0.00028095342 + 0.4591148)*(x0*(x1 + (x0 + 0.0006487742)*1.2849166 - 0.6444056) + x0 + x1*(x3 + 5.3177667) + x1 - 0.04304057),PySRFunction(X=>(x0*0.00028095342 + 0.4591148)*(x0*(x1 + (x0 + 0.0006487742)*1.2849166 - 0.6444056) + x0 + x1*(x3 + 5.3177667) + x1 - 0.04304057))
14,33,0.00014560949,(x2 * (0.4591148 + (0.00028095342 * (0.0006487742 + x0)))) * (((x1 * (x2 + 5.3177667)) + ((x1 + -0.04304057) + x0)) + (x0 * ((x1 + ((0.0006487742 + x0) * 1.2849166)) + -0.6444056))),6.867683299438942e-08,x2*(0.00028095342*(x0 + 0.0006487742) + 0.4591148)*(x0*(x1 + (x0 + 0.0006487742)*1.2849166 - 0.6444056) + x0 + x1*(x2 + 5.3177667) + x1 - 0.04304057),PySRFunction(X=>x2*(0.00028095342*(x0 + 0.0006487742) + 0.4591148)*(x0*(x1 + (x0 + 0.0006487742)*1.2849166 - 0.6444056) + x0 + x1*(x2 + 5.3177667) + x1 - 0.04304057))
15,35,0.0001456035,(((x0 + x0) * 0.00036100173) + 0.4591148) * (((x1 * (x6 * (x6 + 5.3177667))) + (((x1 + (x0 * (x1 + (((x0 + 0.0006487742) * 1.2849166) + -0.6444056)))) + x0) + -0.04304057)) * x6),2.0569137389224518e-05,x6*((x0 + x0)*0.00036100173 + 0.4591148)*(x0*(x1 + (x0 + 0.0006487742)*1.2849166 - 0.6444056) + x0 + x1*x6*(x6 + 5.3177667) + x1 - 0.04304057),PySRFunction(X=>x6*((x0 + x0)*0.00036100173 + 0.4591148)*(x0*(x1 + (x0 + 0.0006487742)*1.2849166 - 0.6444056) + x0 + x1*x6*(x6 + 5.3177667) + x1 - 0.04304057))
