,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.001205795,x1 * 3.3370843,2.6593043045214073,x1*3.3370843,PySRFunction(X=>x1*3.3370843)
2,7,0.0007352101,(x1 * 3.336026) + (x0 * 0.1003473),0.12368451767912805,x0*0.1003473 + x1*3.336026,PySRFunction(X=>x0*0.1003473 + x1*3.336026)
3,9,0.000709657,(x1 * 3.3409305) + ((x0 * 0.106545165) + 0.0055779736),0.017687276995728547,x0*0.106545165 + x1*3.3409305 + 0.0055779736,PySRFunction(X=>x0*0.106545165 + x1*3.3409305 + 0.0055779736)
4,11,0.0004974888,(x1 + ((x0 * (x0 + 0.48103178)) * 0.087175734)) * 3.33617,0.17760435546583467,(x0*(x0 + 0.48103178)*0.087175734 + x1)*3.33617,PySRFunction(X=>(x0*(x0 + 0.48103178)*0.087175734 + x1)*3.33617)
5,13,0.00030201484,(x1 + ((x0 * ((x1 + x0) + 0.43826228)) * 0.102247246)) * 3.3554156,0.2495484442709946,(x0*(x0 + x1 + 0.43826228)*0.102247246 + x1)*3.3554156,PySRFunction(X=>(x0*(x0 + x1 + 0.43826228)*0.102247246 + x1)*3.3554156)
6,15,0.00015361929,((x1 + ((x0 + (x1 + 0.29816255)) * (x0 * 0.15704273))) * 3.3615942) + -0.01734562,0.33799937823730725,((x0 + x1 + 0.29816255)*x0*0.15704273 + x1)*3.3615942 - 0.01734562,PySRFunction(X=>((x0 + x1 + 0.29816255)*x0*0.15704273 + x1)*3.3615942 - 0.01734562)
7,17,0.00014599478,((x1 * 3.357893) + ((x0 * 0.5747353) * (x0 + ((x1 * 0.7920217) + 0.28345403)))) + -0.019047948,0.025453265560654015,x0*0.5747353*(x0 + x1*0.7920217 + 0.28345403) + x1*3.357893 - 0.019047948,PySRFunction(X=>x0*0.5747353*(x0 + x1*0.7920217 + 0.28345403) + x1*3.357893 - 0.019047948)
8,23,0.00014597515,(((x0 * ((x0 + (((x1 * 0.8223235) + 0.28567675) + ((x0 + 0.1664461) * 0.027704306))) * 0.1664461)) + x1) * 3.357893) + -0.019047948,2.2410983703670686e-05,(x0*(x0 + x1*0.8223235 + (x0 + 0.1664461)*0.027704306 + 0.28567675)*0.1664461 + x1)*3.357893 - 0.019047948,PySRFunction(X=>(x0*(x0 + x1*0.8223235 + (x0 + 0.1664461)*0.027704306 + 0.28567675)*0.1664461 + x1)*3.357893 - 0.019047948)
9,25,0.000145055,((x1 + ((((x0 + 0.28567675) + ((x1 * 0.8223235) + ((x0 + 0.59106797) * (x0 * 0.17122017)))) * x0) * 0.1664461)) * 3.3599534) + -0.020673584,0.003161710448434369,(((x0 + 0.59106797)*x0*0.17122017 + x0 + x1*0.8223235 + 0.28567675)*x0*0.1664461 + x1)*3.3599534 - 0.020673584,PySRFunction(X=>(((x0 + 0.59106797)*x0*0.17122017 + x0 + x1*0.8223235 + 0.28567675)*x0*0.1664461 + x1)*3.3599534 - 0.020673584)
10,29,0.00014505038,(((((x0 + (x1 * ((x0 * (((x7 * -0.36969653) + 1.5784116) * (x1 * 1.5784116))) + 0.8223235))) + 0.28567675) * (x0 * 0.17122017)) + x1) * 3.3599534) + -0.020673584,7.96262378930767e-06,((x0 + x1*(x0*(1.5784116 + x7*(-0.36969653))*x1*1.5784116 + 0.8223235) + 0.28567675)*x0*0.17122017 + x1)*3.3599534 - 0.020673584,PySRFunction(X=>((x0 + x1*(x0*(1.5784116 + x7*(-0.36969653))*x1*1.5784116 + 0.8223235) + 0.28567675)*x0*0.17122017 + x1)*3.3599534 - 0.020673584)
11,31,0.00014478533,((x1 + (((x0 + ((x1 * (((((x2 * x1) + (x1 + (x0 * -0.25020498))) * x0) * x7) + 0.8223235)) + 0.28567675)) * x0) * 0.17122017)) * 3.3599534) + -0.020673584,0.0009144838428825315,((x0 + x1*(x0*x7*(x0*(-0.25020498) + x1*x2 + x1) + 0.8223235) + 0.28567675)*x0*0.17122017 + x1)*3.3599534 - 0.020673584,PySRFunction(X=>((x0 + x1*(x0*x7*(x0*(-0.25020498) + x1*x2 + x1) + 0.8223235) + 0.28567675)*x0*0.17122017 + x1)*3.3599534 - 0.020673584)
