,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.001205795,x1 * 3.3370528,2.6593043045214073,x1*3.3370528,PySRFunction(X=>x1*3.3370528)
2,5,0.0012057917,(x1 * 3.3370132) + 7.6433455e-5,1.3683936804205885e-06,x1*3.3370132 + 7.6433455e-5,PySRFunction(X=>x1*3.3370132 + 7.6433455e-5)
3,7,0.00073522,(x1 * 3.3370132) + (0.09849408 * x0),0.2473609342405923,0.09849408*x0 + x1*3.3370132,PySRFunction(X=>0.09849408*x0 + x1*3.3370132)
4,9,0.0007094332,((x0 * 0.10806012) + (x1 * 3.3372798)) + 0.0049330276,0.017851716398156584,x0*0.10806012 + x1*3.3372798 + 0.0049330276,PySRFunction(X=>x0*0.10806012 + x1*3.3372798 + 0.0049330276)
5,11,0.000497254,((x0 + 0.48267195) * (0.2953964 * x0)) + (x1 * 3.3373702),0.17768268970606824,(x0 + 0.48267195)*0.2953964*x0 + x1*3.3373702,PySRFunction(X=>(x0 + 0.48267195)*0.2953964*x0 + x1*3.3373702)
6,13,0.00030191804,((((x1 + 0.43840387) + x0) * x0) * 0.34090433) + (x1 * 3.35302),0.24947268606590023,(x0 + x1 + 0.43840387)*x0*0.34090433 + x1*3.35302,PySRFunction(X=>(x0 + x1 + 0.43840387)*x0*0.34090433 + x1*3.35302)
7,15,0.00015383623,((x1 + ((((x1 + x0) + 0.29709136) * x0) * 0.15487024)) * 3.3613844) + -0.016762262,0.337133497406628,((x0 + x1 + 0.29709136)*x0*0.15487024 + x1)*3.3613844 - 0.016762262,PySRFunction(X=>((x0 + x1 + 0.29709136)*x0*0.15487024 + x1)*3.3613844 - 0.016762262)
8,17,0.00014599474,-0.01971425 + ((((x0 * 0.17559548) * (((0.76426244 * x1) + 0.2759251) + x0)) + x1) * 3.361502),0.026159000668967345,(x0*0.17559548*(x0 + 0.76426244*x1 + 0.2759251) + x1)*3.361502 - 0.01971425,PySRFunction(X=>(x0*0.17559548*(x0 + 0.76426244*x1 + 0.2759251) + x1)*3.361502 - 0.01971425)
9,19,0.00014387656,((x1 + (((x1 + ((x4 * 0.015819177) + (x0 + 0.32141477))) * x0) * 0.16162176)) * 3.3623903) + -0.017663915,0.007307441966685366,((x0 + x1 + x4*0.015819177 + 0.32141477)*x0*0.16162176 + x1)*3.3623903 - 0.017663915,PySRFunction(X=>((x0 + x1 + x4*0.015819177 + 0.32141477)*x0*0.16162176 + x1)*3.3623903 - 0.017663915)
10,21,0.00013348261,(((x0 * (0.14106138 * (((x0 + (x4 * 0.034870174)) * 1.2295402) + (x1 + 0.39504474)))) + x1) * 3.3645437) + -0.018558254,0.037492251272768604,(x0*0.14106138*(x1 + (x0 + x4*0.034870174)*1.2295402 + 0.39504474) + x1)*3.3645437 - 0.018558254,PySRFunction(X=>(x0*0.14106138*(x1 + (x0 + x4*0.034870174)*1.2295402 + 0.39504474) + x1)*3.3645437 - 0.018558254)
11,23,0.00013156343,((x1 + (x0 * ((((x1 + ((x4 * 0.030230325) + (x0 * 1.2016338))) + x7) + -0.63016707) * 0.14209232))) * 3.365069) + -0.019050777,0.007241057223919748,(x0*(x0*1.2016338 + x1 + x4*0.030230325 + x7 - 0.63016707)*0.14209232 + x1)*3.365069 - 0.019050777,PySRFunction(X=>(x0*(x0*1.2016338 + x1 + x4*0.030230325 + x7 - 0.63016707)*0.14209232 + x1)*3.365069 - 0.019050777)
12,25,0.0001315495,((x1 + (((x1 + ((((x4 * 0.030230325) + (x0 * 1.1853864)) * 1.0137064) + (x3 + -0.63016707))) * x0) * 0.14209232)) * 3.365069) + -0.019050777,5.294304621605594e-05,((x1 + x3 + (x0*1.1853864 + x4*0.030230325)*1.0137064 - 0.63016707)*x0*0.14209232 + x1)*3.365069 - 0.019050777,PySRFunction(X=>((x1 + x3 + (x0*1.1853864 + x4*0.030230325)*1.0137064 - 0.63016707)*x0*0.14209232 + x1)*3.365069 - 0.019050777)
13,29,0.00013055684,((x1 + (((x0 + x5) * (x2 + ((x1 + -0.60314715) + (x0 * (((x0 * 0.33868298) * (x4 + 1.3128794)) + 1.2372993))))) * 0.14074835)) * 3.3838587) + -0.009735626,0.0018936297878444953,(x1 + (x0 + x5)*(x0*(x0*0.33868298*(x4 + 1.3128794) + 1.2372993) + x1 + x2 - 0.60314715)*0.14074835)*3.3838587 - 0.009735626,PySRFunction(X=>(x1 + (x0 + x5)*(x0*(x0*0.33868298*(x4 + 1.3128794) + 1.2372993) + x1 + x2 - 0.60314715)*0.14074835)*3.3838587 - 0.009735626)
14,31,0.00012664111,-0.009735626 + ((x1 + ((((x2 + (x1 + (x0 * ((((x1 + x0) * 0.33868298) * (x4 + 1.3128794)) + 1.2218747)))) + -0.60314715) * 0.14074835) * (x5 + x0))) * 3.3838587),0.0152257534770068,(x1 + (x0*((x0 + x1)*0.33868298*(x4 + 1.3128794) + 1.2218747) + x1 + x2 - 0.60314715)*0.14074835*(x0 + x5))*3.3838587 - 0.009735626,PySRFunction(X=>(x1 + (x0*((x0 + x1)*0.33868298*(x4 + 1.3128794) + 1.2218747) + x1 + x2 - 0.60314715)*0.14074835*(x0 + x5))*3.3838587 - 0.009735626)
15,33,0.00012333647,-0.009735626 + ((x1 + (((x0 * (((((-2.0351598 * x1) + 0.33868298) * x0) * (1.3128794 + x4)) + 1.2218747)) + ((x2 + -0.60314715) + x1)) * ((x5 + x0) * 0.14074835))) * 3.3838587),0.013220515729154423,(x1 + (x0*(x0*(0.33868298 - 2.0351598*x1)*(x4 + 1.3128794) + 1.2218747) + x1 + x2 - 0.60314715)*(x0 + x5)*0.14074835)*3.3838587 - 0.009735626,PySRFunction(X=>(x1 + (x0*(x0*(0.33868298 - 2.0351598*x1)*(x4 + 1.3128794) + 1.2218747) + x1 + x2 - 0.60314715)*(x0 + x5)*0.14074835)*3.3838587 - 0.009735626)
16,37,0.00012244325,(3.3838587 * (x1 + ((x5 + x0) * ((x2 + (((x0 * (((1.3857425 + x4) * (x0 * (((x1 + (x0 * x1)) * -2.76755) + 0.33868298))) + 1.2218747)) + x1) + -0.60314715)) * 0.14074835)))) + -0.009735626,0.0018171229352648807,3.3838587*(x1 + (x0 + x5)*(x0*(x0*(0.33868298 + (x0*x1 + x1)*(-2.76755))*(x4 + 1.3857425) + 1.2218747) + x1 + x2 - 0.60314715)*0.14074835) - 0.009735626,PySRFunction(X=>3.3838587*(x1 + (x0 + x5)*(x0*(x0*(0.33868298 + (x0*x1 + x1)*(-2.76755))*(x4 + 1.3857425) + 1.2218747) + x1 + x2 - 0.60314715)*0.14074835) - 0.009735626)
17,39,0.00012197658,((x1 + ((x0 + x5) * (((x2 + (x0 * (((((x1 + 1.3857425) + x4) * x0) * (((x1 + (x0 * x1)) * -2.76755) + 0.33868298)) + 1.2218747))) + (x1 + -0.60314715)) * 0.14074835))) * 3.3838587) + -0.009735626,0.0019092991230283535,(x1 + (x0 + x5)*(x0*(x0*(0.33868298 + (x0*x1 + x1)*(-2.76755))*(x1 + x4 + 1.3857425) + 1.2218747) + x1 + x2 - 0.60314715)*0.14074835)*3.3838587 - 0.009735626,PySRFunction(X=>(x1 + (x0 + x5)*(x0*(x0*(0.33868298 + (x0*x1 + x1)*(-2.76755))*(x1 + x4 + 1.3857425) + 1.2218747) + x1 + x2 - 0.60314715)*0.14074835)*3.3838587 - 0.009735626)
