,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.0012057951,x1 * 3.3370035,2.6593042630549903,x1*3.3370035,PySRFunction(X=>x1*3.3370035)
2,7,0.000735213,(x1 + (x0 * 0.03025401)) * 3.3372917,0.12368355230160404,(x0*0.03025401 + x1)*3.3372917,PySRFunction(X=>(x0*0.03025401 + x1)*3.3372917)
3,9,0.0007096047,((x0 * 0.10728103) + (x1 * 3.3406339)) + 0.005388464,0.01772609936260596,x0*0.10728103 + x1*3.3406339 + 0.005388464,PySRFunction(X=>x0*0.10728103 + x1*3.3406339 + 0.005388464)
4,11,0.00049897836,(((x0 + 0.45964408) * 0.31692675) * x0) + (x1 * 3.3334842),0.17607266317278894,(x0 + 0.45964408)*0.31692675*x0 + x1*3.3334842,PySRFunction(X=>(x0 + 0.45964408)*0.31692675*x0 + x1*3.3334842)
5,13,0.00030233042,(x1 * 3.3516502) + (((x1 + (x0 + 0.4461137)) * x0) * 0.33591762),0.2505211014201321,(x0 + x1 + 0.4461137)*x0*0.33591762 + x1*3.3516502,PySRFunction(X=>(x0 + x1 + 0.4461137)*x0*0.33591762 + x1*3.3516502)
6,15,0.00015395382,((x0 * ((x0 + (x1 + 0.30225694)) * 0.5136775)) + (x1 * 3.3640914)) + -0.016840378,0.33743391896185115,x0*(x0 + x1 + 0.30225694)*0.5136775 + x1*3.3640914 - 0.016840378,PySRFunction(X=>x0*(x0 + x1 + 0.30225694)*0.5136775 + x1*3.3640914 - 0.016840378)
7,17,0.0001457133,((((x0 + ((x1 * 0.7773914) + 0.27852008)) * x0) * 0.59038854) + -0.019535586) + (x1 * 3.3588688),0.027505847409740426,(x0 + x1*0.7773914 + 0.27852008)*x0*0.59038854 + x1*3.3588688 - 0.019535586,PySRFunction(X=>(x0 + x1*0.7773914 + 0.27852008)*x0*0.59038854 + x1*3.3588688 - 0.019535586)
8,19,0.0001361072,(x1 * 3.3588688) + ((((x1 * (x2 + 0.5685741)) + (x0 + 0.27852008)) * (x0 * 0.59038854)) + -0.019535586),0.03409909097917962,(x0 + x1*(x2 + 0.5685741) + 0.27852008)*x0*0.59038854 + x1*3.3588688 - 0.019535586,PySRFunction(X=>(x0 + x1*(x2 + 0.5685741) + 0.27852008)*x0*0.59038854 + x1*3.3588688 - 0.019535586)
9,21,0.00013603407,(x1 + ((x1 * 2.360705) + (0.58308023 * (x0 * ((x0 + (x1 * (x2 + 0.58308023))) + 0.28035113))))) + -0.019126814,0.00026872073375801855,0.58308023*x0*(x0 + x1*(x2 + 0.58308023) + 0.28035113) + x1 + x1*2.360705 - 0.019126814,PySRFunction(X=>0.58308023*x0*(x0 + x1*(x2 + 0.58308023) + 0.28035113) + x1 + x1*2.360705 - 0.019126814)
10,23,0.00013273412,x1 + ((((x0 * (((x1 + -0.01901926) * (x2 + 0.58137995)) + (x0 + 0.29512575))) * 0.5909844) + -0.01901926) + (x1 * 2.3607268)),0.012278669726963221,x0*(x0 + (x1 - 0.01901926)*(x2 + 0.58137995) + 0.29512575)*0.5909844 + x1 + x1*2.3607268 - 0.01901926,PySRFunction(X=>x0*(x0 + (x1 - 0.01901926)*(x2 + 0.58137995) + 0.29512575)*0.5909844 + x1 + x1*2.3607268 - 0.01901926)
11,25,0.00012289375,((x1 * 2.3607268) + (x1 + -0.01901926)) + (x0 * (((((x2 + 0.58137995) * x1) + (x0 + 0.29512575)) * 0.5909844) + (x2 * -0.06132776))),0.038513934344354336,x0*(x2*(-0.06132776) + (x0 + x1*(x2 + 0.58137995) + 0.29512575)*0.5909844) + x1 + x1*2.3607268 - 0.01901926,PySRFunction(X=>x0*(x2*(-0.06132776) + (x0 + x1*(x2 + 0.58137995) + 0.29512575)*0.5909844) + x1 + x1*2.3607268 - 0.01901926)
12,27,0.00012140344,(x1 + ((x1 * 2.3607268) + (x0 * ((((x1 * (x2 + 0.58137995)) + x0) * 0.58137995) + (((x2 * x5) * 1.4718003) + 0.17679049))))) + -0.01901926,0.006100473311356836,x0*(x2*x5*1.4718003 + (x0 + x1*(x2 + 0.58137995))*0.58137995 + 0.17679049) + x1 + x1*2.3607268 - 0.01901926,PySRFunction(X=>x0*(x2*x5*1.4718003 + (x0 + x1*(x2 + 0.58137995))*0.58137995 + 0.17679049) + x1 + x1*2.3607268 - 0.01901926)
13,29,0.00012112243,(x1 + ((x1 * 2.3607268) + (x0 * ((((x1 + 1.5154195) * x5) * x2) + ((((x1 * (x2 + 0.58137995)) + x0) * 0.58137995) + 0.17679049))))) + -0.01901926,0.0011586810337218326,x0*(x2*x5*(x1 + 1.5154195) + (x0 + x1*(x2 + 0.58137995))*0.58137995 + 0.17679049) + x1 + x1*2.3607268 - 0.01901926,PySRFunction(X=>x0*(x2*x5*(x1 + 1.5154195) + (x0 + x1*(x2 + 0.58137995))*0.58137995 + 0.17679049) + x1 + x1*2.3607268 - 0.01901926)
