,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.0012057951,x1 * 3.3370962,2.6593042630549903,x1*3.3370962,PySRFunction(X=>x1*3.3370962)
2,5,0.001205794,(x1 + 2.6499283e-5) * 3.3372588,4.5613077281845383e-07,(x1 + 2.6499283e-5)*3.3372588,PySRFunction(X=>(x1 + 2.6499283e-5)*3.3372588)
3,7,0.00073520927,(x1 + (0.030028079 * x0)) * 3.335952,0.24736918515871653,(0.030028079*x0 + x1)*3.335952,PySRFunction(X=>(0.030028079*x0 + x1)*3.335952)
4,9,0.0006635364,((x0 * 0.00027791053) * x3) + (x1 * 3.3347273),0.05128573346032395,x0*0.00027791053*x3 + x1*3.3347273,PySRFunction(X=>x0*0.00027791053*x3 + x1*3.3347273)
5,11,0.00049844646,(x1 * 3.3421116) + (((x0 + 0.48146832) * 0.2925358) * x0),0.14304376571401195,(x0 + 0.48146832)*0.2925358*x0 + x1*3.3421116,PySRFunction(X=>(x0 + 0.48146832)*0.2925358*x0 + x1*3.3421116)
6,13,0.0003021338,((((x0 + (0.442521 + x1)) * x0) * 0.09981336) + x1) * 3.3522074,0.25031310790540817,((x0 + x1 + 0.442521)*x0*0.09981336 + x1)*3.3522074,PySRFunction(X=>((x0 + x1 + 0.442521)*x0*0.09981336 + x1)*3.3522074)
7,15,0.00015386804,-0.016980259 + (3.3602335 * (x1 + ((x0 * 0.15512842) * ((x0 + x1) + 0.30296317)))),0.33738730682693785,3.3602335*(x0*0.15512842*(x0 + x1 + 0.30296317) + x1) - 0.016980259,PySRFunction(X=>3.3602335*(x0*0.15512842*(x0 + x1 + 0.30296317) + x1) - 0.016980259)
8,17,0.00014851222,((x1 + (((((x1 * 0.8085371) + x0) + 0.26590675) * x0) * 0.17517386)) * 3.361973) + -0.020648953,0.017714053771553884,((x0 + x1*0.8085371 + 0.26590675)*x0*0.17517386 + x1)*3.361973 - 0.020648953,PySRFunction(X=>((x0 + x1*0.8085371 + 0.26590675)*x0*0.17517386 + x1)*3.361973 - 0.020648953)
9,19,0.00013958811,((x1 + ((x0 * 0.16930789) * ((((x2 + 0.64045954) * x1) + x0) + 0.2699264))) * 3.3624806) + -0.018872332,0.03098561481913809,(x0*0.16930789*(x0 + x1*(x2 + 0.64045954) + 0.2699264) + x1)*3.3624806 - 0.018872332,PySRFunction(X=>(x0*0.16930789*(x0 + x1*(x2 + 0.64045954) + 0.2699264) + x1)*3.3624806 - 0.018872332)
10,21,7.3074414e-05,((x1 * 3.3597858) + 0.031836122) + (((x3 * x0) * 0.00030751593) + ((x1 * (x1 + (x0 * -0.7668265))) * -0.5964677)),0.32360886148720513,x3*x0*0.00030751593 + x1*(x0*(-0.7668265) + x1)*(-0.5964677) + x1*3.3597858 + 0.031836122,PySRFunction(X=>x3*x0*0.00030751593 + x1*(x0*(-0.7668265) + x1)*(-0.5964677) + x1*3.3597858 + 0.031836122)
11,23,7.2742165e-05,((x3 * 0.0003016877) * x0) + (((((x1 + ((x7 + x0) * -0.81123984)) * -0.58090055) * x1) + (x1 * 2.8894074)) + 0.031295404),0.0022785445747296454,x3*0.0003016877*x0 + (x1 + (x0 + x7)*(-0.81123984))*(-0.58090055)*x1 + x1*2.8894074 + 0.031295404,PySRFunction(X=>x3*0.0003016877*x0 + (x1 + (x0 + x7)*(-0.81123984))*(-0.58090055)*x1 + x1*2.8894074 + 0.031295404)
12,25,7.243163e-05,((x1 * 2.8894074) + 0.031295404) + (((x4 + (x3 * x0)) * 0.0003016877) + (((x1 + ((x0 + x6) * -0.81123984)) * x1) * -0.58090055)),0.0021390601080971063,(x1 + (x0 + x6)*(-0.81123984))*x1*(-0.58090055) + x1*2.8894074 + (x0*x3 + x4)*0.0003016877 + 0.031295404,PySRFunction(X=>(x1 + (x0 + x6)*(-0.81123984))*x1*(-0.58090055) + x1*2.8894074 + (x0*x3 + x4)*0.0003016877 + 0.031295404)
13,27,7.229015e-05,((x1 * ((((x6 + x0) * -0.81123984) + x1) * -0.58090055)) + (((x4 + 1.0604374) + (x3 * x0)) * 0.0003016877)) + ((x1 * 2.8894074) + 0.031295404),0.0009776002276292814,x1*(x1 + (x0 + x6)*(-0.81123984))*(-0.58090055) + x1*2.8894074 + (x0*x3 + x4 + 1.0604374)*0.0003016877 + 0.031295404,PySRFunction(X=>x1*(x1 + (x0 + x6)*(-0.81123984))*(-0.58090055) + x1*2.8894074 + (x0*x3 + x4 + 1.0604374)*0.0003016877 + 0.031295404)
14,29,3.2003052e-05,(((((x0 * x3) * 0.00012799297) + x1) + 0.014006134) * 2.316539) + ((((((x0 * x3) * 0.0027226703) + ((x6 + x0) * -1.7248005)) + x1) * x1) * -0.60477483),0.4074283043670123,(x0*x3*0.0027226703 + x1 + (x0 + x6)*(-1.7248005))*x1*(-0.60477483) + (x0*x3*0.00012799297 + x1 + 0.014006134)*2.316539,PySRFunction(X=>(x0*x3*0.0027226703 + x1 + (x0 + x6)*(-1.7248005))*x1*(-0.60477483) + (x0*x3*0.00012799297 + x1 + 0.014006134)*2.316539)
15,31,2.994795e-05,(((((x3 * 0.0001316953) * x0) + 0.013919994) + x1) * 2.3163948) + (x1 * (((x1 + ((x0 + x6) * -1.7647218)) + (((x0 + 0.04028373) * x3) * 0.0027983335)) * -0.60550225)),0.03318519922267352,x1*(x1 + (x0 + 0.04028373)*x3*0.0027983335 + (x0 + x6)*(-1.7647218))*(-0.60550225) + (x3*0.0001316953*x0 + x1 + 0.013919994)*2.3163948,PySRFunction(X=>x1*(x1 + (x0 + 0.04028373)*x3*0.0027983335 + (x0 + x6)*(-1.7647218))*(-0.60550225) + (x3*0.0001316953*x0 + x1 + 0.013919994)*2.3163948)
16,33,1.3473906e-05,((((x3 * x0) * 0.00013726807) + (x1 + 0.014271328)) * 2.2787905) + ((x1 + -1.3234999) * (x1 * (((x3 * ((x0 + (x1 * -0.33959255)) * -0.0016260083)) + (x7 + x0)) * -0.8242375))),0.3993529743456655,(x1 - 1.3234999)*x1*(x0 + x3*(x0 + x1*(-0.33959255))*(-0.0016260083) + x7)*(-0.8242375) + (x3*x0*0.00013726807 + x1 + 0.014271328)*2.2787905,PySRFunction(X=>(x1 - 1.3234999)*x1*(x0 + x3*(x0 + x1*(-0.33959255))*(-0.0016260083) + x7)*(-0.8242375) + (x3*x0*0.00013726807 + x1 + 0.014271328)*2.2787905)
17,35,1.33113535e-05,((-0.8242375 * x1) * (((x0 + x7) + ((x3 * ((-0.33413282 * x1) + x0)) * -0.0016260083)) * (x1 + -1.3234999))) + (2.2787905 * ((0.014271328 + (x0 * (0.00013726807 * (x3 + 2.2787905)))) + x1)),0.006068804209972021,-0.8242375*x1*(x1 - 1.3234999)*(x0 + x3*(x0 - 0.33413282*x1)*(-0.0016260083) + x7) + 2.2787905*(x0*0.00013726807*(x3 + 2.2787905) + x1 + 0.014271328),PySRFunction(X=>-0.8242375*x1*(x1 - 1.3234999)*(x0 + x3*(x0 - 0.33413282*x1)*(-0.0016260083) + x7) + 2.2787905*(x0*0.00013726807*(x3 + 2.2787905) + x1 + 0.014271328))
