,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.001205795,x1 * 3.3370326,2.6593043045214073,x1*3.3370326,PySRFunction(X=>x1*3.3370326)
2,5,0.001205758,x1 * (x6 + 3.336411),1.5342810215197332e-05,x1*(x6 + 3.336411),PySRFunction(X=>x1*(x6 + 3.336411))
3,7,0.0007351881,(x0 * 0.1004804) + (x1 * 3.336411),0.24736865448148282,x0*0.1004804 + x1*3.336411,PySRFunction(X=>x0*0.1004804 + x1*3.336411)
4,9,0.0006831506,(x1 + ((x0 * 39.59878) * x6)) * 3.3356557,0.03670552588506766,(x0*39.59878*x6 + x1)*3.3356557,PySRFunction(X=>(x0*39.59878*x6 + x1)*3.3356557)
5,11,0.00049731066,((x0 * (x0 + 0.48624027)) * 0.2943885) + (x1 * 3.3369284),0.158750215912256,x0*(x0 + 0.48624027)*0.2943885 + x1*3.3369284,PySRFunction(X=>x0*(x0 + 0.48624027)*0.2943885 + x1*3.3369284)
6,13,0.00030193594,(x1 * 3.354755) + (x0 * (((x1 + x0) + 0.4303486) * 0.34517878)),0.24950001278745293,x0*(x0 + x1 + 0.4303486)*0.34517878 + x1*3.354755,PySRFunction(X=>x0*(x0 + x1 + 0.4303486)*0.34517878 + x1*3.354755)
7,15,0.00015356783,((x1 * 3.3613794) + -0.016943796) + ((x0 * ((x0 + 0.2992231) + x1)) * 0.5250741),0.3380362584976737,x0*(x0 + x1 + 0.2992231)*0.5250741 + x1*3.3613794 - 0.016943796,PySRFunction(X=>x0*(x0 + x1 + 0.2992231)*0.5250741 + x1*3.3613794 - 0.016943796)
8,17,9.196294e-05,((x1 + (x0 * (0.15441519 * ((x3 * 0.00081564306) + (x0 + x1))))) + -0.0050300555) * 3.3630743,0.25637834443395174,(x0*0.15441519*(x0 + x1 + x3*0.00081564306) + x1 - 0.0050300555)*3.3630743,PySRFunction(X=>(x0*0.15441519*(x0 + x1 + x3*0.00081564306) + x1 - 0.0050300555)*3.3630743)
9,19,8.105107e-05,(((x0 * ((x1 + (x3 * 0.00057066587)) + (x0 + 0.09930117))) * 0.5282858) + (x1 * 3.36457)) + -0.016924024,0.06315310999199422,x0*(x0 + x1 + x3*0.00057066587 + 0.09930117)*0.5282858 + x1*3.36457 - 0.016924024,PySRFunction(X=>x0*(x0 + x1 + x3*0.00057066587 + 0.09930117)*0.5282858 + x1*3.36457 - 0.016924024)
10,21,7.492051e-05,(((((x0 + (x1 * 0.8553955)) + ((x3 * 0.00053822953) + 0.09393584)) * 0.56452113) * x0) + -0.01782354) + (x1 * 3.3599486),0.03932588250403741,(x0 + x1*0.8553955 + x3*0.00053822953 + 0.09393584)*0.56452113*x0 + x1*3.3599486 - 0.01782354,PySRFunction(X=>(x0 + x1*0.8553955 + x3*0.00053822953 + 0.09393584)*0.56452113*x0 + x1*3.3599486 - 0.01782354)
11,23,4.5816098e-05,(((x1 + x1) + -0.011033301) * 1.6804259) + ((((x3 * -0.0015211947) * (x1 + -0.284198)) + ((x0 * 0.5466518) + x1)) * x0),0.24589608536689148,x0*(x0*0.5466518 + x1 + x3*(-0.0015211947)*(x1 - 0.284198)) + (x1 + x1 - 0.011033301)*1.6804259,PySRFunction(X=>x0*(x0*0.5466518 + x1 + x3*(-0.0015211947)*(x1 - 0.284198)) + (x1 + x1 - 0.011033301)*1.6804259)
12,25,4.0073654e-05,((((x0 * 0.5696905) + ((x1 + -0.28898543) * (x5 + (x3 * -0.0014005289)))) + x1) * x0) + (((-0.011705598 + x1) + x1) * 1.681459),0.06695820158639174,x0*(x0*0.5696905 + x1 + (x1 - 0.28898543)*(x3*(-0.0014005289) + x5)) + (x1 + x1 - 0.011705598)*1.681459,PySRFunction(X=>x0*(x0*0.5696905 + x1 + (x1 - 0.28898543)*(x3*(-0.0014005289) + x5)) + (x1 + x1 - 0.011705598)*1.681459)
