ID,loss,complexity,MSE,expanded_form,substituted_form
0,3.5978846e-05,33,3.597876874139859e-05,-1.15214738205943*x0*x1*x3*x5 - 0.0583708626086409*x0*x1*x3 + 0.8329191310493*x0*x1 + 0.31320888604629*x0*x3*x5 + 0.0158679984348308*x0*x3 - 0.603335134188959*x1**2 + 3.359506*x1 + 0.0326751715390022,-1.15214738205943*c*dx*w*x + 0.31320888604629*c*w*x - 0.603335134188959*dx**2 - 0.0583708626086409*dx*w*x + 0.8329191310493*dx*x + 3.359506*dx + 0.0158679984348308*w*x + 0.0326751715390022
1,3.2001637e-05,29,3.200163212133928e-05,0.5933921*x0**2 - 0.00153150608*x0*x1*x3 + x0*x1 + 0.23430577*x0*x3*x6 + 8.99992304622944e-6*x0*x3 + 0.094012938050668*x0 + 3.3598636*x1 - 0.0197442989229448,0.23430577*A_val*w*x - 0.00153150608*dx*w*x + dx*x + 3.3598636*dx + 8.99992304622944e-6*w*x + 0.5933921*x**2 + 0.094012938050668*x - 0.0197442989229448
2,4.414482e-05,27,4.414479778335757e-05,0.62175345*x0**2 - 0.711621563032276*x0*x1*x3*x6 + 0.62175345*x0*x1 + 0.282067884592337*x0*x3*x6 + 0.0845090613904408*x0 + 3.3564172*x1 - 0.021052578,-0.711621563032276*A_val*dx*w*x + 0.282067884592337*A_val*w*x + 0.62175345*dx*x + 3.3564172*dx + 0.62175345*x**2 + 0.0845090613904408*x - 0.021052578
3,3.695998e-05,25,3.6960004607707375e-05,0.632903224627944*x0**2 - 0.0011257660413231*x0*x1*x3 + 0.855654274019618*x0*x1 + 0.000317074642248296*x0*x3 + 0.0559438438532482*x0 + 3.3589118*x1 - 0.0216259666776606,-0.0011257660413231*dx*w*x + 0.855654274019618*dx*x + 3.3589118*dx + 0.000317074642248296*w*x + 0.632903224627944*x**2 + 0.0559438438532482*x - 0.0216259666776606
4,3.2905322e-05,27,3.290532082156009e-05,0.582682676285248*x0**2 - 1.19473411120202*x0*x1*x3*x6 + 0.801664177319943*x0*x1 + 0.256396272354742*x0*x3*x6 + 0.0880167786355135*x0 + 3.3600392*x1 - 0.019466605507748,-1.19473411120202*A_val*dx*w*x + 0.256396272354742*A_val*w*x + 0.801664177319943*dx*x + 3.3600392*dx + 0.582682676285248*x**2 + 0.0880167786355135*x - 0.019466605507748
5,1.4524832e-05,25,1.4524833802741053e-05,-0.000153834329319871*x0**3*x3 + 0.102804884*x0**3*x7 + 7.31865529530921e-5*x0**2*x1*x3 - 0.0489093372068974*x0**2*x1*x7 - 1.71927646263425e-7*x0**2*x3**2 + 0.00011489634211459*x0**2*x3*x7 + 0.345376626529917*x0**2 + 8.17944332906018e-8*x0*x1*x3**2 - 5.4661838248089e-5*x0*x1*x3*x7 - 0.0014963718*x0*x1*x3 + x0*x1*x7 + 0.000385998305685209*x0*x3 + 0.000711897626897688*x1**2*x3 - 0.47574916*x1**2*x7 + 3.3595352*x1,-0.47574916*dx**2*p_val + 0.000711897626897688*dx**2*w - 5.4661838248089e-5*dx*p_val*w*x - 0.0489093372068974*dx*p_val*x**2 + dx*p_val*x + 8.17944332906018e-8*dx*w**2*x + 7.31865529530921e-5*dx*w*x**2 - 0.0014963718*dx*w*x + 3.3595352*dx + 0.00011489634211459*p_val*w*x**2 + 0.102804884*p_val*x**3 - 1.71927646263425e-7*w**2*x**2 - 0.000153834329319871*w*x**3 + 0.000385998305685209*w*x + 0.345376626529917*x**2
6,3.800878e-05,29,3.80087927065972e-05,-0.209695187285025*x0**2*x3*x6 + 0.669652836305418*x0**2 - 0.814761801059061*x0*x1*x3*x6 + 0.669652836305418*x0*x1 + 0.232484294062156*x0*x3*x6 + 0.100979954638709*x0 + 3.3589253*x1 - 0.0205029740811084,-0.814761801059061*A_val*dx*w*x - 0.209695187285025*A_val*w*x**2 + 0.232484294062156*A_val*w*x + 0.669652836305418*dx*x + 3.3589253*dx + 0.669652836305418*x**2 + 0.100979954638709*x - 0.0205029740811084
7,6.405749e-05,29,6.405750240998502e-05,-11.3551255591786*x0**2*x5 - 11.3551255591786*x0*x1*x2*x5 - 6.90741667098546*x0*x1*x5 + 0.00034550374*x0*x3 - 0.775855418762939*x0*x5 - 0.775855418762939*x1*x2*x5 - 0.471959259799255*x1*x5 + 3.328433*x1 - 0.01900718,-11.3551255591786*A*c*dx*x - 0.775855418762939*A*c*dx - 6.90741667098546*c*dx*x - 0.471959259799255*c*dx - 11.3551255591786*c*x**2 - 0.775855418762939*c*x + 3.328433*dx + 0.00034550374*w*x - 0.01900718
8,3.3998058e-05,25,3.39980389117262e-05,0.59619457*x0**2 - 0.0011934022*x0*x1*x3 + 0.87639178*x0*x1 - 0.0011934022*x0*x3*x6 + 0.00036289057635754*x0*x3 - 0.12360822*x0*x6 + 0.037586874063354*x0 + 3.3627567*x1 + 3.3627567*x6 + x7 - 1.02254941126569,-0.0011934022*A_val*w*x - 0.12360822*A_val*x + 3.3627567*A_val - 0.0011934022*dx*w*x + 0.87639178*dx*x + 3.3627567*dx + p_val + 0.00036289057635754*w*x + 0.59619457*x**2 + 0.037586874063354*x - 1.02254941126569
9,8.136517e-05,21,8.13651758496206e-05,0.54221548884148*x0**2 + 0.54221548884148*x0*x1 + 0.2568182*x0*x3*x6 + 0.085516757281556*x0 + 3.3634984*x1 - 0.017707847,0.2568182*A_val*w*x + 0.54221548884148*dx*x + 3.3634984*dx + 0.54221548884148*x**2 + 0.085516757281556*x - 0.017707847
