,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.0012057951,x1 * 3.3370364,2.6593042630549903,x1*3.3370364,PySRFunction(X=>x1*3.3370364)
2,5,0.0012057575,x1 * (x6 + 3.3362648),1.5591615129210034e-05,x1*(x6 + 3.3362648),PySRFunction(X=>x1*(x6 + 3.3362648))
3,7,0.00073514594,((x0 * 0.02990824) + x1) * 3.3373387,0.2473971208993325,(x0*0.02990824 + x1)*3.3373387,PySRFunction(X=>(x0*0.02990824 + x1)*3.3373387)
4,9,0.00068097824,(((x7 * x5) * x0) + x1) * 3.3373387,0.038269342348622684,(x0*x5*x7 + x1)*3.3373387,PySRFunction(X=>(x0*x5*x7 + x1)*3.3373387)
5,11,0.00049770356,((x0 + 0.49070227) * (x0 * 0.28561085)) + (x1 * 3.3354037),0.15676285694322148,(x0 + 0.49070227)*x0*0.28561085 + x1*3.3354037,PySRFunction(X=>(x0 + 0.49070227)*x0*0.28561085 + x1*3.3354037)
6,13,0.00030211933,((x1 + (x0 + 0.42945978)) * (x0 * 0.35013887)) + (x1 * 3.3544993),0.24959128348067508,(x0 + x1 + 0.42945978)*x0*0.35013887 + x1*3.3544993,PySRFunction(X=>(x0 + x1 + 0.42945978)*x0*0.35013887 + x1*3.3544993)
7,15,0.0001535322,(((x0 * ((x1 + (x0 + 0.29669473)) * 0.15717816)) + x1) + -0.0051124673) * 3.3622475,0.33845587738288807,(x0*(x0 + x1 + 0.29669473)*0.15717816 + x1 - 0.0051124673)*3.3622475,PySRFunction(X=>(x0*(x0 + x1 + 0.29669473)*0.15717816 + x1 - 0.0051124673)*3.3622475)
8,17,8.504159e-05,((((x1 + x0) + (x7 * -0.46326643)) * (x0 * 0.15717816)) + (x1 + -0.0051124673)) * 3.3622475,0.29538494303626306,((x0 + x1 + x7*(-0.46326643))*x0*0.15717816 + x1 - 0.0051124673)*3.3622475,PySRFunction(X=>((x0 + x1 + x7*(-0.46326643))*x0*0.15717816 + x1 - 0.0051124673)*3.3622475)
9,19,7.659467e-05,(((x1 + -0.006102854) * 5.5810657) + (x0 * (x0 + ((x7 * -0.42882767) + (x1 * 0.7760023))))) * 0.60209703,0.05230646943123577,(x0*(x0 + x1*0.7760023 + x7*(-0.42882767)) + (x1 - 0.006102854)*5.5810657)*0.60209703,PySRFunction(X=>(x0*(x0 + x1*0.7760023 + x7*(-0.42882767)) + (x1 - 0.006102854)*5.5810657)*0.60209703)
10,21,4.9349754e-05,(((x1 + -0.0059908675) * 5.582925) + (((((x7 + 1.4358598) * x1) + (x7 * -0.4288704)) + x0) * x0)) * 0.601601,0.21979735550776158,(x0*(x0 + x1*(x7 + 1.4358598) + x7*(-0.4288704)) + (x1 - 0.0059908675)*5.582925)*0.601601,PySRFunction(X=>(x0*(x0 + x1*(x7 + 1.4358598) + x7*(-0.4288704)) + (x1 - 0.0059908675)*5.582925)*0.601601)
11,23,4.48258e-05,(((((((x7 * 1.880334) + 1.8120552) * x1) + (x7 * -0.41413757)) + x0) * x0) + ((x1 + -0.0067350953) * 5.0944257)) * 0.65868556,0.04807445727460297,(x0*(x0 + x1*(x7*1.880334 + 1.8120552) + x7*(-0.41413757)) + (x1 - 0.0067350953)*5.0944257)*0.65868556,PySRFunction(X=>(x0*(x0 + x1*(x7*1.880334 + 1.8120552) + x7*(-0.41413757)) + (x1 - 0.0067350953)*5.0944257)*0.65868556)
12,25,3.2126496e-05,(x0 * (x0 + (-0.32167327 * x7))) + ((((x0 + (((x1 * -0.6632544) + x0) * x7)) * x1) + -0.05637947) + (x1 * 3.350394)),0.1665513781454599,x0*(x0 - 0.32167327*x7) + x1*(x0 + x7*(x0 + x1*(-0.6632544))) + x1*3.350394 - 0.05637947,PySRFunction(X=>x0*(x0 - 0.32167327*x7) + x1*(x0 + x7*(x0 + x1*(-0.6632544))) + x1*3.350394 - 0.05637947)
